Município (Código);Município;Lavouras - permanentes;Lavouras - temporárias;Lavouras - área para cultivo de flores;Pastagens - naturais;Pastagens - plantadas em boas condições;Pastagens - pastagens plantadas em más condições;Matas ou florestas - matas e/ou florestas naturais;Matas ou florestas - florestas plantadas;Sistemas agroflorestais - área cultivada com espécies florestais também usada para lavouras e pastoreio por animais;Soma
1100015;Alta Floresta D'Oeste (RO);6066,5;2080,3;7,7;24757,7;211273,1;2316,9;31465,5;258,3;10480,8;288706,8
1100023;Ariquemes (RO);5234,5;5341,3;X;X;219168;2617,8;9191,4;615;1573,3;243741,3
1100031;Cabixi (RO);4637,3;30451,3;X;5040,6;52431,3;380,2;246,1;593,4;X;93780,2
1100049;Cacoal (RO);6737,7;1943,6;X;1658,4;171845;1492,8;1480,3;180,4;X;185338,2
1100056;Cerejeiras (RO);4966,8;35411,4;X;22522,7;32341;1411,4;1559;X;489;98701,3
1100064;Colorado do Oeste (RO);1019,3;1492,8;X;X;106121,3;1099;188,1;1097,7;67,6;111085,8
1100072;Corumbiara (RO);4193,9;45969,8;65,4;1050,6;167738,9;2798;6425,7;25,4;253,7;228521,4
1100080;Costa Marques (RO);1523,6;758,7;X;8877,5;139167,9;2475,5;3278,1;X;2250,9;158332,2
1100098;Espigão D'Oeste (RO);1679,3;3351,9;X;X;161198,5;555,4;1049,1;2884,4;898,3;171616,9
1100106;Guajará-Mirim (RO);771,3;1068,9;1,7;1887,1;42949,5;1886,9;1018,1;X;X;49583,5
1100114;Jaru (RO);4087,5;630,5;17,7;-;215474,8;3984,6;1473,8;143;795,6;226607,5
1100122;Ji-Paraná (RO);869,9;1430;26,2;2675,5;173173,9;1682,3;1357,6;244,6;134,1;181594,1
1100130;Machadinho D'Oeste (RO);5871,9;4729;5;-;192015,3;7336,2;14429;832,8;1988;227207,2
1100148;Nova Brasilândia D'Oeste (RO);7439,7;702,6;X;X;107379,4;680,2;3531,9;114,3;173,7;120021,8
1100155;Ouro Preto do Oeste (RO);1380,8;376,4;2,3;1553,2;126106,2;2205,9;147,8;176,5;128,3;132077,4
1100189;Pimenta Bueno (RO);209,8;195,1;X;655,3;146519,5;5631;13851;1074,4;X;168136,1
1100205;Porto Velho (RO);4879,4;9574,9;122,9;41255,8;297477,5;12800,6;9049,9;10923,3;46296,5;432380,8
1100254;Presidente Médici (RO);1161,3;640,8;36,8;859,2;100298,8;339,1;667;99,6;175,6;104278,2
1100262;Rio Crespo (RO);599,8;6300,1;-;-;73315,5;873,6;X;X;-;81089
1100288;Rolim de Moura (RO);1945,8;2704,9;X;X;93905,2;1595;421,8;562,6;302,3;101437,6
1100296;Santa Luzia D'Oeste (RO);977;6533,8;-;X;58319,6;1067,9;1563,2;38,9;X;68500,4
1100304;Vilhena (RO);5895,4;30625,4;118;X;77464,5;12324,5;6295,2;6464,6;X;139187,6
1100320;São Miguel do Guaporé (RO);4970;17680,2;6;2945,5;113233,4;665,2;3171,3;67;4410;147148,6
1100338;Nova Mamoré (RO);1621,9;776,8;X;14916,8;168229,3;3038,5;2266,9;X;601,5;191451,7
1100346;Alvorada D'Oeste (RO);1808,6;918,1;53;1730,6;108244,5;5631;1312,7;73,8;58,7;119831
1100379;Alto Alegre dos Parecis (RO);5641,7;3276,7;19,5;2007,9;95572,8;571,8;1339,1;47,7;432,1;108909,3
1100403;Alto Paraíso (RO);5857,2;8004,3;X;31474,1;96494,1;1639,1;834,1;X;2119,1;146422
1100452;Buritis (RO);2523;708,7;X;4598,4;180404;491,4;908,1;75,5;X;189709,1
1100502;Novo Horizonte do Oeste (RO);1717,2;2715,1;119,1;324,9;50684,7;130,1;116,7;538,9;245,6;56592,3
1100601;Cacaulândia (RO);817,6;720,8;3,7;146,2;117058,7;1301,4;765,4;344,9;107,9;121266,6
1100700;Campo Novo de Rondônia (RO);1749,1;614,9;X;1010,7;147703,8;1724;3569,5;54;X;156426
1100809;Candeias do Jamari (RO);2111,7;13180,3;X;2303,1;78780,7;4792,5;3115,5;X;583,9;104867,7
1100908;Castanheiras (RO);310,7;1688,3;-;193,6;37363;936,7;X;17,9;X;40510,2
1100924;Chupinguaia (RO);654;32789,9;-;-;206550,1;X;8799,6;X;-;248793,6
1100940;Cujubim (RO);1904,2;14951,9;X;X;111848,2;4694,2;1077,4;X;545,9;135021,8
1101005;Governador Jorge Teixeira (RO);1113,6;364,1;X;-;108942,2;43,6;116,8;X;-;110580,3
1101104;Itapuã do Oeste (RO);517,8;1591,8;X;1652,4;50333,5;1482,8;1445,7;X;2763,2;59787,2
1101203;Ministro Andreazza (RO);2443,8;125,4;-;9482,9;36702,1;507,8;X;X;52,3;49314,3
1101302;Mirante da Serra (RO);1081,8;486,2;1,6;2173,2;39863,6;1819,4;206;58,1;202,3;45892,2
1101401;Monte Negro (RO);1342,3;322,8;X;1914;103334,1;1211,2;2441,3;-;X;110565,7
1101435;Nova União (RO);793,3;291,9;6,1;466;51891,6;888,5;409,3;51,6;388,7;55187
1101450;Parecis (RO);254;1297;-;X;87762,4;8098,1;3111,5;X;X;100523
1101468;Pimenteiras do Oeste (RO);3627;18325,6;-;14508,9;69360;X;15454,3;X;22969,2;144245
1101476;Primavera de Rondônia (RO);814,6;103,1;X;X;41271,4;188,8;1260,7;11,6;X;43650,2
1101484;São Felipe D'Oeste (RO);669,5;1525,8;X;492,1;30405,8;285,7;90,3;X;164,4;33633,6
1101492;São Francisco do Guaporé (RO);1542,8;3222,4;X;6781;177494,8;1047,3;5946,3;X;9272,7;205307,3
1101500;Seringueiras (RO);3467,5;3668;X;7258,8;72549,4;1455,3;912,2;X;832;90143,2
1101559;Teixeirópolis (RO);199;236,3;2,5;205,1;35809,1;133,4;X;X;102,9;36688,3
1101609;Theobroma (RO);1095,1;1084,7;X;X;161722;83,5;968;64,1;1648,5;166665,9
1101708;Urupá (RO);431;139;X;X;48211,5;285,9;50,6;21,4;308,6;49448
1101757;Vale do Anari (RO);1801,4;1114,6;X;X;89823,4;2371,3;2526,8;20,4;378,8;98036,7
1101807;Vale do Paraíso (RO);761,4;116,9;-;344,1;56734,8;3907,4;284,1;271,8;56,6;62477,1
1200013;Acrelândia (AC);3244,8;1269,4;33,2;-;80542,6;8032,7;2449,6;104,8;104,5;95781,6
1200054;Assis Brasil (AC);393,8;446,3;X;-;16033,1;156,6;-;X;X;17029,8
1200104;Brasiléia (AC);784,6;3396,1;X;-;88489,5;4874,6;30826,4;X;711,8;129083
1200138;Bujari (AC);948,8;1245,4;20,5;-;90652,7;15318,4;30679;X;X;138864,8
1200179;Capixaba (AC);856,1;3806,6;X;-;77527,9;2166,8;13354,1;335;X;98046,5
1200203;Cruzeiro do Sul (AC);1848,1;5019,9;26,3;-;23416,1;1905,2;21416,3;-;5296,5;58928,4
1200252;Epitaciolândia (AC);646,7;1664,3;1;-;59785,8;4992,4;15706,1;33,6;87,9;82917,8
1200302;Feijó (AC);1628,6;4493,3;X;-;72821,5;4937,1;42673,1;X;8357,4;134911
1200328;Jordão (AC);506,9;731,1;X;-;3517,8;126;4513,9;-;X;9395,7
1200336;Mâncio Lima (AC);226,1;1822,1;6,8;-;9887,8;828,4;3689,6;-;169,9;16630,7
1200344;Manoel Urbano (AC);892,6;875,6;X;-;21397,1;1477,1;3129,9;11;X;27783,3
1200351;Marechal Thaumaturgo (AC);584;2601,8;X;-;3751,4;X;3435,6;-;1701;12073,8
1200385;Plácido de Castro (AC);838,7;3716,1;22,5;-;99363,2;11152,9;1403,2;87;856,7;117440,3
1200393;Porto Walter (AC);235,2;1491;X;-;4714,6;94,1;X;-;1464,7;7999,6
1200401;Rio Branco (AC);2850,8;5538,2;35,4;-;180189,7;10271,7;63206,5;205,7;681,1;262979,1
1200427;Rodrigues Alves (AC);375,3;2952,4;-;-;13695,7;1180,9;X;-;X;18204,3
1200435;Santa Rosa do Purus (AC);401,9;645,3;X;-;5171,2;182;X;-;X;6400,4
1200450;Senador Guiomard (AC);1113,9;2987,2;X;-;120256,6;5723,9;4504,2;X;311,9;134897,7
1200500;Sena Madureira (AC);873,3;2625,4;150,9;-;133040,6;5395;117600,5;25,9;543,1;260254,7
1200609;Tarauacá (AC);2707,6;5307,6;100,7;-;71481,2;5391,6;14506,9;84,3;15298,6;114878,5
1200708;Xapuri (AC);1028;2292,4;17,2;-;102606,9;4244,5;168648,2;86,5;3139,9;282063,6
1200807;Porto Acre (AC);1183,6;1930,7;6,7;-;99319,8;7865,4;18508,7;48,8;404,2;129267,9
1300029;Alvarães (AM);1876,6;3228,6;X;-;296,2;X;775;-;-;6176,4
1300060;Amaturá (AM);274,4;253,4;X;110,5;367,4;151,6;4983,2;-;136;6276,5
1300086;Anamã (AM);1161,8;759,1;X;100,3;149,7;X;10749,3;-;158,7;13078,9
1300102;Anori (AM);1197,4;856;X;368,8;X;X;18369;-;254,8;21046
1300144;Apuí (AM);1265,8;991,2;X;1255,2;111138,6;9095,3;46690,5;X;4569,6;175006,2
1300201;Atalaia do Norte (AM);5637,5;4753,7;-;35,5;X;X;1759,2;-;X;12185,9
1300300;Autazes (AM);1910,4;1909,8;X;34711,2;17168,1;4368,8;31076,3;X;6005,9;97150,5
1300409;Barcelos (AM);661,3;942,4;20;15,9;X;X;1795,3;X;269,3;3704,2
1300508;Barreirinha (AM);904,8;2307,6;-;18786,5;2350,7;2294,2;9199,1;100;452,2;36395,1
1300607;Benjamin Constant (AM);1156,1;1290,5;-;74,6;502,8;X;1513,8;X;-;4537,8
1300631;Beruri (AM);1473,1;1010,9;X;1445,8;393,2;1095,4;18128,8;-;X;23547,2
1300680;Boa Vista do Ramos (AM);1240,4;1101;-;12513,8;4595,7;275,8;7515,2;X;X;27241,9
1300706;Boca do Acre (AM);4445,6;5297,1;X;6350,1;132771,4;3664,3;78768,4;-;X;231296,9
1300805;Borba (AM);2951,5;2454,5;X;1507,2;2233,5;387;13747,5;X;-;23281,2
1300839;Caapiranga (AM);267,2;274,4;-;247,3;16,5;X;2505,2;-;X;3310,6
1300904;Canutama (AM);816,6;866,1;X;5895,6;27912,7;3120,7;14038,4;X;6249,2;58899,3
1301001;Carauari (AM);1822,3;1879,4;10,8;1422,4;1457,5;127,7;176147,1;-;101,3;182968,5
1301100;Careiro (AM);3132,6;2400,8;X;7172,9;7488,5;823,1;7804,8;X;883,5;29706,2
1301159;Careiro da Várzea (AM);897;2007,8;8,5;13012,1;19833,2;701,5;12295,5;X;X;48755,6
1301209;Coari (AM);3176,6;3087,4;9,1;882,6;516,4;4,7;48061,1;-;276,4;56014,3
1301308;Codajás (AM);2976,5;1288,8;3,3;126;1158,1;1650,5;55484,6;X;X;62687,8
1301407;Eirunepé (AM);1139,7;1939,9;X;5770,3;433,6;X;384,9;-;215,8;9884,2
1301506;Envira (AM);1017,5;1707,2;-;516,8;16009,1;564,2;18848,8;X;X;38663,6
1301605;Fonte Boa (AM);149,1;357,4;3,1;160,7;146,1;21,8;X;-;X;838,2
1301654;Guajará (AM);130;1236,8;-;90,3;22328,2;X;9320;X;915,8;34021,1
1301704;Humaitá (AM);1191,7;1005,5;X;10104,8;14855,2;2330,5;4665,4;-;X;34153,1
1301803;Ipixuna (AM);7232,1;1928,8;X;194,7;8378,6;460,2;7897,1;-;175,3;26266,8
1301852;Iranduba (AM);1544,8;1487,1;27,1;659;2669,2;361;5775;7,4;203,7;12734,3
1301902;Itacoatiara (AM);8381;4001;67,5;16197,2;12037,5;2284,9;9611,7;543,6;2640,9;55765,3
1301951;Itamarati (AM);965,6;1264;X;944,2;346,5;X;-;-;X;3520,3
1302009;Itapiranga (AM);84;276,5;-;2101,5;708,5;108;546,5;-;102,5;3927,5
1302108;Japurá (AM);176,5;214,3;X;51,3;X;-;160,4;-;X;602,5
1302207;Juruá (AM);766,9;645,9;-;256,8;X;-;X;-;74;1743,6
1302306;Jutaí (AM);535,2;1704,4;-;332,2;960,1;X;883,2;-;X;4415,1
1302405;Lábrea (AM);993,1;2053,2;X;60145,9;136194,7;9559,8;12325,6;X;7170,3;228442,6
1302504;Manacapuru (AM);2976,7;3571,2;3,9;3309,3;3150,3;671,7;35298,5;-;1035,7;50017,3
1302553;Manaquiri (AM);1410,5;1835,9;2;3610,5;1420;478,7;3317,9;-;231,5;12307
1302603;Manaus (AM);2813,2;1161,5;69,8;1280,1;956,1;120,7;9567,3;9,7;698,8;16677,2
1302702;Manicoré (AM);2907,5;2631,5;X;5728,7;77259,6;4420,1;54348,7;X;472,4;147768,5
1302801;Maraã (AM);667,4;595,3;X;143,2;194,2;X;1004,9;-;795,1;3400,1
1302900;Maués (AM);4177,4;2343,6;X;6815,7;14903,5;1444,9;18239,6;X;11936,8;59861,5
1303007;Nhamundá (AM);1765,4;2314,5;-;13261,5;6505;3261,5;9065,3;-;10477,3;46650,5
1303106;Nova Olinda do Norte (AM);2605,7;1967,6;X;1860,7;2016;636,7;10931,6;X;5411,5;25429,8
1303205;Novo Airão (AM);162;398,8;-;17,9;311,1;X;6012,5;-;X;6902,3
1303304;Novo Aripuanã (AM);2008,9;1639,2;X;20625,4;24810,1;1746,5;27140,1;X;X;77970,2
1303403;Parintins (AM);2104,1;4488,9;2,6;55254,6;3695,8;1929,9;8830,9;-;8077,6;84384,4
1303502;Pauini (AM);781,8;6178,5;X;461,2;8528,4;X;22;-;202,8;16174,7
1303536;Presidente Figueiredo (AM);4830,1;5478,9;156,6;939,8;9433,5;1637,2;6024,7;2,2;528,7;29031,7
1303569;Rio Preto da Eva (AM);3789,9;944,1;289,8;694,4;2474,1;X;17224,6;X;145,5;25562,4
1303601;Santa Isabel do Rio Negro (AM);138,4;227,5;0,2;56,8;16,2;12,1;29,6;-;4,1;484,9
1303700;Santo Antônio do Içá (AM);339,3;357,2;0,5;164,3;46,6;X;372,2;X;30,5;1310,6
1303809;São Gabriel da Cachoeira (AM);651;8809,3;111;0,3;X;X;74,4;-;75,1;9721,1
1303908;São Paulo de Olivença (AM);626,5;483;2,6;53,4;12,2;9,8;27,6;X;X;1215,1
1303957;São Sebastião do Uatumã (AM);266,6;540,8;-;720,5;5626,5;206;851,3;X;X;8211,7
1304005;Silves (AM);530,2;518,4;4;4281,1;1707,1;256,7;1742,8;-;987,6;10027,9
1304062;Tabatinga (AM);719,3;798,6;0,9;144,6;209,8;-;350,6;1,5;9,1;2234,4
1304104;Tapauá (AM);533,8;704,9;X;225,9;2138,7;140;18690,7;-;X;22434
1304203;Tefé (AM);1117,6;2956;X;-;728,2;124;3814,5;X;-;8740,3
1304237;Tonantins (AM);330,1;260;X;1192;301;X;280,9;X;-;2364
1304260;Uarini (AM);509,2;6825,2;-;121,6;117,5;X;13742,6;X;-;21316,1
1304302;Urucará (AM);744,9;897,3;-;10592;7506,7;3306,2;2816,1;-;7415,3;33278,5
1304401;Urucurituba (AM);711,3;508,9;X;10082,5;9288,5;282;3921,9;X;8735,6;33530,7
1400027;Amajari (RR);3586;2693;450,1;218311,4;17500,3;14510;3263,8;-;59477,4;319792
1400050;Alto Alegre (RR);2442,8;18324,7;74,4;100763,9;39824,7;5425;3366,5;2033,9;424,8;172680,7
1400100;Boa Vista (RR);3761,8;10506,8;64,5;77623,1;7004,5;1744;2745,5;7788,1;928,4;112166,7
1400159;Bonfim (RR);2420,4;20103,2;X;191616,6;18559,6;2861,6;7639,2;X;5658,5;248859,1
1400175;Cantá (RR);1998,4;4118,5;26,8;6246,9;46039;8863,5;1739,9;17927,2;1945,7;88905,9
1400209;Caracaraí (RR);2329,1;2669,1;X;8597,7;27239,3;6831;39409,6;X;1678;88753,8
1400233;Caroebe (RR);4919,2;272,7;X;X;40338,4;3329,4;4302,3;X;30,2;53192,2
1400282;Iracema (RR);2956,7;4508,5;X;2864,5;25433,6;10989,4;305,5;X;3619,1;50677,3
1400308;Mucajaí (RR);870,9;2150,6;X;7125,2;66274,1;2479,5;4415,1;X;2730,1;86045,5
1400407;Normandia (RR);308,8;2279;-;15729,4;320,2;3366,9;195,9;-;107,4;22307,6
1400456;Pacaraima (RR);984,8;1153,4;X;16511,8;298;136,5;-;-;X;19084,5
1400472;Rorainópolis (RR);2787,3;1466,5;X;X;44933,6;5114,9;2450,7;-;594,1;57347,1
1400506;São João da Baliza (RR);4467,3;145,7;-;-;23038,3;3052,6;5269,8;-;-;35973,7
1400605;São Luiz (RR);820;87,4;-;-;23458,1;2206,7;-;-;-;26572,2
1400704;Uiramutã (RR);465;1129,8;46,1;17336,1;X;X;-;-;-;18977
1500107;Abaetetuba (PA);49465,9;4342,6;21;2052,3;779,2;80,3;12285,9;158,1;9427,9;78613,2
1500131;Abel Figueiredo (PA);28,8;322,1;-;514,3;19669,6;3658,4;X;X;-;24193,2
1500206;Acará (PA);14823,2;12554,6;476,1;2527,8;9151;3036,5;29901,7;1923,1;28082,1;102476,1
1500305;Afuá (PA);8172;633,9;0,2;1389;67,9;0,4;83172,5;84,2;1439,6;94959,7
1500347;Água Azul do Norte (PA);535,8;2623,4;90,1;12698,5;287321;16370,2;906;418,3;342,8;321306,1
1500404;Alenquer (PA);12873;13803,6;X;66712,4;69249,5;10445,7;8239,8;X;8412,6;189736,6
1500503;Almeirim (PA);3493,2;4747,4;X;51084,7;10229,3;2390,8;40912,2;X;12844,9;125702,5
1500602;Altamira (PA);18556;17061,9;57,5;47813,1;596264,6;37213,6;69842;662,3;25207,9;812678,9
1500701;Anajás (PA);10554,3;7995,4;-;4773,4;4371,6;588,9;6253,8;727,1;22,5;35287
1500800;Ananindeua (PA);648,2;39,8;X;X;X;X;219,8;X;32;939,8
1500859;Anapu (PA);6385,2;1525,6;16;4917,3;162946,3;9810,7;29039,4;154,2;21702,1;236496,8
1500909;Augusto Corrêa (PA);540,6;5869,3;8,1;3768,3;3187,2;571,2;954,7;7,6;365,2;15272,2
1500958;Aurora do Pará (PA);8042;6307,9;X;10957,5;36594,6;19120,7;2039,4;X;2435,9;85498
1501006;Aveiro (PA);3856,5;4407,6;80;3018,3;19654,4;1357,7;1788,7;356,5;873,5;35393,2
1501105;Bagre (PA);1331,8;185,8;X;58,2;-;-;117733,3;99;X;119408,1
1501204;Baião (PA);17124,5;3126,1;X;5659,1;5051,4;3541,6;5675,1;X;2022,1;42199,9
1501253;Bannach (PA);X;234,7;-;18877,9;164302;2780,1;X;X;6921,2;193115,9
1501303;Barcarena (PA);9910,6;908,4;X;X;439;60,1;3485,1;35,6;380;15218,8
1501402;Belém (PA);3519,8;83,8;X;-;X;-;888,9;X;-;4492,5
1501451;Belterra (PA);1880,9;11965,8;145;X;8116,8;X;2111,9;1182,6;763;26166
1501501;Benevides (PA);231,1;176,6;1,5;X;574,9;X;597,2;4,5;26,3;1612,1
1501576;Bom Jesus do Tocantins (PA);400,4;4428,1;X;6241,2;92411,2;5116,3;3793,3;X;7799,2;120189,7
1501600;Bonito (PA);13467,6;6858,7;X;74,5;6653,3;3202,1;220,4;X;1060,2;31536,8
1501709;Bragança (PA);1403;6518,2;X;5333;18161,2;4313,7;14092,6;X;10863,6;60685,3
1501725;Brasil Novo (PA);9348,7;1292,8;X;-;176993,9;12242,6;10141,4;X;2382,2;212401,6
1501758;Brejo Grande do Araguaia (PA);288,5;2186,7;X;-;82966,3;X;1558,6;-;3048,6;90048,7
1501782;Breu Branco (PA);3790,2;5311,9;50;17417,2;113253,1;23836;3654,5;7912,6;9912,1;185137,6
1501808;Breves (PA);44568,6;20921,8;350,7;112,3;141,6;105,6;83105,2;2038,1;3265,6;154609,5
1501907;Bujaru (PA);3101,2;4206,5;24,3;673,3;2406,1;321,9;8320;695,9;3203,7;22952,9
1501956;Cachoeira do Piriá (PA);4278,8;3831,8;4,5;5301;49526,6;9448,2;8241,5;65,7;4971,6;85669,7
1502004;Cachoeira do Arari (PA);2693,4;6582,1;-;43378,5;2037,4;9452,2;2453,7;-;3428;70025,3
1502103;Cametá (PA);8569,3;8228,1;56,9;759,1;234,3;361,8;45606,7;133,8;6748,2;70698,2
1502152;Canaã dos Carajás (PA);850,9;6816,6;X;814,2;96089,4;2139,7;519,4;X;750,2;107980,4
1502202;Capanema (PA);260,6;1799;X;2514,6;5667,7;2228,8;235,3;X;975,5;13681,5
1502301;Capitão Poço (PA);13561,5;4667,8;125,9;6703,7;40825,7;4478,7;3593;1231;3823,5;79010,8
1502400;Castanhal (PA);2661,2;1944,6;153,7;2262,9;11425,4;822,6;3159,9;521,5;1100,2;24052
1502509;Chaves (PA);6669;555,3;X;278705,4;2485,9;X;53239,2;98,2;1390,4;343143,4
1502608;Colares (PA);223,1;412,2;X;459,1;335;X;224,7;X;93,2;1747,3
1502707;Conceição do Araguaia (PA);2458,5;11845,9;X;41618,5;154294,2;35635,2;X;753,6;16315,7;262921,6
1502756;Concórdia do Pará (PA);6270;3179,2;-;669,3;3743;1413,5;837;X;X;16112
1502764;Cumaru do Norte (PA);124,2;9596,2;-;30562,7;518008,5;28035,5;X;X;1447,4;587774,5
1502772;Curionópolis (PA);400,5;1679,4;-;-;133263,6;5286;1965,2;X;X;142594,7
1502806;Curralinho (PA);6820,4;11480,9;60,6;X;X;-;42525,2;135,9;23279,7;84302,7
1502855;Curuá (PA);569,7;380,8;X;5518,4;9531,1;1392,8;337,8;X;1291,2;19021,8
1502905;Curuçá (PA);739,3;336,4;X;204;63,5;208,6;4454,2;X;68;6074
1502939;Dom Eliseu (PA);7012,1;58524;X;11503,1;18124,9;7071,5;1170;27670,4;X;131076
1502954;Eldorado do Carajás (PA);1028,4;1717,3;2,1;5421,2;172239,6;14916,8;1951,7;90,7;948,6;198316,4
1503002;Faro (PA);34,2;92,3;-;299,5;1358,5;398,7;625,8;-;-;2809
1503044;Floresta do Araguaia (PA);1705,3;10031,9;X;43593;82186,2;11517,4;1164,7;X;663;150861,5
1503077;Garrafão do Norte (PA);5290,7;6884,9;34,3;13690,6;22899;5585,2;1046,3;232,4;3000,2;58663,6
1503093;Goianésia do Pará (PA);2250,4;3033,6;10,9;43119;146933,6;20447,7;5183;4767,5;717,4;226463,1
1503101;Gurupá (PA);1442,7;375,9;X;2399;123;X;48650,4;X;359;53350
1503200;Igarapé-Açu (PA);7219;6825,6;52,5;5388,3;7640,8;938,8;3015,4;475,1;423,4;31978,9
1503309;Igarapé-Miri (PA);24115,9;706,5;7,7;156,5;X;1011,4;2398,2;X;1608,5;30004,7
1503408;Inhangapi (PA);977,7;446,8;X;1431,7;4075,6;59,4;4288,2;X;1771,9;13051,3
1503457;Ipixuna do Pará (PA);2532,1;12386,9;21,3;10155,5;60190,2;18770,5;4885,1;2523;5999;117463,6
1503507;Irituia (PA);3865,6;3529;13,2;6796,3;23045,3;4145,5;10835,7;90,8;3112,8;55434,2
1503606;Itaituba (PA);2089,8;3170,1;4,5;6328,8;112560,4;8737,1;2430,8;696,6;2034,2;138052,3
1503705;Itupiranga (PA);3321,6;2484,5;43,9;1457,9;289283,5;33665,9;4025;576,4;5375,2;340233,9
1503754;Jacareacanga (PA);261,9;14968,3;X;8724;63922,3;X;X;X;X;87876,5
1503804;Jacundá (PA);93,5;292,4;X;2783,5;86980,3;11855;1987,8;X;1874,2;105866,7
1503903;Juruti (PA);485,7;1854,2;X;5987,9;5046,8;440,4;10820,6;X;3032,8;27668,4
1504000;Limoeiro do Ajuru (PA);2293,5;51,3;X;15,6;X;4,6;31171,8;15,6;2055,5;35607,9
1504059;Mãe do Rio (PA);1457,1;1101,1;9,1;1058,9;12315,5;3141,6;1652,5;786,5;434,1;21956,4
1504109;Magalhães Barata (PA);149,2;788,7;-;367,2;1188;179;6725,6;X;X;9397,7
1504208;Marabá (PA);3964,2;6915,5;62;X;474911,6;23292,8;28270,8;X;23700,1;561117
1504307;Maracanã (PA);1364,5;2654,3;X;X;1728,3;168,8;3207,4;97,2;833,3;10053,8
1504406;Marapanim (PA);330,2;1302,3;X;630,3;1151,4;50,3;3020,1;X;X;6484,6
1504422;Marituba (PA);36,4;X;X;X;-;-;X;-;-;36,4
1504455;Medicilândia (PA);27176,9;1054,4;X;X;117228,1;11610,1;37674,6;112,9;1130;195987
1504505;Melgaço (PA);33;26,4;-;1,2;X;-;60;0,2;X;120,8
1504604;Mocajuba (PA);3212,9;2117,7;39,2;515;673,5;263,3;11442,7;68,2;1147,7;19480,2
1504703;Moju (PA);37021,1;21652,7;25,7;8084,6;45714,8;16782,2;44295,6;777,9;1699,6;176054,2
1504752;Mojuí dos Campos (PA);2590,4;19082,5;12,7;7699,2;12136,6;3006,1;208;-;13888,6;58624,1
1504802;Monte Alegre (PA);4552,4;16010,1;X;20535,8;65401,4;8774;3460,9;X;6368,2;125102,8
1504901;Muaná (PA);22115,8;94,1;X;13579,6;X;3409;36155,9;115;720,2;76189,6
1504950;Nova Esperança do Piriá (PA);2255,7;4668,8;226,9;8611,1;24333,9;8611,8;7828,5;46,4;1631,6;58214,7
1504976;Nova Ipixuna (PA);1936,1;1043,8;X;2678,1;77344,6;6232,5;1247,9;X;2678,8;93161,8
1505007;Nova Timboteua (PA);624,5;2860,2;X;322,3;8415;1241;X;X;-;13463
1505031;Novo Progresso (PA);813,5;9697,4;59,6;855,2;335930,2;8015,3;197639;11,4;622,7;553644,3
1505064;Novo Repartimento (PA);4023,9;4352,2;9,7;43935,6;483749,4;46620,8;2217,2;414;2799,9;588122,7
1505106;Óbidos (PA);853,4;3259,8;1,8;33580;57972,2;6852,7;2714,3;136,9;5605,2;110976,3
1505205;Oeiras do Pará (PA);941,5;2484,3;13,3;194,6;673,8;256,5;18416;6,5;4313,6;27300,1
1505304;Oriximiná (PA);3389,7;4295,9;30;25515,5;24830,4;1739;23875,1;70,6;3112,2;86858,4
1505403;Ourém (PA);948,5;1859,3;X;5096;16436,5;3870;4220;X;205,6;32635,9
1505437;Ourilândia do Norte (PA);1167;494,6;0,9;2492,1;135403,2;7155,2;10469,8;75,5;123,9;157382,2
1505486;Pacajá (PA);6573,3;5013,9;49,7;8323,6;379113,4;40408,9;50943;128,8;20050,8;510605,4
1505494;Palestina do Pará (PA);X;1138,8;-;-;47678,8;734;X;-;-;49551,6
1505502;Paragominas (PA);35591,8;76330,5;14,8;15183,5;165563,4;18437;19022,7;43646;6433,4;380223,1
1505536;Parauapebas (PA);907,4;1703,6;5;-;59377,7;2789,3;761,5;37,9;391,1;65973,5
1505551;Pau D'Arco (PA);839,2;1127,7;X;24022,4;65768;5316,5;455;600,2;X;98129
1505601;Peixe-Boi (PA);953,3;517,1;-;649,1;12044,8;2625;X;X;-;16789,3
1505635;Piçarra (PA);357,8;2074,4;-;10135,4;217698,1;15327,6;944,4;2224,4;971,4;249733,5
1505650;Placas (PA);7846,6;4950,4;X;X;104317;8357,4;41214,8;1418,7;2536;170640,9
1505700;Ponta de Pedras (PA);915,6;262,9;-;11706,1;X;87,5;20693,6;X;1034,3;34700
1505809;Portel (PA);1366,6;2064,3;1,3;651,1;18780,6;3796,9;556,2;1,7;434,8;27653,5
1505908;Porto de Moz (PA);1942,3;3182,6;X;78212,1;54027,1;928,1;49413,7;X;1995,2;189701,1
1506005;Prainha (PA);375,1;6029,6;X;30678,8;24680,5;4079,5;16088,3;X;7321,7;89253,5
1506104;Primavera (PA);62,6;278,5;-;X;256;68,4;3289,5;-;X;3955
1506112;Quatipuru (PA);65;111,4;-;242,7;407,9;X;104,2;-;-;931,2
1506138;Redenção (PA);595;4649,9;X;39169,6;119928,1;9225,2;480,9;X;531,6;174580,3
1506161;Rio Maria (PA);695,6;1104;X;37475;191696;17794,6;1088,2;34,1;X;249887,5
1506187;Rondon do Pará (PA);799,5;18127,4;-;5261,1;235591,6;16449;587,5;X;X;276816,1
1506195;Rurópolis (PA);4045,4;5068,4;16,4;3474,7;128591,7;6535,7;6283,4;86,1;980,1;155081,9
1506203;Salinópolis (PA);33,3;199,6;X;-;X;14;316,5;11,9;X;575,3
