Município (Código);Município;Lavouras - permanentes;Lavouras - temporárias;Lavouras - área para cultivo de flores;Pastagens - naturais;Pastagens - plantadas em boas condições;Pastagens - pastagens plantadas em más condições;Matas ou florestas - matas e/ou florestas naturais;Matas ou florestas - florestas plantadas;Sistemas agroflorestais - área cultivada com espécies florestais também usada para lavouras e pastoreio por animais;Soma
3149952;Periquito (MG);110,7;213,4;-;2231;6397,6;126,2;X;X;-;9078,9
3150000;Pescador (MG);36,9;238,3;-;10611,1;9778,8;X;1342;-;X;22007,1
3150109;Piau (MG);1140,8;454,3;X;2002,9;6128,1;158,3;39,7;50,5;X;9974,6
3150158;Piedade de Caratinga (MG);2523;1335,7;X;64,7;1796,9;306,3;X;292,4;-;6319
3150208;Piedade de Ponte Nova (MG);30,9;1425,1;X;922,1;3300;X;X;X;X;5678,1
3150307;Piedade do Rio Grande (MG);415,1;2095,2;X;5013,8;4039,7;X;X;805,4;599,6;12968,8
3150406;Piedade dos Gerais (MG);720,8;1078,5;X;4069,1;2707,7;134,8;337;313,6;X;9361,5
3150505;Pimenta (MG);2612,8;6394,5;X;1000,1;11591;X;153,9;910,7;X;22663
3150539;Pingo-d'Água (MG);11,1;810,3;-;1425,3;X;-;X;X;-;2246,7
3150570;Pintópolis (MG);1064,7;2822,4;X;6607,8;11312,5;11723,9;4740;X;8550,5;46821,8
3150604;Piracema (MG);84,8;1244,9;X;3761,6;6203,4;262,2;X;82,2;9,5;11648,6
3150703;Pirajuba (MG);X;26026,8;-;X;1998,9;X;X;X;-;28025,7
3150802;Piranga (MG);586,1;2323,1;7,4;3351,7;10942,6;666,3;140,2;3874,1;122,3;22013,8
3150901;Piranguçu (MG);601,8;169,7;14,5;3927,1;3550,8;48,5;X;165,3;X;8477,7
3151008;Piranguinho (MG);538;708,1;X;2399,8;5088,2;X;-;48,6;233,2;9015,9
3151107;Pirapetinga (MG);167,1;556,4;-;9996,3;1310,1;-;X;78,2;X;12108,1
3151206;Pirapora (MG);2510,1;1615,6;-;7222,5;8019,2;1041,3;X;X;X;20408,7
3151305;Piraúba (MG);896,5;440,9;112;6535,7;X;X;X;55,9;180;8221
3151404;Pitangui (MG);188,7;2221,1;2,2;9630;13768,8;1695,4;392,1;1030,7;712,4;29641,4
3151503;Piumhi (MG);15575,4;7222;7,5;7295,1;22669,9;330,5;671,7;1772;184,1;55728,2
3151602;Planura (MG);523;17694,9;X;739,9;X;-;434,4;-;-;19392,2
3151701;Poço Fundo (MG);10363,9;1997,4;8,8;8060,5;9697,5;225,5;206,6;205,9;145,1;30911,2
3151800;Poços de Caldas (MG);4881,1;1948,9;32,9;6612,5;6084,2;X;819,4;6144,8;X;26523,8
3151909;Pocrane (MG);738,4;563,4;X;10070,1;32786,7;2262,1;X;537,2;66,7;47024,6
3152006;Pompéu (MG);744,9;31811,3;X;11489,4;63681,3;2058,3;1942,4;27321,8;X;139049,4
3152105;Ponte Nova (MG);558,3;3392,5;X;4528,6;12792;152,1;149,9;1195,1;X;22768,5
3152131;Ponto Chique (MG);X;188,9;-;451,2;12790,3;14327,4;X;X;X;27757,8
3152170;Ponto dos Volantes (MG);351;950,4;X;9842,7;11332,5;2036,1;2257,8;X;4559,8;31330,3
3152204;Porteirinha (MG);518,1;6672,5;X;4081,6;35940,2;13119,7;11081,9;X;3547,9;74961,9
3152303;Porto Firme (MG);832,9;1550,8;X;5663,1;2494,5;156,2;48,9;2191,4;X;12937,8
3152402;Poté (MG);1093,9;2455,6;8,2;6947,4;16328,4;1142,3;5406,9;222,7;270,7;33876,1
3152501;Pouso Alegre (MG);313,8;6887,2;169,5;13231,8;5663,8;77,5;574,7;292,7;302,7;27513,7
3152600;Pouso Alto (MG);358,1;1496,6;X;4135,8;6889,4;38,7;72,8;283,2;X;13274,6
3152709;Prados (MG);144,7;1782,7;X;2514,1;4662,2;312;X;864,7;375,1;10655,5
3152808;Prata (MG);17997;35373,7;X;5587,9;228215,7;5261,6;X;15294,8;1897,7;309628,4
3152907;Pratápolis (MG);1259,7;2937,6;X;1299,8;6642,4;X;30;750,6;6,7;12926,8
3153004;Pratinha (MG);2730,9;4973,8;-;10548,6;9345,4;430,5;X;1196,2;X;29225,4
3153103;Presidente Bernardes (MG);180,6;1665,2;-;3568,2;3120,9;44,9;102,2;863,8;106,4;9652,2
3153202;Presidente Juscelino (MG);123,8;1764,4;-;2057;13779,1;2584,5;1406,2;500,3;682,3;22897,6
3153301;Presidente Kubitschek (MG);36,9;109,9;-;1094,3;556,2;X;3418,2;321,3;X;5536,8
3153400;Presidente Olegário (MG);7161;34814,3;X;53459;78094,5;10733,5;X;9058,7;2386;195707
3153509;Alto Jequitibá (MG);5686,2;26,8;-;1983,3;293,3;16,6;X;189,3;X;8195,5
3153608;Prudente de Morais (MG);82,1;325,4;X;959,7;3974,5;414;162,3;407;X;6325
3153707;Quartel Geral (MG);553,1;759,3;-;6664,8;23323,5;1179,4;X;5351,3;X;37831,4
3153806;Queluzito (MG);261,3;712,1;X;2776,3;1603,7;X;X;179,4;-;5532,8
3153905;Raposos (MG);5,7;27,4;-;32,2;32,3;X;15,3;X;X;112,9
3154002;Raul Soares (MG);4987,5;2095;X;13694,5;28848,3;1152,3;277,3;1081,1;X;52136
3154101;Recreio (MG);26,2;418,4;-;3179,5;11040;175,7;X;156,6;X;14996,4
3154150;Reduto (MG);4188,2;26,2;-;2107,7;224,2;91,9;X;-;X;6638,2
3154200;Resende Costa (MG);177,9;2771,7;-;5372,8;15817,8;143,9;83,7;3714,2;8,6;28090,6
3154309;Resplendor (MG);350,9;451,5;X;2285,9;54811,7;6143,2;X;25,2;41,6;64110
3154408;Ressaquinha (MG);21,2;2412;X;2009,5;2367,7;461,1;X;1052,7;X;8324,2
3154457;Riachinho (MG);622,2;10448;-;23750,3;48657,6;13275,3;X;X;16085;112838,4
3154507;Riacho dos Machados (MG);991,9;1144,1;30,5;3102,1;489,6;9736,3;17855,2;13492,2;-;46841,9
3154606;Ribeirão das Neves (MG);12,5;123,7;X;1119,7;1106,6;202,6;293,4;X;X;2858,5
3154705;Ribeirão Vermelho (MG);169,5;279,7;-;603,8;1378,6;45,5;18,5;15;37,1;2547,7
3154804;Rio Acima (MG);19,2;77,9;1,1;524,9;996,6;70,2;321,9;377,2;9,2;2398,2
3154903;Rio Casca (MG);36;2796;-;12844,9;11127;X;X;250;X;27053,9
3155009;Rio Doce (MG);191;197,3;-;2489;3664,3;46,4;X;8;X;6596
3155108;Rio do Prado (MG);91,8;488,8;-;2148,5;14272;6883,4;451;45,3;718,7;25099,5
3155207;Rio Espera (MG);308,6;1895,6;X;2347,4;6321;18,9;35,8;295,9;X;11223,2
3155306;Rio Manso (MG);49,8;951,7;1,2;1511,1;3813,9;178,2;101,9;92,9;11,9;6712,6
3155405;Rio Novo (MG);196,5;417,7;11,8;508,6;10248,8;335,1;X;325,4;X;12043,9
3155504;Rio Paranaíba (MG);17414,6;24328,9;X;10063,2;33011,7;2066,4;1040,1;X;415,9;88340,8
3155603;Rio Pardo de Minas (MG);1140,5;11168,6;14,6;5767,6;6920,9;4522,7;14321,1;33888,6;16910,7;94655,3
3155702;Rio Piracicaba (MG);215,2;436;X;4336;3654,8;X;212,6;4291;168,4;13314
3155801;Rio Pomba (MG);174;931,1;X;11181,7;1039,8;119,5;214,5;167,2;X;13827,8
3155900;Rio Preto (MG);X;607,1;X;3185,6;12138;131,9;-;491,5;-;16554,1
3156007;Rio Vermelho (MG);818,5;1992;6,9;4117;28510,7;2363,5;4431,8;841,4;778,9;43860,7
3156106;Ritápolis (MG);X;1964,3;X;1590,7;10769,5;540,4;348,4;2126,2;1139,2;18478,7
3156205;Rochedo de Minas (MG);X;167,4;-;-;4077,1;-;X;X;-;4244,5
3156304;Rodeiro (MG);131;165,6;X;2532;535,9;X;2,2;123,9;X;3490,6
3156403;Romaria (MG);8730,2;11952,4;X;1450,7;2164,6;167,5;33;114,9;X;24613,3
3156452;Rosário da Limeira (MG);1195,2;X;-;3544,4;X;-;X;196;-;4935,6
3156502;Rubelita (MG);388,1;2066,7;X;18021,9;11544;10731,9;24663,9;X;243,5;67660
3156601;Rubim (MG);60,5;458;X;30648,3;27792,8;4221,9;X;X;248,3;63429,8
3156700;Sabará (MG);316,1;177,5;0,1;1016,8;486,4;193;39,5;23,2;18,7;2271,3
3156809;Sabinópolis (MG);392,1;1860,8;5,9;2205;24320,9;4053,1;7343,4;10272,2;1689,8;52143,2
3156908;Sacramento (MG);6771,4;72516,9;X;23790,4;55787,5;1963,5;2123,6;22188;X;185141,3
3157005;Salinas (MG);1529,9;2813,5;X;7588,5;15037,4;22848;7202,1;X;12617,9;69637,3
3157104;Salto da Divisa (MG);45,8;42,7;X;4375,6;54756,8;7538;X;-;-;66758,9
3157203;Santa Bárbara (MG);115,3;374,3;0,2;485,1;3304,4;178,2;393,4;7964,5;195,1;13010,5
3157252;Santa Bárbara do Leste (MG);4142,9;351,6;2,5;1632,5;283,7;X;13,2;428,5;X;6854,9
3157278;Santa Bárbara do Monte Verde (MG);40,1;435,5;-;2117,8;12125,7;730;-;X;X;15449,1
3157302;Santa Bárbara do Tugúrio (MG);777,3;325,3;-;377;9316,3;X;84,2;337,6;X;11217,7
3157336;Santa Cruz de Minas (MG);-;X;-;-;X;-;-;-;-;0
3157377;Santa Cruz de Salinas (MG);266,7;1047,3;X;2892,7;8589;5206,7;962,3;X;2332;21296,7
3157401;Santa Cruz do Escalvado (MG);226,9;1342,1;X;3409;6464,4;2116,7;118,5;131,3;X;13808,9
3157500;Santa Efigênia de Minas (MG);64,4;178,5;-;724,4;4811,4;380,4;892,6;304,7;-;7356,4
3157609;Santa Fé de Minas (MG);988,7;353,9;X;36132,7;24436;17874,4;56277;8291,1;X;144353,8
3157658;Santa Helena de Minas (MG);223,9;378,5;-;548,7;15281,2;66,7;160,8;-;-;16659,8
3157708;Santa Juliana (MG);1146,5;33247,6;X;5963;4574,9;X;X;X;X;44932
