"";"...1";"area_estabelecimentos";"area_lavouras";"area_producao";"despesas_terra";"qtde_estabelecimentos";"pessoal_ocupado";"salarios";"pessoal_homens";"pessoal_mulheres";"qtde_tratores";"qtde_maquinas";"uso_adubos";"uso_corretivos";"uso_assistencia_tecnica";"uso_agrotoxicos";"uso_conservacao";"uso_irrigacao";"uso_energia";"despesa_insumos";"intensidade_agrotoxico";"despesas_estabelecimentos";"despesas_outras";"despesas_lavouras";"receitas_lavouras";"receitas_estabelecimentos";"CR_sicor";"producao";"pib_agro_municipios"
"3659";4313425;15112,8;13135,1;16067;28992;712;1983;1138;1135;848;511;1280;674;155;495;495;1275;6;584;28385;2930,66666667;52336;6643;46725;68682;694;30329403,39;79047;56002,88
"3660";4313466;5802,5;4955;5055;11376;360;843;400;515;328;165;431;339;88;273;273;513;10;262;14336;49,21568627;22953;2149;13292;18888;361;16030289,63;35739;21733,05
"3661";4313490;8283,7;7395,7;8099;13387;664;1688;925;999;689;245;609;635;199;291;291;938;7;588;15765;80,63157895;27754;1767;19294;27248;653;21182154,78;40480;28943,24
"3662";4313508;31210;7657,3;17698;17653;526;1197;5197;918;279;280;436;397;182;148;148;488;72;511;15529;27,42276423;41571;1420;23238;30919;507;10696786,89;66610;36753,78
"3663";4313706;99593,3;93612;111590;174006;1155;3370;19834;2343;1027;1029;2383;1080;428;567;567;2402;57;1019;156935;629,65454545;284499;22157;270168;385564;1129;186643717,35;480390;314851,39
"3664";4313805;8762;4854,7;5698;6587;954;2332;1412;1383;949;213;395;855;53;370;370;731;32;918;10527;57,75;23928;2347;8067;16454;945;13457286,06;49372;44341,67
"3665";4313904;32625,2;28860,3;31994;52879;849;2179;5010;1342;837;889;2032;786;337;669;669;1037;44;830;59803;561,23809524;102552;5157;78128;108199;842;99892810,44;163561;112583,91
"3666";4313953;63575,4;23316,1;38301;39105;262;752;8875;629;123;366;689;168;107;138;138;222;33;237;32014;801,46153846;90646;2950;61853;82281;247;39233958,15;142964;91789,27
"3667";4314001;6626,9;4341,7;3530;9374;484;1420;1164;908;512;343;695;422;137;347;347;694;11;445;39456;20,4375;59497;2916;7765;11052;478;13198304,79;85725;44423,43
"3668";4314027;15152,6;9306,9;19336;18082;1057;2786;1725;1671;1115;856;1419;1032;458;769;769;880;152;1057;16768;983;35839;2734;33758;65658;1043;17137523,39;71489;64486,97
"3669";4314035;2309,7;1530,9;2411;2829;377;1178;3808;731;447;387;439;333;96;168;168;193;84;374;2978;0,45130641;12218;662;4412;13487;375;7918790,37;26478;18417,54
"3670";4314050;3563,1;476,6;1555;779;201;422;696;288;134;73;84;147;63;65;65;186;13;188;1428;3,6;4311;8;1190;4709;194;1535093,55;7053;4251,96
"3671";4314068;15151,4;9074,3;19736;16129;1014;2777;2194;1650;1127;385;628;991;363;675;675;1155;6;987;15568;242;35927;7223;33908;61933;997;13315063,52;67921;54230,01
"3672";4314076;16740,7;8658;16081;19107;1078;2526;2642;1564;962;500;709;954;456;704;704;1268;40;1043;18948;1291,75;38736;1975;31656;69312;1068;19916160,86;72969;69690,92
"3673";4314100;47632,6;42662,7;55216;71055;900;2942;19416;2090;852;1005;2052;816;432;473;473;1272;99;851;63144;280,88172043;133745;3569;116281;174567;889;226544098,98;211885;136799,07
