"";"City";"Município (Código)";"area_lavouras";"despesa_insumos";"despesa_lavouras";"despesa_terras";"pessoal_ocupado";"qtde_maquinas";"qtde_tratores";"receita_lavouras";"uso_adubos";"uso_agrotoxicos";"uso_assistencia_tecnica";"uso_corretivos";"producao";"pib_agro";"CR_anuario";"cluster"
"18";2300150;-1,07797098310876;-0,428626893982327;-0,20933860851851;-0,231346695466555;-0,18445054845885;-0,419693242117261;-0,637118443643935;-0,633549962177542;-0,37959121654781;-0,574099569870676;-0,289254596601187;-0,664680856782838;-0,627988687944617;-0,469522615762684;-0,563095320198142;-0,329413188822824;5
"19";2300200;-1,07791943533431;1,00494456280208;-0,10945297631708;-0,168862098200121;-0,151986463762893;3,06134820582262;0,639410219515187;-0,524931446397383;-0,183921842966092;1,69781341408658;4,98161382619761;0,557934255973024;-0,294918475620717;0,0530074320447918;0,819430122172258;0,464954215870298;1
"20";2400109;-0,974917703379951;-0,454357211059641;-0,167542492916493;-0,235815156618587;-0,179771242457847;-0,575816656108487;-0,482855161086941;-0,654438138289111;-0,410292623407277;-0,450064284122327;-0,539070509647962;-0,533014613870668;-0,62411577849899;-0,43820109148913;-0,528660129851047;-0,281537891722659;5
"21";2200053;-1,18116653469505;-0,344153777539825;-0,209295674655539;-0,244290461035045;-0,185323720392052;0,672076332826054;0,621669942021133;-0,679503949622993;-0,419391909150694;-0,691933091331607;-0,103747730477344;-0,849013596859875;-0,639607416281497;-0,476632478415543;-0,628678089215492;-0,317904198547061;5
"22";4300034;0,983820404131674;0,192343193972741;-0,0297033258489281;-0,118268777718434;-0,0356307064077964;-0,232564009926843;0,843037752490419;1,34247149797688;0,168959108727076;0,240398806543481;-0,326355969825955;0,313411233421852;-0,271681018946957;0,884003468907238;0,177125700648848;-0,0064210299740959;2
"23";2300309;-1,077807061186;0,288379506082921;-0,185360046049351;-0,209225966292445;-0,174823268169704;4,48177945367737;1,37370344448648;-0,416312930617225;-0,359030998379479;-0,022142548290524;7,9398299846525;1,67521637439915;-0,60087832182523;-0,254516556280147;0,18641235631332;-0,163504575735642;1
"24";5100102;1,80865490033579;-0,227197790824763;-0,19222946412467;-0,239545029150449;-0,179390629051066;-0,523289152335738;-0,556901536714298;-0,307694414837066;-0,399364219155642;-0,563763296058313;-0,618220105860802;-0,100396958587825;-0,387868302315759;-0,421430114206243;-0,627186801444554;-0,261091560745666;2
"25";1200013;-2,2121632619532;-0,337357090009969;-0,174648047238151;-0,228521593994402;-0,180733970486761;-0,00530960124335334;-0,573870497795567;-0,533286716842011;-0,259980758149614;-0,704336619906442;0,240058328072179;-0,277205913355595;-0,604751231270857;-0,253524091225292;0,128692740997275;-0,196426670290953;5
"26";5200134;1,9117834398153;1,72120067917896;0,444350922142513;0,345269440300643;0,495078716787356;-0,615212283938048;-0,0786853607876181;0,56960898184883;0,75272575363488;-0,0779584268772809;-0,437660089500261;0,328458804040385;0,588104877982179;1,21802122776432;0,747509380128425;0,588173838213811;2
"27";2400208;-0,974815638786536;-0,330604536814722;-0,194483491930634;-0,202560203995405;-0,171285802389041;-0,473315068885275;-0,421149848064144;-0,575063069065149;-0,288320518327584;-0,445929774597382;-0,1161148548856;-0,0928731732785577;-0,62411577849899;-0,319469749474715;-0,339673297788647;-0,209731608330148;5
"28";3100500;-0,25284575745673;-0,359468391649307;-0,190254506428016;-0,243385689975336;-0,179413018074995;-0,00239140658931174;-0,638661076469505;-0,641905232622169;-0,418118472214592;-0,654722505607102;-0,667688603493827;-0,657157071473571;-0,581513774597096;-0,352714525238751;-0,396850626642533;-0,307349787554217;5
"29";3500105;0,159129210740532;0,915219460541048;0,159205671222334;0,44573595735935;0,177356078221612;-0,4820696528474;0,308515478430436;0,486056277402554;2,42748055179917;0,0419423493461228;-0,106221155358995;-0,254634557427795;0,522265417406525;-0,015898799927588;0,190818433818361;5,5894731256965;2
"30";5200159;1,91180921370253;-0,462213122620125;-0,197789399379381;-0,245084443801728;-0,178427901022152;-0,78154937921842;-0,650230822661279;-0,666971043956052;-0,415455831348198;-0,677462307994299;-0,640480929795664;-0,773775743767207;-0,608624140716483;-0,477181978841395;-0,639523818458671;-0,299501737986122;2
"31";3500204;0,159231275333946;-0,0318592258433033;0,246060876012144;0,107776269484782;0,296600019663452;-0,820580232716226;-0,456630403052252;-0,107167924166004;0,492226863306172;-0,563763296058313;-0,63306065515071;-0,589443003690169;-0,298791385066344;-0,154972871992926;-0,0376197383661032;-0,18171614765054;2
