"";"Ano";"Município (Código)";"Município";"area_lavouras";"despesa_insumos";"despesa_lavouras";"despesa_terras";"CR_RECOR";"pessoal_ocupado";"qtde_maquinas";"qtde_tratores";"receita_lavouras";"uso_adubos";"uso_agrotoxicos";"uso_assistencia_tecnica";"uso_corretivos";"producao";"pib_agro";"cluster"
"44";"2006";"1101476";"Primavera de Rondônia - RO";1885;2602;568;699;7937062,42;1454;207;71;1151;42;291;337;27;34203;6788;4
"45";"2006";"1101484";"São Felipe D'Oeste - RO";4266;2278;1264;1092;9687746,33;2896;340;81;2747;111;605;293;14;34723;15018;4
"46";"2006";"1101492";"São Francisco do Guaporé - RO";5097;6491;1092;1255;2466227,81;4829;277;166;4267;81;599;488;27;124104;23284;6
"47";"2006";"1101500";"Seringueiras - RO";7178;3663;1756;524;7156337,19000002;5335;91;48;3996;77;723;222;40;112441;18650;6
"48";"2006";"1101559";"Teixeirópolis - RO";1533;2452;246;517;1168521,9;2597;159;15;393;39;399;519;5;42319;10838;4
"49";"2006";"1101609";"Theobroma - RO";6240;4138;2108;954;2983597,52;5055;239;85;4080;64;410;665;37;97560;23637;6
"50";"2006";"1101708";"Urupá - RO";5247;3550;697;402;3290451,92000001;5677;189;31;3999;60;472;1241;7;55861;19784;6
"51";"2006";"1101757";"Vale do Anari - RO";7028;3311;1169;754;938929,259999999;4443;115;37;1790;45;381;177;89;54453;17197;4
"52";"2006";"1101807";"Vale do Paraíso - RO";5468;2643;837;394;3109461,92;3502;200;46;2255;92;338;585;11;55633;22157;9
"53";"2006";"1200013";"Acrelândia - AC";3360;1767;985;243;81040580,4400004;2386;143;39;6927;29;373;154;11;47638;24666;4
"55";"2006";"1200104";"Brasiléia - AC";11712;1050;466;54;33114578,27;3628;105;21;2029;20;38;104;8;79841;21686;4
"56";"2006";"1200138";"Bujari - AC";1932;1392;464;204;11657770,15;2254;285;51;3484;26;57;107;9;73939;21578;4
"57";"2006";"1200179";"Capixaba - AC";3024;3466;1639;636;55884735,9;2904;408;65;7761;169;138;201;90;58169;16808;4
"58";"2006";"1200203";"Cruzeiro do Sul - AC";7995;489;1023;154;1815257,81;7842;190;11;10188;53;14;75;10;68176;21404;6
"59";"2006";"1200252";"Epitaciolândia - AC";10380;438;445;78;8096112,70000002;2807;156;12;2125;19;43;61;7;50669;12410;4
"65";"2006";"1200385";"Plácido de Castro - AC";5929;3203;695;387;86552383,3800001;4155;1077;61;2972;50;262;127;32;63720;19366;4
"67";"2006";"1200401";"Rio Branco - AC";9118;5118;4684;1648;190141899,25;8029;1395;127;16895;242;240;321;48;188905;47214;6
