;Rondônia;Rondônia;Rondônia;Rondônia;Rondônia;Rondônia;Acre;Acre;Acre;Acre;Acre;Acre;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Roraima;Roraima;Roraima;Roraima;Roraima;Roraima;Pará;Pará;Pará;Pará;Pará;Pará;Amapá;Amapá;Amapá;Amapá;Amapá;Amapá;Tocantins;Tocantins;Tocantins;Tocantins;Tocantins;Tocantins;Maranhão;Maranhão;Maranhão;Maranhão;Maranhão;Maranhão;Piauí;Piauí;Piauí;Piauí;Piauí;Piauí;Ceará;Ceará;Ceará;Ceará;Ceará;Ceará;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Paraíba;Paraíba;Paraíba;Paraíba;Paraíba;Paraíba;Pernambuco;Pernambuco;Pernambuco;Pernambuco;Pernambuco;Pernambuco;Alagoas;Alagoas;Alagoas;Alagoas;Alagoas;Alagoas;Sergipe;Sergipe;Sergipe;Sergipe;Sergipe;Sergipe;Bahia;Bahia;Bahia;Bahia;Bahia;Bahia;Minas Gerais;Minas Gerais;Minas Gerais;Minas Gerais;Minas Gerais;Minas Gerais;Espírito Santo;Espírito Santo;Espírito Santo;Espírito Santo;Espírito Santo;Espírito Santo;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;Paraná;Paraná;Paraná;Paraná;Paraná;Paraná;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Distrito Federal;Distrito Federal;Distrito Federal;Distrito Federal;Distrito Federal;Distrito Federal
Arroz (em casca);43980;36726;39063;43325;40859;40041;4986;4680;4372;3850;3762;3637;361;322;548;494;783;523;9878;9918;10062;12400;10310;12210;72973;68434;39031;38241;43542;44696;1470;1497;854;825;867;842;110974;111452;123301;123022;128570;125084;168407;155584;130101;91832;90977;96544;75681;68044;65396;46513;54198;56382;6143;6716;6535;5250;5269;5633;808;851;859;885;878;900;823;1067;1588;2187;1919;1953;359;651;556;504;604;804;2743;3775;3092;3008;2344;3440;4580;4745;3997;3631;4620;6126;7074;1022;449;317;480;477;7424;3694;3084;3084;2785;2679;198;93;119;98;91;98;251;340;319;286;34;295;10996;10718;12201;11491;11307;10842;25673;25572;23904;23121;20905;21252;147483;146796;142919;143072;148938;147794;1088566;1104732;1068311;982886;951397;949611;14887;15342;12796;9542;9410;10222;174263;206217;155776;136797;116625;122627;23662;21784;27093;40547;28461;25814;-;-;-;-;-;-
Aveia (em grão);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;450;8292;9496;8469;5706;4863;-;-;-;-;-;-;-;-;-;-;-;-;6471;7769;5973;6030;8851;10372;64261;70067;80104;89812;81696;98908;16135;16981;23579;26879;24215;22715;227642;253534;284826;288084;324240;345511;15300;20198;38958;40210;33000;23441;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Azeitona;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;-;3;151;216;346;349;391;445;1;1;-;2;-;-;-;-;-;-;-;-;32;99;56;166;201;212;-;-;-;-;-;-;20;-;-;-;-;-;371;647;717;904;1309;1464;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Banana (cacho);7783;8808;6528;6350;6630;6807;8502;8745;8485;8350;7850;7770;6755;8445;8071;6773;6558;6395;8963;6467;6151;6583;6596;5675;42510;43911;35348;35967;35656;39736;2247;2195;1699;1694;1724;1753;3207;2726;11244;12021;3392;3860;6941;7106;6196;4711;4216;4407;1967;1852;2012;2415;2535;2591;39140;40033;34378;35027;35690;35997;5191;7455;7809;7706;7804;7928;10814;9899;10668;10843;10706;10599;36679;37038;41581;44457;44556;43228;4789;11201;7840;8688;8814;9022;2078;2020;2031;2033;1874;1974;68220;73080;66046;65545;64933;65574;44769;41577;46910;48112;47875;47734;23535;25023;28198;28256;28837;28797;20774;11429;9277;9469;8767;8445;52852;49991;49210;50699;49093;48321;8016;7800;7504;8193;8199;7135;29575;29145;28927;29364;29592;29646;11857;11859;11883;11892;12161;12208;1585;1649;1360;1652;1192;1444;6967;6724;7099;7088;6778;6897;13584;13719;13586;13852;13880;12258;166;169;174;174;174;174
Batata-doce;-;-;-;-;-;-;109;104;93;88;88;87;473;500;423;350;570;453;46;87;76;250;240;257;30;30;25;25;25;27;-;-;-;-;-;-;-;-;-;1;1;5;60;8;6;4;3;2;41;39;48;40;31;27;2638;3305;4064;4801;5205;5265;3600;4289;4443;4873;4979;4672;3949;4687;4725;5149;5087;4496;1753;3027;2492;3691;3477;3071;2459;2964;3635;4303;4463;4316;3051;3465;2709;3791;4066;2905;1641;1271;994;1053;975;1047;3369;2746;2600;3352;3825;3714;173;249;251;298;354;352;501;481;760;625;690;680;8341;8383;8648;8742;10185;8982;2604;2833;2758;2593;2723;2950;1880;1827;812;988;1109;1119;12523;12975;12779;11973;11291;11666;132;132;200;174;88;112;210;283;211;122;132;132;96;-;-;-;-;-;246;683;250;250;250;250
Batata-inglesa;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;111;45;15;7;20;-;-;3;-;-;-;-;-;-;-;-;3;3;-;-;-;-;-;-;7160;5890;6713;6773;7910;8521;39431;27444;33271;34696;35665;36908;255;282;320;283;290;323;35;35;27;29;22;11;21651;22111;20939;19541;19542;17670;30249;30890;29912;27122;27160;26895;6535;5987;5336;4607;4325;4005;18596;19325;17485;18664;17686;17684;-;-;-;-;-;-;-;-;-;-;-;-;5930;5843;6311;5146;4540;4308;-;318;100;100;100;100
Borracha (látex coagulado);128;-;-;-;-;-;790;762;848;796;796;801;94;55;40;31;24;25;-;-;-;-;-;-;936;413;814;866;816;866;-;-;-;-;-;-;450;614;994;1025;1096;1651;2053;1635;1688;1509;1170;1060;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;684;784;678;558;528;538;-;-;-;-;-;-;-;-;-;-;-;-;33122;24962;23607;23628;23627;24311;10931;9152;10874;12375;13429;15649;9030;9076;9679;9819;9988;9756;130;100;110;118;103;117;60781;68567;75179;78853;82054;88366;732;696;728;768;978;993;-;-;-;-;-;-;-;-;-;-;-;-;1413;5799;3415;5505;5760;9591;28105;22117;16976;22070;15802;14533;6899;7320;7555;9043;9215;9520;-;-;-;-;-;-
Borracha (látex líquido);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Cacau (em amêndoa);11972;11787;8618;9371;9223;8262;-;-;-;-;-;-;1881;1588;1304;1243;1249;1225;13;12;30;12;12;170;130193;131891;129247;140549;150051;149912;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;565145;422163;420528;413065;410676;423256;217;210;145;134;126;131;22341;22568;16726;16999;17185;17228;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;823;980;950;637;629;625;-;-;-;-;-;-;-;-;-;-;-;-
Café (em grão) Total;87437;71635;64850;61800;72189;65134;1475;1648;1195;1201;1047;1100;406;387;258;221;255;257;-;-;-;-;-;-;456;460;324;271;203;199;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3393;2891;1784;1447;1432;1407;-;-;-;-;-;-;-;-;-;8;12;15;2560;2236;2159;1423;1258;990;-;-;-;-;-;-;-;-;-;-;-;-;166087;126707;125548;116870;119549;114387;1041541;925256;1014779;990814;1054911;1002787;425085;406095;381857;381013;387026;389026;12629;12216;12197;12374;12360;10726;199844;193564;198755;199718;200368;199810;43388;40168;39017;38002;36864;32865;-;-;-;-;-;-;-;-;-;-;-;-;496;473;253;261;258;247;16293;15756;15540;12898;11814;11672;6996;5647;8144;8184;7598;6801;474;528;518;410;410;410
