;Rondônia;Rondônia;Rondônia;Rondônia;Rondônia;Rondônia;Acre;Acre;Acre;Acre;Acre;Acre;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Roraima;Roraima;Roraima;Roraima;Roraima;Roraima;Pará;Pará;Pará;Pará;Pará;Pará;Amapá;Amapá;Amapá;Amapá;Amapá;Amapá;Tocantins;Tocantins;Tocantins;Tocantins;Tocantins;Tocantins;Maranhão;Maranhão;Maranhão;Maranhão;Maranhão;Maranhão;Piauí;Piauí;Piauí;Piauí;Piauí;Piauí;Ceará;Ceará;Ceará;Ceará;Ceará;Ceará;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Rio Grande do Norte;Paraíba;Paraíba;Paraíba;Paraíba;Paraíba;Paraíba;Pernambuco;Pernambuco;Pernambuco;Pernambuco;Pernambuco;Pernambuco;Alagoas;Alagoas;Alagoas;Alagoas;Alagoas;Alagoas;Sergipe;Sergipe;Sergipe;Sergipe;Sergipe;Sergipe;Bahia;Bahia;Bahia;Bahia;Bahia;Bahia;Minas Gerais;Minas Gerais;Minas Gerais;Minas Gerais;Minas Gerais;Minas Gerais;Espírito Santo;Espírito Santo;Espírito Santo;Espírito Santo;Espírito Santo;Espírito Santo;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;Paraná;Paraná;Paraná;Paraná;Paraná;Paraná;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso do Sul;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Distrito Federal;Distrito Federal;Distrito Federal;Distrito Federal;Distrito Federal;Distrito Federal
Café (em grão) Arábica;-;-;-;-;-;-;-;-;-;-;-;-;17;25;24;25;28;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3266;2764;1657;1320;1320;1297;-;-;-;-;-;-;-;-;-;8;12;15;2560;2236;2159;1423;1258;990;-;-;-;-;-;-;-;-;-;-;-;-;121784;79489;78583;72478;78709;73711;1028716;915234;1005415;981773;1045178;994272;149166;149211;125605;123074;125044;124599;12629;12216;12197;12374;12355;10721;199813;193539;198725;199474;200321;199742;43388;40168;39017;38002;36864;32865;-;-;-;-;-;-;-;-;-;-;-;-;496;473;253;261;258;247;83;63;145;130;117;26;6996;5647;8144;8184;7598;6801;474;528;518;410;410;410
Café (em grão) Canephora;87437;71635;64850;61800;72189;65134;1475;1648;1195;1201;1047;1100;389;362;234;196;227;219;-;-;-;-;-;-;456;460;324;271;203;199;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;127;127;127;127;112;110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44303;47218;46965;44392;40840;40676;12825;10022;9364;9041;9733;8515;275919;256884;256252;257939;261982;264427;-;-;-;-;5;5;31;25;30;244;47;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16210;15693;15395;12768;11697;11646;-;-;-;-;-;-;-;-;-;-;-;-
Caju;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Cana-de-açúcar;4965;3786;1907;2517;754;683;3079;2437;517;513;490;503;3600;3873;3962;3964;4272;5825;246;238;160;210;200;164;13359;12596;13475;14920;14906;14908;135;95;246;438;393;332;37875;37268;39254;39179;30789;36419;45633;45494;45368;47405;47240;47182;15353;15309;14594;15938;16097;17892;16123;15128;12273;9867;9619;9432;60489;62729;64240;64171;68724;66667;122770;100235;101724;97751;100458;101363;266223;257722;257120;238662;261088;279658;306667;321994;285275;304748;270530;291462;58499;45841;40309;35491;38580;37258;108441;76911;73546;73823;76612;72993;911614;907027;921870;944041;1005145;977766;67906;50109;52242;45360;43217;53374;56770;55579;52676;53512;52958;61454;5590586;5686134;5517302;5540511;5515801;5473240;656903;644108;613484;596978;571873;567429;7628;7628;4022;3849;3919;3917;17828;16737;15691;14782;14538;14239;658282;661906;680611;727753;666447;673388;280191;279282;286180;297100;265149;251025;931242;922717;947391;946985;928046;930954;296;375;205;205;205;205
Cana para forragem;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Caqui;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;21;22;23;25;25;681;766;762;850;871;921;27;31;33;33;33;33;520;572;598;610;648;562;3874;3656;3093;3165;3105;3167;810;873;840;717;680;634;256;243;189;185;185;170;2091;2057;2603;2591;2496;2515;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;5;5;-;-;-;-;-;-;-
Castanha de caju;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2323;2335;1835;1153;1110;1064;-;-;-;-;-;-;6;6;6;9;10;10;13379;14326;14129;12554;11214;10880;79344;76486;75453;69391;71132;72332;376295;311543;272762;269829;269900;271072;80432;77397;52885;51397;50896;50345;3958;3449;3537;3406;3194;2951;3586;2849;2516;2407;2307;2165;1214;1039;1070;788;802;777;-;-;-;-;-;-;25749;16082;15692;15507;15470;15439;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;282;175;165;150;150;150;-;-;-;-;-;-;-;-;-;-;-;-
Cebola;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;350;15;20;20;20;21;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6;7;4;3;3;28;-;-;52;53;75;470;215;500;1200;920;230;76;60;156;191;175;160;1120;817;1851;1822;1920;2104;-;-;-;-;30;-;-;-;-;-;-;-;9517;5730;5494;6181;6335;7033;3321;3564;3351;3308;3103;3899;406;308;322;327;330;326;-;-;-;-;-;-;5651;5145;4567;4469;4457;4473;5261;5617;5072;4247;4197;4037;21523;19671;17039;17237;16787;17216;8010;7899;6809;6710;6423;6434;-;-;-;-;-;-;-;-;-;-;-;-;2549;2250;2291;2603;2450;2460;275;520;300;300;300;300
Centeio (em grão);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1015;3145;2072;3260;3270;3409;81;65;120;-;-;-;1973;1855;2755;2420;2115;2058;400;500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cevada (em grão);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;624;630;570;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2260;1600;2200;2100;2436;3350;42220;52191;56024;61880;64375;74802;1310;1500;605;940;340;490;45212;65647;41811;47592;37162;36421;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;-;100;100;100;100
Chá-da-índia (folha verde);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;185;185;207;207;207;207;-;-;4;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Coco-da-baía*;300;164;114;154;142;177;211;226;213;209;209;209;1075;1122;1589;743;341;544;92;50;70;77;77;73;19188;18595;18581;17311;19214;17656;-;-;-;-;-;-;620;425;422;230;230;204;2440;2238;2008;1653;1376;1297;714;635;758;559;573;593;38986;38966;38329;38099;39735;40458;14707;15148;16030;15959;15937;15934;7241;6492;6041;5791;5973;5963;5748;6761;7406;8743;7140;7434;21309;22888;21387;21368;20737;22315;34615;32387;25924;24112;22964;22217;69142;47702;44287;37450;36178;36589;2034;1231;1451;1492;1512;1537;9508;9346;9655;9369;9273;9472;3011;3029;2377;2179;2175;2159;1661;1390;1260;1434;1402;1460;231;239;246;235;230;218;-;-;-;-;-;-;-;-;-;-;-;-;176;246;73;56;74;65;892;746;751;743;715;718;880;586;600;513;466;357;-;-;-;-;-;-
Dendê (cacho de coco);-;-;-;-;-;-;-;145;145;145;145;145;362;605;700;270;270;270;140;140;40;140;140;156;99402;101795;148879;164410;188542;183952;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35642;12633;12767;13165;13060;13057;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Erva-mate (folha verde);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31658;33376;26086;26476;29876;30368;13190;11523;16199;15636;14687;13876;33445;30780;28948;28022;27413;27699;328;268;186;171;146;163;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ervilha (em grão);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;542;560;574;617;635;-;-;-;-;-;-;-;-;-;-;-;-;13;10;30;21;21;27;58;54;62;57;57;56;-;-;-;-;-;-;631;479;145;19;221;95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;350;32;40;40;40;40
Fava (em grão);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;6;8;258;326;1209;1132;1017;949;2214;2211;2381;2489;2475;2449;5474;9037;14654;13198;13816;13734;1703;1488;1967;3080;3159;1873;7755;8615;11949;10630;10968;8414;2344;1882;3872;4903;5294;5192;415;601;605;579;691;694;63;57;282;241;65;52;-;-;-;-;-;-;-;171;130;90;78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;10;10;8;9;9;-;-;-;-;-;-;-;-;-;-;-;-;-;197;150;-;-;-;-;-;-;-;-;-
Feijão (em grão);18790;17510;17080;16815;16547;13256;7540;6906;6108;5415;5255;5115;2288;1792;1409;1527;1572;1174;2494;1884;793;843;915;850;31361;33478;27112;27464;26199;27016;1300;1412;1006;975;995;4169;16979;18575;18563;29689;38075;53165;71802;74132;67599;53868;48500;47089;219687;234224;237200;196472;202547;191321;383700;445896;426608;380148;375322;376120;36693;44140;55434;56581;53318;39867;81696;82159;96393;89014;93063;74946;240036;224420;195596;178795;190604;187395;37866;47888;27666;28873;35284;34725;13380;15426;6511;5959;5810;4220;371527;374306;364690;357397;355306;340963;339927;305099;297059;324413;324062;311020;10503;11059;11281;9932;9926;9804;1720;1576;1391;1509;1541;1056;112417;97923;93177;98778;90144;82840;386377;438384;411818;419894;382677;429454;73723;77214;70814;63684;56991;59516;61340;68262;59340;62024;60272;61047;15935;23108;22014;24507;23418;20006;251672;259486;266533;170289;215761;241336;143250;154025;150799;148945;137681;138654;16100;14954;15500;13230;18100;9600
Figo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;377;202;205;207;209;210;-;-;-;-;-;-;9;-;1;1;1;1;676;623;478;482;485;499;148;143;132;131;127;124;35;32;28;23;26;26;1560;1592;1568;1364;1278;1237;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Fumo (em folha);-;-;-;-;-;-;178;195;148;143;142;142;-;-;-;-;-;-;-;-;-;-;-;-;19;17;25;20;20;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;54;50;92;75;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;8990;10811;8692;14382;17226;15695;175;187;225;206;210;2;4209;8055;6217;7632;7946;7977;-;557;497;513;444;437;-;-;-;-;-;-;-;-;-;-;-;-;25;21;17;17;13;13;74099;77931;76635;75940;71696;76275;110766;104693;87709;90174;89463;89647;185249;189369;180819;174040;166740;159717;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;70;100;70;-;-;-;-;-;-
Girassol (em grão);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6990;7365;3755;2390;1540;1917;-;-;-;-;-;-;-;-;-;-;-;-;1527;3528;2013;1879;1572;1694;30;30;-;12;32;50;5;5;5;-;-;-;5270;2373;2667;2396;2454;2679;2834;500;150;25;-;-;29122;30320;57250;48350;19911;10870;16351;15143;18289;25859;22872;24235;560;950;700;700;700;700
Goiaba;92;146;90;106;116;83;-;-;-;-;-;-;114;212;126;137;125;138;11;251;10;10;10;4;287;309;313;352;344;344;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4;4;4;144;147;64;59;51;55;1549;1547;1411;1333;1366;1397;550;439;394;322;364;342;362;315;319;322;327;330;4060;4050;5049;5662;5735;5581;119;336;377;437;471;481;469;425;207;202;197;177;1538;1998;2365;2286;2090;2190;883;896;1004;1026;1032;1040;361;393;473;471;475;502;611;641;764;725;859;768;4817;5545;6634;6843;6512;6672;638;695;851;933;959;1261;11;19;16;7;18;19;449;448;516;470;440;438;45;42;33;38;24;20;52;52;53;57;55;54;170;204;199;146;151;151;214;302;302;302;302;302
Guaraná (semente);135;138;126;139;117;88;4;5;8;8;8;-;4487;4382;4012;3954;4352;4025;-;-;-;-;-;-;24;29;64;67;67;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6788;5846;5608;5603;5538;5600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;306;319;339;326;334;329;-;-;-;-;-;-;-;-;-;-;-;-
Juta (fibra);-;-;-;-;-;-;-;-;-;-;-;-;166;40;35;5;920;20;-;-;-;-;-;-;-;-;-;4;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Laranja;648;655;456;535;515;358;579;584;530;513;493;505;3338;3104;2784;2594;939;1195;1283;1166;1329;1239;1230;1443;13482;17317;13633;14270;16582;14252;1115;1003;746;640;615;628;127;35;48;64;49;64;747;600;539;212;108;69;288;213;207;168;173;178;1530;1559;1159;1110;1106;1094;135;122;97;81;104;100;717;586;697;709;734;726;544;584;519;594;539;577;7323;10996;11851;12301;11504;11689;46675;42019;33555;32379;31269;30812;57622;49828;53595;51018;49332;49767;41710;39526;36534;36626;38284;38850;1231;1339;1350;1354;1437;1542;3762;4374;4427;5225;5055;4970;404142;404927;376646;377966;362764;369411;24711;23598;22506;21146;20008;19967;3097;2739;1678;1496;1771;1763;24492;23910;22519;22292;21357;21348;804;1056;863;1010;1029;1115;580;615;461;443;476;485;7210;6684;6679;6933;6909;6902;152;73;50;50;50;50
Limão;420;434;326;371;400;357;357;386;411;410;416;420;477;513;543;428;256;340;497;454;513;519;517;541;2652;3829;3577;5341;5670;3730;-;-;-;-;-;-;9;6;5;5;6;8;145;104;96;85;89;89;32;32;20;19;20;20;1038;971;982;950;1031;1125;84;85;56;64;82;82;295;434;356;339;324;326;347;495;605;665;745;838;35;272;322;378;432;433;955;897;949;954;807;849;5814;5902;5801;5864;6030;6177;3864;2667;3793;4567;4707;4849;647;571;675;664;757;867;1086;1281;1118;1197;1241;1209;24821;25869;30773;30580;31873;32588;840;961;941;1149;1185;1167;52;64;69;54;59;48;1355;1397;1386;1396;1151;1350;117;76;101;117;117;458;308;317;337;297;331;336;394;108;322;311;100;157;155;186;165;165;165;165
Linho (semente);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11660;7604;6050;3957;4185;4993;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Maçã;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;213;141;144;147;184;225;-;-;-;-;-;-;-;-;-;-;-;-;171;215;165;163;160;154;1307;1220;1109;1008;995;1007;16926;16205;15981;15198;15441;15730;15685;15536;15917;15917;15689;15774;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Malva (fibra);-;-;-;-;-;-;-;-;-;-;-;-;2360;1383;1483;1247;2156;1290;-;-;-;-;-;-;701;770;781;730;741;861;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mamão;411;303;218;315;279;259;323;321;295;293;292;293;1045;1120;1276;1028;960;594;266;288;188;272;276;211;1602;748;1151;1065;1085;1106;62;60;50;105;98;95;49;42;55;32;20;40;56;188;179;137;122;113;35;27;9;12;14;12;2628;2663;2021;1992;2067;1993;2348;1847;1951;1973;2254;2396;905;984;775;699;734;797;358;203;394;462;461;428;340;565;588;726;746;780;162;65;82;76;69;122;15867;9045;9368;9643;9579;10002;1391;1346;1389;1430;1241;1221;6035;6118;6503;6874;7309;7247;8;2;-;-;2;7;728;341;327;373;360;407;78;75;81;83;89;95;-;-;-;-;-;-;180;176;169;164;96;96;254;144;193;160;135;111;124;117;155;137;129;127;135;47;88;86;63;62;3;25;8;8;8;8
Mamona (baga);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;481;83;15;-;-;-;4867;2773;763;752;438;299;-;-;-;-;-;-;-;-;-;-;-;-;120;178;15;240;240;300;-;-;-;-;-;-;-;-;-;-;-;-;40565;49169;46163;48559;44738;44971;220;42;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;126;-;-;46;76;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;550;650;1864;1010;259;259;-;-;-;-;-;-;-;-;-;-;-;-
Mandioca;29095;29163;24808;22286;22428;18656;39832;35402;28530;26650;24720;23000;79591;84968;78088;80203;79742;63384;7201;5632;6270;6342;6595;5545;291872;294337;265578;272905;275730;285911;12016;12954;10145;10125;10537;10571;15035;13254;15374;14396;15160;16618;130908;101388;81013;61241;56414;55018;37518;37121;34887;37822;40448;41527;58926;56339;62581;61653;58599;57141;10465;13436;22241;20149;22409;22498;15619;15480;14901;15387;14843;14321;43462;25501;50441;46678;50179;43550;25422;34594;33198;37044;38053;40093;20845;18917;12123;11786;11046;10782;182693;112399;92271;94425;100097;98695;58151;35594;36504;38103;37212;38837;8242;7751;7166;7270;7427;7464;11065;11742;11313;14314;14767;11847;49133;46082;49707;59171;65264;65804;148598;139336;154586;142854;147080;142132;20716;21459;18225;16927;16783;16875;64026;60001;55205;49473;47864;47627;34719;31805;33295;37360;39935;43834;19799;19103;20218;19887;17826;17864;13118;13292;12706;12339;11949;11440;1128;1059;1250;1250;1250;1250
Manga;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;5;860;5;10;10;9;38;38;37;20;8;8;-;-;-;-;-;-;55;49;105;105;220;231;257;380;116;100;103;95;639;530;537;389;408;410;5345;5642;4372;4391;4369;4248;2917;2845;2825;2832;2741;2742;1308;1214;1204;1193;1134;1073;11240;10968;12032;14176;15192;15946;900;1276;1301;1391;1456;1474;914;844;920;901;840;689;23574;23923;24200;24096;29695;31125;5470;4532;5015;5058;5529;5796;1216;1181;1203;1202;1299;1175;151;137;195;170;135;107;9737;9461;11160;10950;10896;10927;444;389;415;412;427;408;-;-;-;-;-;-;150;153;142;127;109;110;-;-;-;-;-;2;92;75;73;73;65;65;61;37;34;86;180;177;54;54;72;72;72;72
Maracujá;781;431;365;527;404;272;89;110;138;139;164;173;1368;1338;990;825;699;830;167;555;425;419;483;521;1970;1127;1462;1673;1629;1583;149;139;95;95;101;104;52;32;60;84;67;92;32;21;24;20;15;5;23;23;13;26;14;28;5516;5497;6862;6225;8278;7374;702;2551;2036;1087;1817;1858;860;890;1045;1075;1049;1116;701;861;1149;2000;2597;2490;1223;988;1113;1415;1493;1593;809;681;1653;1174;1071;1043;18210;16299;15724;15676;16834;16834;2050;1496;2135;2167;1842;1826;1385;1307;1241;785;757;702;384;458;514;398;439;427;1680;1775;1819;1885;1862;1796;1061;1221;1105;1199;1303;1393;1499;2195;2270;1891;1888;1910;297;293;292;312;303;309;50;82;35;33;49;78;346;346;315;282;272;277;421;324;384;298;341;335;148;150;120;120;120;120
Marmelo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4;4;4;4;3;69;18;30;30;32;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;20;16;16;16;16;-;-;-;-;-;-;-;-;-;-;-;-;20;20;20;20;20;8;-;-;-;-;-;-
