"";"Ano";"Município (Código)";"Município";"area_lavouras";"despesa_insumos";"despesa_lavouras";"CR_sicor";"pessoal_ocupado";"qtde_maquinas";"qtde_tratores";"receita_lavouras";"uso_adubos";"uso_agrotoxicos";"uso_assistencia_tecnica";"uso_corretivos";"producao";"pib_agro";"cluster"
"5099";"2017";"5000609";"Amambai - MS";67704,3;147274;249866;200413527,71;4244;1732;982;221669;448;296;486;347;419211;200432;5
"5103";"2017";"5000906";"Antônio João - MS";33742,1;88543;116268;79273662,45;1048;499;263;119798;134;120;127;96;184893;64663;2
"5104";"2017";"5001003";"Aparecida do Taboado - MS";41832,2;49718;97788;50407858,74;2717;1013;699;133607;251;68;194;269;247126;235080;5
"5105";"2017";"5001102";"Aquidauana - MS";1736,3;41687;3359;105570917,73;4224;1017;810;6200;178;53;234;88;220924;136672;2
"5106";"2017";"5001243";"Aral Moreira - MS";113759;208627;317166;204328909,91;2054;1730;843;418788;354;277;289;203;595856;219680;5
"5107";"2017";"5001508";"Bandeirantes - MS";61363,7;123175;147832;113497584,79;2566;1203;777;222046;274;114;290;227;346732;171709;5
"5108";"2017";"5001904";"Bataguassu - MS";12350,3;29514;12541;42438757,32;2180;642;476;27042;167;78;315;177;128490;99356;2
"5110";"2017";"5002100";"Bela Vista - MS";25102,8;46124;33986;127630701,04;3894;818;667;84067;176;60;227;87;263371;118169;2
"5113";"2017";"5002308";"Brasilândia - MS";7728;88924;14368;151272315,05;3404;779;551;25987;204;33;521;188;644897;298503;5
"5116";"2017";"5002704";"Campo Grande - MS";61951,2;190114;129701;213680830,24;7161;2410;1584;213753;849;466;684;730;543262;231220;5
"5118";"2017";"5002902";"Cassilândia - MS";18094,4;46895;19784;85466332,81;2267;1026;708;28700;187;135;225;169;158079;74225;2
