Município (Código);Município;Arrendamento de terras;Adubos e corretivos;Sementes e mudas;Agrotóxicos;Novas culturas permanentes e silvicultura;Formação de pastagens;Soma
1301506;Envira (AM);2;8;82;1;X;126;219
1301605;Fonte Boa (AM);X;24;15;11;-;X;50
1301654;Guajará (AM);X;173;112;186;-;675;1146
1301704;Humaitá (AM);50;1112;382;69;6;320;1939
1301803;Ipixuna (AM);126;394;30;1;-;90;641
1301852;Iranduba (AM);379;3504;959;769;49;56;5716
1301902;Itacoatiara (AM);280;3012;497;393;44;544;4770
1301951;Itamarati (AM);0;X;3;2;-;1;6
1302009;Itapiranga (AM);X;70;21;5;-;X;96
1302108;Japurá (AM);X;8;4;0;-;-;12
1302207;Juruá (AM);X;X;6;10;-;-;16
1302306;Jutaí (AM);13;66;6;1;-;106;192
1302405;Lábrea (AM);626;200;602;618;X;994;3040
1302504;Manacapuru (AM);X;2218;829;989;X;91;4127
1302553;Manaquiri (AM);32;100;60;29;X;12;233
1302603;Manaus (AM);343;4371;1298;389;368;71;6840
1302702;Manicoré (AM);529;1196;753;1868;4;2612;6962
1302801;Maraã (AM);-;14;16;3;X;X;33
1302900;Maués (AM);102;318;116;222;4;179;941
1303007;Nhamundá (AM);136;80;35;18;8;79;356
1303106;Nova Olinda do Norte (AM);15;175;19;21;4;41;275
1303205;Novo Airão (AM);-;21;5;X;-;X;26
1303304;Novo Aripuanã (AM);101;159;135;91;-;882;1368
1303403;Parintins (AM);203;301;46;172;X;64;786
1303502;Pauini (AM);-;X;11;X;-;X;11
1303536;Presidente Figueiredo (AM);587;8778;2506;2923;47;545;15386
1303569;Rio Preto da Eva (AM);1486;4117;922;445;6;59;7035
1303601;Santa Isabel do Rio Negro (AM);X;18;16;X;-;-;34
1303700;Santo Antônio do Içá (AM);X;2;10;3;X;X;15
1303809;São Gabriel da Cachoeira (AM);3;90;72;27;X;X;192
1303908;São Paulo de Olivença (AM);X;27;10;6;X;X;43
1303957;São Sebastião do Uatumã (AM);X;42;25;10;X;437;514
1304005;Silves (AM);31;57;5;4;-;6;103
1304062;Tabatinga (AM);X;70;19;3;0;X;92
1304104;Tapauá (AM);X;15;40;4;-;26;85
1304203;Tefé (AM);X;143;54;22;X;X;219
1304237;Tonantins (AM);10;1;5;1;X;7;24
1304260;Uarini (AM);8;17;3;4;-;-;32
1304302;Urucará (AM);135;70;43;2;11;307;568
1304401;Urucurituba (AM);36;19;15;11;-;80;161
1400027;Amajari (RR);140;192;56;57;155;600;1200
1400050;Alto Alegre (RR);287;10124;2296;5715;51;613;19086
1400100;Boa Vista (RR);709;10186;2184;3371;101;70;16621
1400159;Bonfim (RR);1460;8948;5856;7535;X;901;24700
1400175;Cantá (RR);230;2032;694;459;191;1653;5259
1400209;Caracaraí (RR);64;856;277;171;8;513;1889
1400233;Caroebe (RR);298;580;245;286;28;1597;3034
1400282;Iracema (RR);X;1513;1247;1210;25;675;4670
1400308;Mucajaí (RR);126;3524;819;1111;7;1271;6858
1400407;Normandia (RR);205;1862;262;771;14;6;3120
1400456;Pacaraima (RR);27;27;92;3;-;X;149
1400472;Rorainópolis (RR);293;4756;252;425;32;693;6451
1400506;São João da Baliza (RR);71;219;268;249;38;809;1654
1400605;São Luiz (RR);190;88;245;196;X;90;809
1400704;Uiramutã (RR);X;25;4;1;-;X;30
1500107;Abaetetuba (PA);110;1509;184;42;6;29;1880
1500131;Abel Figueiredo (PA);-;279;37;231;X;617;1164
1500206;Acará (PA);352;2795;443;86;560;439;4675
1500305;Afuá (PA);19;46;18;17;X;X;100
1500347;Água Azul do Norte (PA);1174;1508;2226;15901;64;5256;26129
1500404;Alenquer (PA);891;507;155;525;31;1723;3832
1500503;Almeirim (PA);52;55;143;37;X;263;550
1500602;Altamira (PA);4142;8400;3232;5825;123;4564;26286
1500701;Anajás (PA);148;9;3;X;-;-;160
1500800;Ananindeua (PA);X;197;30;7;-;-;234
1500859;Anapu (PA);896;466;314;912;94;2379;5061
1500909;Augusto Corrêa (PA);23;744;70;174;X;267;1278
1500958;Aurora do Pará (PA);177;2356;437;436;68;288;3762
1501006;Aveiro (PA);2081;10;111;7;3;221;2433
1501105;Bagre (PA);21;1;14;X;-;-;36
1501204;Baião (PA);276;1904;162;62;0;252;2656
1501253;Bannach (PA);X;590;10482;2767;-;867;14706
1501303;Barcarena (PA);940;961;263;34;33;31;2262
1501402;Belém (PA);-;10;X;X;-;-;10
1501451;Belterra (PA);X;4286;2296;3705;X;246;10533
1501501;Benevides (PA);X;210;110;12;X;-;332
1501576;Bom Jesus do Tocantins (PA);329;1278;864;1510;21;2608;6610
1501600;Bonito (PA);58;1336;144;108;1;78;1725
1501709;Bragança (PA);244;2129;726;322;12;868;4301
1501725;Brasil Novo (PA);418;1721;247;3480;X;1302;7168
1501758;Brejo Grande do Araguaia (PA);102;6623;1233;2553;-;741;11252
1501782;Breu Branco (PA);171;2421;1591;661;7;915;5766
1501808;Breves (PA);108;44;21;7;1;-;181
1501907;Bujaru (PA);38;376;49;19;31;45;558
1501956;Cachoeira do Piriá (PA);185;143;401;14;96;1432;2271
1502004;Cachoeira do Arari (PA);1022;2102;212;123;-;50;3509
1502103;Cametá (PA);1107;2050;121;41;5;5;3329
1502152;Canaã dos Carajás (PA);1789;1328;1040;3622;34;1751;9564
1502202;Capanema (PA);117;586;99;66;X;54;922
1502301;Capitão Poço (PA);50;4909;951;759;26;750;7445
1502400;Castanhal (PA);12;2813;529;442;X;672;4468
1502509;Chaves (PA);97;42;9;68;6;X;222
1502608;Colares (PA);-;361;26;11;5;-;403
1502707;Conceição do Araguaia (PA);1342;3819;1531;2159;9;4022;12882
1502756;Concórdia do Pará (PA);-;2174;60;107;X;29;2370
1502764;Cumaru do Norte (PA);986;8022;7084;7355;X;7907;31354
1502772;Curionópolis (PA);175;1676;420;3910;X;1143;7324
1502806;Curralinho (PA);1;4;8;1;-;X;14
1502855;Curuá (PA);268;X;50;X;X;209;527
1502905;Curuçá (PA);X;1195;128;75;1;X;1399
1502939;Dom Eliseu (PA);23870;119041;8328;10476;5157;124;166996
1502954;Eldorado do Carajás (PA);1146;454;574;2532;5;3871;8582
1503002;Faro (PA);22;X;12;X;-;12;46
1503044;Floresta do Araguaia (PA);52;6094;1946;2193;X;2267;12552
1503077;Garrafão do Norte (PA);225;1132;664;136;38;332;2527
1503093;Goianésia do Pará (PA);123;4632;1868;1309;X;1615;9547
1503101;Gurupá (PA);X;10;8;1;X;X;19
1503200;Igarapé-Açu (PA);58;5051;264;335;161;149;6018
1503309;Igarapé-Miri (PA);19;503;38;12;17;-;589
1503408;Inhangapi (PA);X;616;130;53;-;X;799
1503457;Ipixuna do Pará (PA);1124;8138;1060;2137;17;1370;13846
1503507;Irituia (PA);X;1168;529;148;X;897;2742
1503606;Itaituba (PA);443;823;456;132;X;1201;3055
1503705;Itupiranga (PA);518;801;2031;5367;24;7181;15922
1503754;Jacareacanga (PA);937;10;46;X;-;X;993
1503804;Jacundá (PA);9;1311;941;621;-;1311;4193
1503903;Juruti (PA);272;318;83;5;X;103;781
1504000;Limoeiro do Ajuru (PA);-;147;2;1;X;X;150
1504059;Mãe do Rio (PA);1104;777;482;173;-;828;3364
1504109;Magalhães Barata (PA);12;232;57;34;-;X;335
1504208;Marabá (PA);866;5537;4314;7620;23;6186;24546
1504307;Maracanã (PA);9;1230;125;114;10;105;1593
1504406;Marapanim (PA);54;834;291;82;2;9;1272
1504422;Marituba (PA);X;16;5;X;-;-;21
1504455;Medicilândia (PA);35;2433;677;1357;137;1337;5976
1504505;Melgaço (PA);8;2;9;X;-;X;19
1504604;Mocajuba (PA);3;557;35;41;2;5;643
1504703;Moju (PA);363;24968;4749;5294;37;1254;36665
1504752;Mojuí dos Campos (PA);1007;4617;2287;18804;-;472;27187
1504802;Monte Alegre (PA);995;451;583;381;124;1285;3819
1504901;Muaná (PA);219;27;10;1;-;-;257
1504950;Nova Esperança do Piriá (PA);15;1978;314;504;52;360;3223
1504976;Nova Ipixuna (PA);168;476;946;876;3;640;3109
1505007;Nova Timboteua (PA);2;7726;145;101;X;43;8017
1505031;Novo Progresso (PA);6456;3727;3889;2517;88;5852;22529
1505064;Novo Repartimento (PA);557;649;561;4278;29;9109;15183
1505106;Óbidos (PA);1312;423;206;164;1;623;2729
1505205;Oeiras do Pará (PA);6;348;69;3;X;15;441
1505304;Oriximiná (PA);175;189;119;229;X;228;940
1505403;Ourém (PA);20;794;128;171;X;163;1276
1505437;Ourilândia do Norte (PA);99;260;551;2442;X;1158;4510
1505486;Pacajá (PA);X;267;1893;997;X;5417;8574
1505494;Palestina do Pará (PA);187;182;585;1437;7;1993;4391
1505502;Paragominas (PA);24027;58022;22565;42236;6521;1830;155201
1505536;Parauapebas (PA);177;491;620;542;X;391;2221
1505551;Pau D'Arco (PA);233;321;355;386;X;295;1590
1505601;Peixe-Boi (PA);X;410;95;59;X;341;905
1505635;Piçarra (PA);866;1109;1013;3763;-;3068;9819
1505650;Placas (PA);694;1163;1249;1144;160;2838;7248
1505700;Ponta de Pedras (PA);74;221;10;X;X;X;305
1505809;Portel (PA);234;118;32;156;-;64;604
1505908;Porto de Moz (PA);162;916;767;938;-;1427;4210
1506005;Prainha (PA);167;75;88;50;X;810;1190
1506104;Primavera (PA);2;41;18;2;X;1;64
1506112;Quatipuru (PA);7;21;17;1;-;16;62
1506138;Redenção (PA);399;3356;1536;2273;X;418;7982
1506161;Rio Maria (PA);811;5000;3107;7932;X;4893;21743
1506187;Rondon do Pará (PA);1179;4796;2583;9100;40;2175;19873
1506195;Rurópolis (PA);175;547;378;184;13;553;1850
1506203;Salinópolis (PA);3;102;32;2;-;X;139
1506302;Salvaterra (PA);35;2446;228;619;-;6;3334
1506351;Santa Bárbara do Pará (PA);-;836;3;2;-;-;841
1506401;Santa Cruz do Arari (PA);-;-;-;X;-;-;NA
1506500;Santa Izabel do Pará (PA);75;2373;732;100;17;15;3312
1506559;Santa Luzia do Pará (PA);1393;325;212;74;6;349;2359
1506583;Santa Maria das Barreiras (PA);X;43261;4399;5595;X;3724;56979
1506609;Santa Maria do Pará (PA);464;1168;152;233;X;238;2255
1506708;Santana do Araguaia (PA);2807;32911;16004;26225;X;4842;82789
1506807;Santarém (PA);2186;12692;4927;8141;21;786;28753
1506906;Santarém Novo (PA);17;109;46;7;-;X;179
1507003;Santo Antônio do Tauá (PA);55;2504;833;160;14;X;3566
1507102;São Caetano de Odivelas (PA);12;1736;249;65;X;X;2062
1507151;São Domingos do Araguaia (PA);1151;8163;658;2341;38;2534;14885
1507201;São Domingos do Capim (PA);X;746;266;127;X;609;1748
1507300;São Félix do Xingu (PA);1783;5287;6654;23003;47;15617;52391
1507409;São Francisco do Pará (PA);X;1823;183;258;X;X;2264
1507458;São Geraldo do Araguaia (PA);1248;846;1575;7670;10;2655;14004
1507466;São João da Ponta (PA);0;235;74;33;-;-;342
1507474;São João de Pirabas (PA);14;89;32;13;-;X;148
1507508;São João do Araguaia (PA);51;391;343;832;X;1326;2943
1507607;São Miguel do Guamá (PA);32;1582;302;283;1;529;2729
1507706;São Sebastião da Boa Vista (PA);224;346;1;X;X;X;571
1507755;Sapucaia (PA);X;10132;180;16453;-;2432;29197
1507805;Senador José Porfírio (PA);303;144;86;623;21;909;2086
1507904;Soure (PA);53;X;X;-;X;-;53
1507953;Tailândia (PA);5235;16006;6361;10760;241;834;39437
1507961;Terra Alta (PA);-;402;4;27;-;-;433
1507979;Terra Santa (PA);75;6;24;X;-;62;167
1508001;Tomé-Açu (PA);1787;10313;880;1285;371;530;15166
1508035;Tracuateua (PA);69;1489;171;441;2;184;2356
1508050;Trairão (PA);X;105;362;180;X;X;647
1508084;Tucumã (PA);235;2857;3359;4399;192;2459;13501
1508100;Tucuruí (PA);X;304;315;X;-;1201;1820
1508126;Ulianópolis (PA);12257;13432;5481;4798;3196;812;39976
1508159;Uruará (PA);534;3428;1561;2711;15;3310;11559
1508209;Vigia (PA);X;1378;439;110;X;X;1927
1508308;Viseu (PA);75;734;207;184;23;3305;4528
1508357;Vitória do Xingu (PA);443;657;144;876;X;3213;5333
1508407;Xinguara (PA);2726;2810;2929;4860;-;2071;15396
1600055;Serra do Navio (AP);-;19;16;-;X;X;35
1600105;Amapá (AP);X;2;0;1;-;X;3
1600154;Pedra Branca do Amapari (AP);0;140;32;80;X;35;287
1600204;Calçoene (AP);0;102;X;11;X;X;113
1600212;Cutias (AP);722;25;9;2;-;-;758
1600238;Ferreira Gomes (AP);546;9002;5634;2482;5;X;17669
1600253;Itaubal (AP);-;246;X;80;-;-;326
1600279;Laranjal do Jari (AP);X;99;12;25;-;X;136
1600303;Macapá (AP);786;7059;2316;1894;26;46;12127
1600402;Mazagão (AP);-;147;33;8;X;X;188
1600501;Oiapoque (AP);-;148;56;6;-;-;210
1600535;Porto Grande (AP);18;1669;245;284;19;214;2449
1600550;Pracuúba (AP);-;57;12;3;X;10;82
1600600;Santana (AP);103;287;59;16;X;X;465
1600709;Tartarugalzinho (AP);X;955;159;74;X;36;1224
1600808;Vitória do Jari (AP);-;41;10;5;X;22;78
1700251;Abreulândia (TO);X;3756;938;909;-;333;5936
1700301;Aguiarnópolis (TO);X;487;157;89;X;237;970
1700350;Aliança do Tocantins (TO);1153;4719;2445;2516;-;892;11725
1700400;Almas (TO);X;2667;568;5760;X;1006;10001
1700707;Alvorada (TO);1986;10332;4886;6906;X;137;24247
1701002;Ananás (TO);-;692;669;609;X;2236;4206
1701051;Angico (TO);-;552;418;172;X;632;1774
1701101;Aparecida do Rio Negro (TO);X;5231;3569;5260;X;271;14331
1701309;Aragominas (TO);117;2338;623;1324;-;2525;6927
1701903;Araguacema (TO);X;9161;4531;8781;X;1921;24394
1702000;Araguaçu (TO);1458;4449;1577;2230;X;1311;11025
1702109;Araguaína (TO);184;2764;784;3450;X;1242;8424
1702158;Araguanã (TO);8;174;284;1078;X;312;1856
1702208;Araguatins (TO);812;1180;969;1959;4;2911;7835
1702307;Arapoema (TO);449;2219;860;1938;X;331;5797
1702406;Arraias (TO);1182;806;1123;217;23;1812;5163
1702554;Augustinópolis (TO);26;385;7;861;-;191;1470
1702703;Aurora do Tocantins (TO);X;2127;5029;10062;X;227;17445
1702901;Axixá do Tocantins (TO);15;21;31;86;-;81;234
1703008;Babaçulândia (TO);187;504;418;472;X;1508;3089
1703057;Bandeirantes do Tocantins (TO);X;558;11;1976;-;313;2858
1703073;Barra do Ouro (TO);18;1008;409;1573;X;477;3485
1703107;Barrolândia (TO);347;360;352;572;X;220;1851
1703206;Bernardo Sayão (TO);625;747;110;1454;X;1298;4234
