Município (Código);Município;Arrendamento de terras;Adubos e corretivos;Sementes e mudas;Agrotóxicos;Novas culturas permanentes e silvicultura;Formação de pastagens;Soma
2510600;Ouro Velho (PB);X;237;83;66;-;X;386
2510659;Parari (PB);X;31;1;2;-;-;34
2510709;Passagem (PB);11;6;2;1;-;-;20
2510808;Patos (PB);86;107;69;13;-;X;275
2510907;Paulista (PB);295;165;34;48;-;-;542
2511004;Pedra Branca (PB);69;19;2;13;-;X;103
2511103;Pedra Lavrada (PB);77;180;43;18;-;X;318
2511202;Pedras de Fogo (PB);278;3153;247;1190;X;120;4988
2511301;Piancó (PB);77;69;16;27;-;51;240
2511400;Picuí (PB);62;464;289;141;7;-;963
2511509;Pilar (PB);44;287;3;67;-;X;401
2511608;Pilões (PB);46;126;7;5;X;X;184
2511707;Pilõezinhos (PB);9;38;3;16;X;8;74
2511806;Pirpirituba (PB);127;222;14;28;X;16;407
2511905;Pitimbu (PB);369;3630;446;605;X;X;5050
2512002;Pocinhos (PB);29;1215;127;2;-;-;1373
2512036;Poço Dantas (PB);-;11;1;12;-;-;24
2512077;Poço de José de Moura (PB);10;7;1;11;-;-;29
2512101;Pombal (PB);400;235;41;42;-;X;718
2512200;Prata (PB);83;245;140;40;X;X;508
2512309;Princesa Isabel (PB);22;670;82;86;-;75;935
2512408;Puxinanã (PB);X;606;45;14;-;18;683
2512507;Queimadas (PB);242;754;272;77;-;33;1378
2512606;Quixaba (PB);X;33;1;3;-;-;37
2512705;Remígio (PB);19;367;49;4;X;X;439
2512721;Pedro Régis (PB);29;196;28;66;X;27;346
2512747;Riachão (PB);X;20;11;27;-;X;58
2512754;Riachão do Bacamarte (PB);2;17;19;27;-;7;72
2512762;Riachão do Poço (PB);12;250;15;19;X;5;301
2512788;Riacho de Santo Antônio (PB);X;X;X;X;-;-;NA
2512804;Riacho dos Cavalos (PB);84;2055;27;29;X;-;2195
2512903;Rio Tinto (PB);2796;11364;19;4696;-;X;18875
2513000;Salgadinho (PB);6;45;7;3;-;-;61
2513109;Salgado de São Félix (PB);16;78;55;61;-;96;306
2513158;Santa Cecília (PB);131;189;295;30;-;18;663
2513208;Santa Cruz (PB);67;64;13;20;-;X;164
2513307;Santa Helena (PB);65;119;33;65;-;15;297
2513356;Santa Inês (PB);43;107;27;89;6;139;411
2513406;Santa Luzia (PB);109;13;9;7;-;-;138
2513505;Santana de Mangueira (PB);39;25;18;44;-;X;126
2513604;Santana dos Garrotes (PB);14;8;14;9;-;X;45
2513653;Joca Claudino (PB);X;9;X;8;-;-;17
2513703;Santa Rita (PB);319;17497;8;8026;-;-;25850
2513802;Santa Teresinha (PB);24;508;2;16;-;X;550
2513851;Santo André (PB);35;40;2;X;-;-;77
2513901;São Bento (PB);146;55;53;23;-;-;277
2513927;São Bentinho (PB);X;9;X;7;-;-;16
2513943;São Domingos do Cariri (PB);X;43;12;12;-;-;67
2513968;São Domingos (PB);63;18;9;13;-;X;103
2513984;São Francisco (PB);23;7;8;18;-;X;56
2514008;São João do Cariri (PB);24;50;16;4;-;X;94
2514107;São João do Tigre (PB);51;40;30;32;-;X;153
2514206;São José da Lagoa Tapada (PB);41;21;10;38;X;16;126
2514305;São José de Caiana (PB);21;9;9;22;-;21;82
2514404;São José de Espinharas (PB);83;99;41;49;-;-;272
2514453;São José dos Ramos (PB);14;40;28;19;-;25;126
2514503;São José de Piranhas (PB);59;34;23;100;-;59;275
2514552;São José de Princesa (PB);23;124;50;41;-;47;285
2514602;São José do Bonfim (PB);6;38;8;13;-;-;65
2514651;São José do Brejo do Cruz (PB);X;17;1;4;-;-;22
2514701;São José do Sabugi (PB);29;40;X;9;X;-;78
2514800;São José dos Cordeiros (PB);X;61;6;13;-;-;80
2514909;São Mamede (PB);85;35;4;20;-;X;144
2515005;São Miguel de Taipu (PB);11;346;57;154;-;-;568
2515104;São Sebastião de Lagoa de Roça (PB);39;542;84;25;-;X;690
2515203;São Sebastião do Umbuzeiro (PB);X;13;27;4;-;X;44
2515302;Sapé (PB);784;5301;97;2377;X;7;8566
2515401;São Vicente do Seridó (PB);18;153;65;19;X;X;255
2515500;Serra Branca (PB);X;190;124;24;X;X;338
2515609;Serra da Raiz (PB);X;70;3;34;-;17;124
2515708;Serra Grande (PB);7;2;6;35;2;128;180
2515807;Serra Redonda (PB);75;184;22;70;X;33;384
2515906;Serraria (PB);66;269;12;5;X;X;352
2515930;Sertãozinho (PB);X;168;8;32;-;52;260
2515971;Sobrado (PB);36;681;77;93;X;43;930
2516003;Solânea (PB);24;459;42;6;X;62;593
2516102;Soledade (PB);X;202;67;0;-;-;269
2516151;Sossêgo (PB);-;10;14;15;-;X;39
2516201;Sousa (PB);241;460;133;170;4;36;1044
2516300;Sumé (PB);60;267;15;20;X;11;373
2516409;Tacima (PB);33;149;28;34;-;X;244
2516508;Taperoá (PB);158;114;55;7;2;31;367
2516607;Tavares (PB);39;158;69;48;-;65;379
2516706;Teixeira (PB);63;278;37;134;X;4;516
2516755;Tenório (PB);6;42;3;3;-;-;54
2516805;Triunfo (PB);21;42;9;89;X;-;161
2516904;Uiraúna (PB);32;22;15;90;-;31;190
2517001;Umbuzeiro (PB);47;284;51;49;-;30;461
2517100;Várzea (PB);7;16;1;3;-;-;27
2517209;Vieirópolis (PB);35;4;6;18;-;X;63
2517407;Zabelê (PB);X;38;18;41;-;-;97
2600054;Abreu e Lima (PE);-;160;15;X;X;-;175
2600104;Afogados da Ingazeira (PE);35;454;78;33;-;39;639
2600203;Afrânio (PE);156;44;88;130;-;94;512
2600302;Agrestina (PE);539;234;96;202;3;431;1505
2600401;Água Preta (PE);126;1240;138;623;4;395;2526
2600500;Águas Belas (PE);281;431;577;12;X;X;1301
2600609;Alagoinha (PE);46;233;221;2;-;X;502
2600708;Aliança (PE);1013;3175;180;1510;X;X;5878
2600807;Altinho (PE);153;412;86;110;-;X;761
2600906;Amaraji (PE);X;6578;1153;2006;293;X;10030
2601003;Angelim (PE);119;192;32;35;-;91;469
2601052;Araçoiaba (PE);X;19;0;X;-;-;19
2601102;Araripina (PE);579;271;568;191;12;73;1694
2601201;Arcoverde (PE);21;789;148;24;X;69;1051
2601300;Barra de Guabiraba (PE);503;1364;48;356;-;55;2326
2601409;Barreiros (PE);28;1864;4;124;-;X;2020
2601508;Belém de Maria (PE);33;333;131;15;X;X;512
2601607;Belém do São Francisco (PE);172;3139;425;1793;43;76;5648
2601706;Belo Jardim (PE);795;341;184;89;X;41;1450
2601805;Betânia (PE);5;52;171;8;X;28;264
2601904;Bezerros (PE);472;1454;313;673;X;15;2927
2602001;Bodocó (PE);216;187;178;92;-;275;948
2602100;Bom Conselho (PE);387;792;659;164;4;149;2155
2602209;Bom Jardim (PE);294;1316;93;313;X;109;2125
2602308;Bonito (PE);1286;2747;821;1219;X;120;6193
2602407;Brejão (PE);55;492;168;125;18;84;942
2602506;Brejinho (PE);17;101;6;10;-;-;134
2602605;Brejo da Madre de Deus (PE);233;850;341;321;34;39;1818
2602704;Buenos Aires (PE);166;1354;38;386;X;X;1944
2602803;Buíque (PE);359;1039;620;67;3;131;2219
2602902;Cabo de Santo Agostinho (PE);1728;7223;100;2513;X;X;11564
2603009;Cabrobó (PE);286;2020;334;995;28;53;3716
2603108;Cachoeirinha (PE);X;50;106;X;-;-;156
2603207;Caetés (PE);14;1464;1076;26;2;156;2738
2603306;Calçado (PE);16;1321;415;167;-;84;2003
2603405;Calumbi (PE);19;66;26;11;X;3;125
2603454;Camaragibe (PE);X;8;6;-;-;-;14
2603504;Camocim de São Félix (PE);148;834;193;427;-;X;1602
2603603;Camutanga (PE);76;518;17;168;-;38;817
2603702;Canhotinho (PE);187;631;69;158;X;312;1357
2603801;Capoeiras (PE);46;1232;684;29;-;159;2150
2603900;Carnaíba (PE);16;193;67;24;X;7;307
2603926;Carnaubeira da Penha (PE);85;114;141;49;4;16;409
2604007;Carpina (PE);279;1016;42;717;X;X;2054
2604106;Caruaru (PE);197;717;336;218;X;51;1519
2604155;Casinhas (PE);14;689;16;193;-;X;912
2604205;Catende (PE);X;311;2;57;X;9;379
2604304;Cedro (PE);82;164;175;40;-;X;461
2604403;Chã de Alegria (PE);3;4181;14;1433;X;-;5631
2604502;Chã Grande (PE);79;2672;213;585;X;X;3549
2604601;Condado (PE);217;733;49;175;-;-;1174
2604700;Correntes (PE);68;471;42;680;X;X;1261
2604809;Cortês (PE);101;1126;59;262;-;103;1651
2604908;Cumaru (PE);117;454;31;156;-;92;850
2605004;Cupira (PE);104;99;26;160;-;163;552
2605103;Custódia (PE);28;145;77;40;3;14;307
2605152;Dormentes (PE);278;145;102;174;X;110;809
2605202;Escada (PE);1059;10728;138;4384;1;X;16310
2605301;Exu (PE);210;280;83;62;X;372;1007
2605400;Feira Nova (PE);25;129;25;60;-;17;256
2605459;Fernando de Noronha (PE);-;0;43;X;-;-;43
2605509;Ferreiros (PE);708;1737;X;657;-;-;3102
2605608;Flores (PE);27;94;149;29;1;60;360
2605707;Floresta (PE);91;588;191;458;1;14;1343
2605806;Frei Miguelinho (PE);44;525;39;125;-;-;733
2605905;Gameleira (PE);668;2251;33;1108;5;39;4104
2606002;Garanhuns (PE);595;1684;861;331;X;265;3736
2606101;Glória do Goitá (PE);110;1001;216;565;X;72;1964
2606200;Goiana (PE);130;7834;80;4119;X;-;12163
2606309;Granito (PE);318;100;56;8;-;351;833
2606408;Gravatá (PE);169;2059;661;1918;X;X;4807
2606507;Iati (PE);90;647;363;18;X;106;1224
2606606;Ibimirim (PE);221;3169;458;1048;X;16;4912
2606705;Ibirajuba (PE);1;363;38;6;-;X;408
2606804;Igarassu (PE);X;12973;7;3;-;-;12983
2606903;Iguaracy (PE);15;716;57;43;-;50;881
2607000;Inajá (PE);70;6387;898;2775;X;18;10148
2607109;Ingazeira (PE);X;200;31;12;-;18;261
2607208;Ipojuca (PE);3526;8434;95;2153;2;X;14210
2607307;Ipubi (PE);31;122;101;62;X;31;347
2607406;Itacuruba (PE);X;192;22;30;X;6;250
2607505;Itaíba (PE);292;1446;504;105;X;31;2378
2607604;Ilha de Itamaracá (PE);X;90;X;-;-;-;90
2607653;Itambé (PE);2090;9073;81;3587;-;-;14831
2607703;Itapetim (PE);4;174;51;19;-;66;314
2607752;Itapissuma (PE);-;20;-;X;-;-;20
2607802;Itaquitinga (PE);683;1832;52;649;9;-;3225
2607901;Jaboatão dos Guararapes (PE);16;430;83;113;5;X;647
2607950;Jaqueira (PE);X;199;9;56;-;45;309
2608008;Jataúba (PE);2;27;18;0;-;X;47
2608057;Jatobá (PE);47;298;83;15;-;X;443
2608107;João Alfredo (PE);6;186;29;133;X;16;370
2608206;Joaquim Nabuco (PE);X;345;X;149;-;X;494
2608255;Jucati (PE);30;981;160;66;5;158;1400
2608305;Jupi (PE);19;954;155;101;-;220;1449
2608404;Jurema (PE);98;577;169;144;2;56;1046
2608453;Lagoa do Carro (PE);109;243;150;76;-;2;580
2608503;Lagoa de Itaenga (PE);108;600;61;422;40;X;1231
2608602;Lagoa do Ouro (PE);576;598;280;205;3;79;1741
2608701;Lagoa dos Gatos (PE);184;477;116;269;-;X;1046
2608750;Lagoa Grande (PE);50;9291;183;3712;-;12;13248
2608800;Lajedo (PE);34;920;177;108;X;49;1288
2608909;Limoeiro (PE);217;807;52;278;X;108;1462
2609006;Macaparana (PE);116;1305;32;276;11;X;1740
2609105;Machados (PE);99;1857;3;516;X;X;2475
2609154;Manari (PE);28;188;587;58;-;30;891
2609204;Maraial (PE);-;63;X;20;-;X;83
2609303;Mirandiba (PE);38;575;69;195;X;39;916
2609402;Moreno (PE);X;2178;30;506;5;X;2719
2609501;Nazaré da Mata (PE);926;1777;80;1651;X;37;4471
2609600;Olinda (PE);-;39;25;-;-;-;64
2609709;Orobó (PE);666;1421;22;74;X;-;2183
2609808;Orocó (PE);490;2688;624;799;X;20;4621
2609907;Ouricuri (PE);93;252;347;100;1;22;815
2610004;Palmares (PE);12;748;62;99;X;X;921
2610103;Palmeirina (PE);84;124;12;380;X;90;690
2610202;Panelas (PE);26;478;64;92;-;X;660
2610301;Paranatama (PE);17;398;421;13;X;49;898
2610400;Parnamirim (PE);201;41;70;19;-;23;354
2610509;Passira (PE);114;308;325;299;X;6;1052
2610608;Paudalho (PE);809;2654;39;3847;X;X;7349
2610707;Paulista (PE);0;62;X;-;-;-;62
2610806;Pedra (PE);X;193;102;116;-;69;480
2610905;Pesqueira (PE);65;785;402;112;16;148;1528
2611002;Petrolândia (PE);209;9118;1509;4701;69;36;15642
2611101;Petrolina (PE);5868;104221;3532;56181;4264;109;174175
2611200;Poção (PE);24;71;75;8;X;27;205
2611309;Pombos (PE);167;1724;462;880;32;15;3280
2611408;Primavera (PE);43;2626;13;1006;X;-;3688
2611507;Quipapá (PE);64;200;49;26;X;24;363
2611533;Quixaba (PE);36;71;65;22;X;8;202
2611606;Recife (PE);179;193;62;29;X;-;463
2611705;Riacho das Almas (PE);646;417;35;27;-;X;1125
2611804;Ribeirão (PE);813;2645;13;1617;-;193;5281
2611903;Rio Formoso (PE);898;4775;44;1480;X;X;7197
2612000;Sairé (PE);X;435;31;301;-;X;767
2612109;Salgadinho (PE);5;52;9;20;-;5;91
2612208;Salgueiro (PE);128;179;120;104;X;82;613
2612307;Saloá (PE);39;334;283;50;-;51;757
2612406;Sanharó (PE);199;133;177;23;-;70;602
2612455;Santa Cruz (PE);22;25;70;24;-;39;180
2612471;Santa Cruz da Baixa Verde (PE);69;134;78;29;X;102;412
2612505;Santa Cruz do Capibaribe (PE);11;38;14;1;-;-;64
2612554;Santa Filomena (PE);X;134;94;35;X;107;370
2612604;Santa Maria da Boa Vista (PE);1466;11727;604;2652;448;33;16930
2612703;Santa Maria do Cambucá (PE);14;655;35;78;-;-;782
2612802;Santa Terezinha (PE);4;163;21;10;X;19;217
2612901;São Benedito do Sul (PE);11;96;24;147;-;-;278
2613008;São Bento do Una (PE);53;1408;578;44;-;131;2214
2613107;São Caitano (PE);135;428;107;71;8;27;776
2613206;São João (PE);29;1411;276;230;-;90;2036
2613305;São Joaquim do Monte (PE);89;525;144;372;-;33;1163
2613404;São José da Coroa Grande (PE);-;44;4;15;-;X;63
2613503;São José do Belmonte (PE);209;614;439;636;7;96;2001
2613602;São José do Egito (PE);480;384;43;15;X;434;1356
2613701;São Lourenço da Mata (PE);537;1512;80;1867;38;11;4045
2613800;São Vicente Férrer (PE);73;2919;28;789;28;X;3837
2613909;Serra Talhada (PE);75;289;180;178;X;362;1084
2614006;Serrita (PE);275;167;79;104;-;106;731
2614105;Sertânia (PE);67;200;308;8;X;3;586
2614204;Sirinhaém (PE);836;14938;13;697;-;61;16545
2614303;Moreilândia (PE);X;182;38;34;-;289;543
2614402;Solidão (PE);4;75;8;11;-;13;111
2614501;Surubim (PE);75;248;40;147;-;106;616
2614600;Tabira (PE);X;175;87;34;X;49;345
2614709;Tacaimbó (PE);11;273;49;85;3;20;441
2614808;Tacaratu (PE);93;693;271;233;1;28;1319
2614857;Tamandaré (PE);10;256;131;37;-;X;434
2615003;Taquaritinga do Norte (PE);X;353;49;3;-;X;405
2615102;Terezinha (PE);357;290;221;75;-;72;1015
2615201;Terra Nova (PE);X;12;19;4;-;X;35
2615300;Timbaúba (PE);387;711;39;32726;-;53;33916
2615409;Toritama (PE);X;3;0;X;-;-;3
2615508;Tracunhaém (PE);1022;2569;74;2234;X;-;5899
2615607;Trindade (PE);7;71;91;23;-;28;220
2615706;Triunfo (PE);52;303;83;10;2;9;459
2615805;Tupanatinga (PE);76;471;420;50;X;19;1036
2615904;Tuparetama (PE);X;97;6;3;-;9;115
2616001;Venturosa (PE);349;328;1976;7;-;16;2676
2616100;Verdejante (PE);32;43;71;37;-;X;183
2616183;Vertente do Lério (PE);53;196;19;35;-;-;303
2616209;Vertentes (PE);157;287;101;53;-;X;598
2616308;Vicência (PE);2831;1486;76;849;308;19;5569
2616407;Vitória de Santo Antão (PE);415;5406;866;2215;-;68;8970
2616506;Xexéu (PE);308;678;2;165;-;32;1185
2700102;Água Branca (AL);63;195;256;11;X;6;531
2700201;Anadia (AL);2583;482;102;765;9;36;3977
2700300;Arapiraca (AL);775;4424;2646;1017;X;133;8995
2700409;Atalaia (AL);8764;5166;351;2190;-;-;16471
2700508;Barra de Santo Antônio (AL);11956;6271;1808;2738;-;-;22773
2700607;Barra de São Miguel (AL);X;388;X;X;-;-;388
2700706;Batalha (AL);X;156;165;112;-;X;433
2700805;Belém (AL);14;94;31;137;-;37;313
2700904;Belo Monte (AL);X;33;37;13;-;-;83
2701001;Boca da Mata (AL);1640;5050;142;2527;4;98;9461
2701100;Branquinha (AL);X;75;3;154;-;-;232
2701209;Cacimbinhas (AL);8;321;120;25;-;35;509
2701308;Cajueiro (AL);172;162;X;846;-;X;1180
2701357;Campestre (AL);X;337;X;45;-;-;382
2701407;Campo Alegre (AL);1061;5255;42;3717;-;13;10088
2701506;Campo Grande (AL);20;287;139;641;-;196;1283
2701605;Canapi (AL);63;262;293;2;X;13;633
2701704;Capela (AL);1912;664;25;513;-;106;3220
2701803;Carneiros (AL);8;328;60;1;-;X;397
2701902;Chã Preta (AL);171;213;51;587;-;39;1061
2702009;Coité do Nóia (AL);83;854;116;265;-;102;1420
2702108;Colônia Leopoldina (AL);585;2084;59;708;-;-;3436
2702207;Coqueiro Seco (AL);X;64;8;18;X;X;90
2702306;Coruripe (AL);6696;38259;70330;14693;23;42;130043
2702355;Craíbas (AL);516;2046;306;409;-;32;3309
2702405;Delmiro Gouveia (AL);14;227;59;5;-;X;305
2702504;Dois Riachos (AL);26;52;154;2;-;X;234
2702553;Estrela de Alagoas (AL);18;484;379;25;X;104;1010
2702603;Feira Grande (AL);306;2752;339;794;-;189;4380
2702702;Feliz Deserto (AL);X;2134;167;1174;25;10;3510
2702801;Flexeiras (AL);1448;1368;144;649;1;97;3707
2702900;Girau do Ponciano (AL);414;2892;450;937;-;315;5008
2703007;Ibateguara (AL);X;55;X;16;X;-;71
2703106;Igaci (AL);598;2465;919;469;-;222;4673
2703205;Igreja Nova (AL);2442;2341;463;1815;X;589;7650
2703304;Inhapi (AL);43;180;236;16;-;37;512
2703403;Jacaré dos Homens (AL);52;174;133;67;-;X;426
2703502;Jacuípe (AL);X;625;22;256;-;X;903
2703601;Japaratinga (AL);X;888;57;85;X;-;1030
2703700;Jaramataia (AL);128;221;102;15;-;X;466
2703759;Jequiá da Praia (AL);1981;6555;3;4702;X;-;13241
2703809;Joaquim Gomes (AL);75;339;31;162;X;X;607
2703908;Jundiá (AL);X;799;X;317;-;-;1116
2704005;Junqueiro (AL);485;3412;531;2126;-;28;6582
2704104;Lagoa da Canoa (AL);272;1770;107;419;-;229;2797
2704203;Limoeiro de Anadia (AL);793;3669;862;1268;27;231;6850
2704302;Maceió (AL);2542;2997;6;55462;X;X;61007
2704401;Major Isidoro (AL);32;888;332;92;-;-;1344
2704500;Maragogi (AL);45;2143;796;1431;X;X;4415
2704609;Maravilha (AL);131;845;262;6;-;X;1244
2704708;Marechal Deodoro (AL);2948;2271;9;2002;X;X;7230
2704807;Maribondo (AL);32;40;3;340;-;-;415
2704906;Mar Vermelho (AL);339;98;45;419;-;69;970
2705002;Mata Grande (AL);28;2710;936;561;X;42;4277
2705101;Matriz de Camaragibe (AL);5226;2986;810;1274;-;3;10299
2705200;Messias (AL);935;2056;13;1479;2;36;4521
2705309;Minador do Negrão (AL);119;324;303;72;-;24;842
2705408;Monteirópolis (AL);X;342;88;32;-;-;462
2705507;Murici (AL);804;1780;406;1294;-;158;4442
2705606;Novo Lino (AL);X;1444;5;555;-;49;2053
2705705;Olho d'Água das Flores (AL);77;391;71;9;-;3;551
2705804;Olho d'Água do Casado (AL);X;8;57;0;-;-;65
2705903;Olho d'Água Grande (AL);250;115;7;387;-;155;914
2706000;Olivença (AL);17;241;193;14;-;X;465
2706109;Ouro Branco (AL);31;217;98;11;-;X;357
2706208;Palestina (AL);12;41;32;5;-;X;90
2706307;Palmeira dos Índios (AL);243;1132;518;220;X;243;2356
2706406;Pão de Açúcar (AL);90;124;1487;21;-;X;1722
2706422;Pariconha (AL);3;8;25;X;-;X;36
2706448;Paripueira (AL);541;423;44;107;-;5;1120
2706505;Passo de Camaragibe (AL);6603;3475;976;1493;X;X;12547
2706604;Paulo Jacinto (AL);54;137;2;350;-;33;576
2706703;Penedo (AL);3251;5113;510;2323;42;254;11493
2706802;Piaçabuçu (AL);8;218;8;29;-;X;263
2706901;Pilar (AL);463;2865;56;1613;X;26;5023
2707008;Pindoba (AL);39;156;-;368;-;X;563
2707107;Piranhas (AL);3;47;139;X;-;24;213
2707206;Poço das Trincheiras (AL);53;144;234;11;-;-;442
2707305;Porto Calvo (AL);2974;3225;X;1690;-;56;7945
2707404;Porto de Pedras (AL);1507;1629;232;512;-;X;3880
2707503;Porto Real do Colégio (AL);20;532;222;472;-;122;1368
2707602;Quebrangulo (AL);64;324;75;829;-;32;1324
2707701;Rio Largo (AL);3633;7887;3;4270;X;X;15793
2707800;Roteiro (AL);816;1644;6;652;-;-;3118
2707909;Santa Luzia do Norte (AL);199;789;X;818;-;25;1831
2708006;Santana do Ipanema (AL);97;462;273;32;-;70;934
2708105;Santana do Mundaú (AL);71;399;104;543;-;X;1117
2708204;São Brás (AL);X;132;78;92;-;96;398
2708303;São José da Laje (AL);70;6243;1;5196;-;-;11510
2708402;São José da Tapera (AL);36;547;282;6;-;4;875
2708501;São Luís do Quitunde (AL);10633;6269;1736;2643;X;45;21326
2708600;São Miguel dos Campos (AL);5776;10024;78;5314;-;33;21225
2708709;São Miguel dos Milagres (AL);1546;948;236;365;-;-;3095
2708808;São Sebastião (AL);483;3471;594;1397;-;300;6245
2708907;Satuba (AL);X;857;X;573;-;X;1430
2708956;Senador Rui Palmeira (AL);13;164;174;8;-;4;363
2709004;Tanque d'Arca (AL);55;239;24;268;-;39;625
2709103;Taquarana (AL);304;6192;164;472;X;492;7624
2709152;Teotônio Vilela (AL);1646;4412;137;2240;-;85;8520
2709202;Traipu (AL);32;877;285;536;X;188;1918
2709301;União dos Palmares (AL);143;578;108;296;17;32;1174
2709400;Viçosa (AL);326;489;18;772;-;15;1620
2800100;Amparo do São Francisco (SE);89;136;89;31;-;110;455
2800209;Aquidabã (SE);355;728;531;275;X;1119;3008
2800308;Aracaju (SE);58;25;0;2;-;-;85
2800407;Arauá (SE);81;1690;332;593;X;250;2946
2800506;Areia Branca (SE);135;1971;653;132;X;9;2900
2800605;Barra dos Coqueiros (SE);-;42;X;0;-;-;42
2800670;Boquim (SE);120;1675;162;505;X;74;2536
2800704;Brejo Grande (SE);127;371;20;8;-;33;559
2801009;Campo do Brito (SE);62;1100;332;259;X;180;1933
2801108;Canhoba (SE);669;661;649;160;-;255;2394
2801207;Canindé de São Francisco (SE);X;896;265;102;-;X;1263
2801306;Capela (SE);691;1816;139;725;X;77;3448
2801405;Carira (SE);998;7670;7207;1221;-;111;17207
2801504;Carmópolis (SE);10;51;7;125;-;X;193
2801603;Cedro de São João (SE);X;41;7;268;-;417;733
2801702;Cristinápolis (SE);29;1224;219;459;130;123;2184
2801900;Cumbe (SE);162;778;412;98;-;209;1659
2802007;Divina Pastora (SE);81;359;36;101;-;44;621
2802106;Estância (SE);123;1208;143;63;27;195;1759
2802205;Feira Nova (SE);291;1805;2103;316;-;64;4579
2802304;Frei Paulo (SE);1616;5631;4666;840;-;241;12994
2802403;Gararu (SE);204;1346;1170;323;7;94;3144
2802502;General Maynard (SE);X;10;1;50;-;8;69
2802601;Gracho Cardoso (SE);118;1441;792;169;-;110;2630
2802700;Ilha das Flores (SE);410;809;121;397;-;33;1770
2802809;Indiaroba (SE);88;2038;202;637;14;111;3090
2802908;Itabaiana (SE);430;5894;1332;822;-;62;8540
2803005;Itabaianinha (SE);424;3123;665;875;73;719;5879
2803104;Itabi (SE);X;520;493;178;-;73;1264
2803203;Itaporanga d'Ajuda (SE);192;1943;202;476;61;113;2987
2803302;Japaratuba (SE);1048;1692;197;614;7;84;3642
2803401;Japoatã (SE);53;4374;180;1913;X;48;6568
2803500;Lagarto (SE);1364;8167;1973;1818;45;914;14281
2803609;Laranjeiras (SE);72;2827;19;211;X;49;3178
2803708;Macambira (SE);X;638;564;172;X;42;1416
2803807;Malhada dos Bois (SE);57;23;1;X;-;59;140
2803906;Malhador (SE);84;2135;249;130;X;50;2648
2804003;Maruim (SE);10;1165;1;6;-;77;1259
2804102;Moita Bonita (SE);87;1981;69;210;X;106;2453
2804201;Monte Alegre de Sergipe (SE);99;1122;1061;177;-;80;2539
2804300;Muribeca (SE);438;159;23;216;X;58;894
2804409;Neópolis (SE);540;3851;246;1985;X;104;6726
2804458;Nossa Senhora Aparecida (SE);736;4710;4364;758;-;49;10617
2804508;Nossa Senhora da Glória (SE);372;3343;2841;377;-;282;7215
2804607;Nossa Senhora das Dores (SE);651;1751;903;727;-;346;4378
2804706;Nossa Senhora de Lourdes (SE);79;679;491;112;-;77;1438
2804805;Nossa Senhora do Socorro (SE);573;348;13;61;-;X;995
2804904;Pacatuba (SE);29;259;26;59;7;196;576
2805000;Pedra Mole (SE);263;685;656;186;-;X;1790
2805109;Pedrinhas (SE);X;316;13;119;-;X;448
2805208;Pinhão (SE);438;1089;967;273;-;91;2858
2805307;Pirambu (SE);X;577;29;45;X;16;667
2805406;Poço Redondo (SE);363;2306;1254;365;X;142;4430
2805505;Poço Verde (SE);730;3238;1864;478;-;82;6392
2805604;Porto da Folha (SE);230;2161;1379;629;X;155;4554
2805703;Propriá (SE);209;1162;190;426;-;438;2425
2805802;Riachão do Dantas (SE);349;2018;362;824;-;524;4077
2805901;Riachuelo (SE);120;716;35;389;X;4;1264
2806008;Ribeirópolis (SE);312;2448;1353;872;X;329;5314
2806107;Rosário do Catete (SE);X;370;2;134;-;21;527
2806206;Salgado (SE);41;1777;165;332;65;127;2507
2806305;Santa Luzia do Itanhy (SE);130;1486;152;424;91;85;2368
2806404;Santana do São Francisco (SE);13;523;31;341;X;-;908
2806503;Santa Rosa de Lima (SE);12;400;7;28;2;92;541
2806602;Santo Amaro das Brotas (SE);123;776;20;32;X;40;991
2806701;São Cristóvão (SE);222;731;114;83;-;12;1162
2806800;São Domingos (SE);23;526;67;192;X;155;963
2806909;São Francisco (SE);X;58;27;110;-;X;195
2807006;São Miguel do Aleixo (SE);X;845;748;212;-;270;2075
2807105;Simão Dias (SE);2073;5125;3774;787;6;660;12425
2807204;Siriri (SE);715;621;143;325;X;98;1902
2807303;Telha (SE);166;174;169;124;-;X;633
2807402;Tobias Barreto (SE);163;1180;180;201;1;587;2312
2807501;Tomar do Geru (SE);262;1157;581;511;40;99;2650
2807600;Umbaúba (SE);378;2695;1006;1155;-;27;5261
2900108;Abaíra (BA);10;311;32;11;X;46;410
2900207;Abaré (BA);415;3498;330;1683;76;26;6028
2900306;Acajutiba (BA);X;1238;2;242;-;52;1534
2900355;Adustina (BA);1591;4733;4357;1579;-;45;12305
2900405;Água Fria (BA);574;618;407;51;9;207;1866
2900504;Érico Cardoso (BA);26;582;175;25;48;17;873
2900603;Aiquara (BA);9;180;X;209;X;147;545
2900702;Alagoinhas (BA);138;1562;323;131;68;X;2222
2900801;Alcobaça (BA);4068;22222;374;1621;1643;266;30194
2900900;Almadina (BA);9;200;21;205;X;27;462
2901007;Amargosa (BA);160;1919;172;73;4;410;2738
2901106;Amélia Rodrigues (BA);97;950;138;56;21;7;1269
2901155;América Dourada (BA);90;2802;2856;2277;-;16;8041
2901205;Anagé (BA);50;1061;38;76;-;142;1367
2901304;Andaraí (BA);49;483;99;90;15;507;1243
2901353;Andorinha (BA);228;347;39;22;X;240;876
2901403;Angical (BA);227;348;296;800;-;835;2506
