Código (Município);Município;Produção de lavouras temporárias;Produção de lavouras permanentes;Soma
1718865;Santa Fé do Araguaia (TO);27314;X;27314
1718881;Santa Maria do Tocantins (TO);8592;X;8592
1718899;Santa Rita do Tocantins (TO);39321;X;39321
1718907;Santa Rosa do Tocantins (TO);104499;96;104595
1719004;Santa Tereza do Tocantins (TO);8;X;8
1720002;Santa Terezinha do Tocantins (TO);141;X;141
1720101;São Bento do Tocantins (TO);3553;208;3761
1720150;São Félix do Tocantins (TO);852;-;852
1720200;São Miguel do Tocantins (TO);1005;X;1005
1720259;São Salvador do Tocantins (TO);648;X;648
1720309;São Sebastião do Tocantins (TO);808;90;898
1720499;São Valério (TO);21915;X;21915
1720655;Silvanópolis (TO);55800;99;55899
1720804;Sítio Novo do Tocantins (TO);834;X;834
1720853;Sucupira (TO);32537;-;32537
1720903;Taguatinga (TO);1046;82;1128
1720937;Taipas do Tocantins (TO);X;0;NA
1720978;Talismã (TO);X;X;NA
1721000;Palmas (TO);50026;330;50356
1721109;Tocantínia (TO);10046;43;10089
1721208;Tocantinópolis (TO);408;291;699
1721257;Tupirama (TO);25825;X;25825
1721307;Tupiratins (TO);4197;X;4197
1722081;Wanderlândia (TO);5562;324;5886
1722107;Xambioá (TO);636;1037;1673
2100055;Açailândia (MA);87584;2586;90170
2100105;Afonso Cunha (MA);15850;X;15850
2100154;Água Doce do Maranhão (MA);3762;329;4091
2100204;Alcântara (MA);7791;128;7919
2100303;Aldeias Altas (MA);6245;X;6245
2100402;Altamira do Maranhão (MA);2153;212;2365
2100436;Alto Alegre do Maranhão (MA);1006;X;1006
2100477;Alto Alegre do Pindaré (MA);3319;X;3319
2100501;Alto Parnaíba (MA);183234;X;183234
2100550;Amapá do Maranhão (MA);887;X;887
2100600;Amarante do Maranhão (MA);3746;641;4387
2100709;Anajatuba (MA);6246;87;6333
2100808;Anapurus (MA);34931;357;35288
2100832;Apicum-Açu (MA);707;-;707
2100873;Araguanã (MA);1115;X;1115
2100907;Araioses (MA);12357;997;13354
2100956;Arame (MA);4030;191;4221
2101004;Arari (MA);8881;384;9265
2101103;Axixá (MA);4420;968;5388
2101202;Bacabal (MA);6098;209;6307
2101251;Bacabeira (MA);287;X;287
2101301;Bacuri (MA);2375;X;2375
2101350;Bacurituba (MA);523;X;523
2101400;Balsas (MA);792324;1336;793660
2101509;Barão de Grajaú (MA);3240;102;3342
2101608;Barra do Corda (MA);6795;2196;8991
2101707;Barreirinhas (MA);16820;3793;20613
2101731;Belágua (MA);3979;X;3979
2101772;Bela Vista do Maranhão (MA);1392;X;1392
2101806;Benedito Leite (MA);9136;X;9136
2101905;Bequimão (MA);9044;560;9604
2101939;Bernardo do Mearim (MA);311;X;311
2101970;Boa Vista do Gurupi (MA);825;X;825
2102002;Bom Jardim (MA);3444;X;3444
2102036;Bom Jesus das Selvas (MA);11307;72;11379
2102077;Bom Lugar (MA);1927;X;1927
2102101;Brejo (MA);58359;621;58980
2102150;Brejo de Areia (MA);1141;X;1141
2102200;Buriti (MA);55404;241;55645
2102309;Buriti Bravo (MA);9594;240;9834
2102325;Buriticupu (MA);85361;872;86233
2102358;Buritirana (MA);2824;479;3303
