Código (Município);Município;Produção de lavouras temporárias;Produção de lavouras permanentes;Soma
2513604;Santana dos Garrotes (PB);2086;X;2086
2513653;Joca Claudino (PB);1249;49;1298
2513703;Santa Rita (PB);96359;33515;129874
2513802;Santa Teresinha (PB);1092;X;1092
2513851;Santo André (PB);588;106;694
2513901;São Bento (PB);27;-;27
2513927;São Bentinho (PB);X;X;NA
2513943;São Domingos do Cariri (PB);221;110;331
2513968;São Domingos (PB);640;X;640
2513984;São Francisco (PB);806;X;806
2514008;São João do Cariri (PB);459;X;459
2514107;São João do Tigre (PB);1610;198;1808
2514206;São José da Lagoa Tapada (PB);3100;1115;4215
2514305;São José de Caiana (PB);2630;X;2630
2514404;São José de Espinharas (PB);1193;-;1193
2514453;São José dos Ramos (PB);2855;85;2940
2514503;São José de Piranhas (PB);4703;142;4845
2514552;São José de Princesa (PB);3448;X;3448
2514602;São José do Bonfim (PB);336;X;336
2514651;São José do Brejo do Cruz (PB);X;0;NA
2514701;São José do Sabugi (PB);195;139;334
2514800;São José dos Cordeiros (PB);1082;-;1082
2514909;São Mamede (PB);1460;-;1460
2515005;São Miguel de Taipu (PB);7451;140;7591
2515104;São Sebastião de Lagoa de Roça (PB);7551;1248;8799
2515203;São Sebastião do Umbuzeiro (PB);805;-;805
2515302;Sapé (PB);61454;793;62247
2515401;São Vicente do Seridó (PB);1930;X;1930
2515500;Serra Branca (PB);2310;203;2513
2515609;Serra da Raiz (PB);2481;396;2877
2515708;Serra Grande (PB);1906;-;1906
2515807;Serra Redonda (PB);3993;184;4177
2515906;Serraria (PB);2827;1820;4647
2515930;Sertãozinho (PB);1538;420;1958
2515971;Sobrado (PB);8812;594;9406
2516003;Solânea (PB);7659;1384;9043
2516102;Soledade (PB);2207;22;2229
2516151;Sossêgo (PB);1359;73;1432
2516201;Sousa (PB);7846;4512;12358
2516300;Sumé (PB);1487;163;1650
2516409;Tacima (PB);2479;X;2479
2516508;Taperoá (PB);2978;X;2978
2516607;Tavares (PB);6697;-;6697
2516706;Teixeira (PB);7062;110;7172
2516755;Tenório (PB);1464;85;1549
2516805;Triunfo (PB);1855;X;1855
2516904;Uiraúna (PB);1292;X;1292
2517001;Umbuzeiro (PB);3105;X;3105
2517100;Várzea (PB);X;0;NA
2517209;Vieirópolis (PB);1198;X;1198
2517407;Zabelê (PB);669;X;669
2600054;Abreu e Lima (PE);2743;1779;4522
2600104;Afogados da Ingazeira (PE);6306;193;6499
2600203;Afrânio (PE);10336;352;10688
2600302;Agrestina (PE);3725;X;3725
2600401;Água Preta (PE);19644;3306;22950
2600500;Águas Belas (PE);11093;423;11516
2600609;Alagoinha (PE);5392;94;5486
2600708;Aliança (PE);33150;X;33150
2600807;Altinho (PE);7996;793;8789
2600906;Amaraji (PE);34434;10211;44645
2601003;Angelim (PE);3357;1174;4531
2601052;Araçoiaba (PE);837;X;837
2601102;Araripina (PE);56610;643;57253
2601201;Arcoverde (PE);2388;31;2419
2601300;Barra de Guabiraba (PE);622;2633;3255
2601409;Barreiros (PE);12574;2525;15099
2601508;Belém de Maria (PE);3632;1169;4801
2601607;Belém do São Francisco (PE);9414;32417;41831
2601706;Belo Jardim (PE);5727;4451;10178
2601805;Betânia (PE);5934;70;6004
2601904;Bezerros (PE);8717;X;8717
2602001;Bodocó (PE);10567;X;10567
2602100;Bom Conselho (PE);9348;1134;10482
2602209;Bom Jardim (PE);15755;8866;24621
2602308;Bonito (PE);5749;6091;11840
2602407;Brejão (PE);2683;1193;3876
2602506;Brejinho (PE);2810;941;3751
2602605;Brejo da Madre de Deus (PE);2600;1242;3842
2602704;Buenos Aires (PE);3633;1244;4877
2602803;Buíque (PE);15770;868;16638
2602902;Cabo de Santo Agostinho (PE);51351;6411;57762
2603009;Cabrobó (PE);6316;6276;12592
2603108;Cachoeirinha (PE);1448;-;1448
2603207;Caetés (PE);27831;-;27831
2603306;Calçado (PE);11098;102;11200
2603405;Calumbi (PE);3640;254;3894
2603454;Camaragibe (PE);X;X;NA
2603504;Camocim de São Félix (PE);2094;763;2857
2603603;Camutanga (PE);3476;1464;4940
2603702;Canhotinho (PE);11642;2660;14302
2603801;Capoeiras (PE);13490;-;13490
2603900;Carnaíba (PE);12439;310;12749
2603926;Carnaubeira da Penha (PE);7806;825;8631
2604007;Carpina (PE);7455;27;7482
2604106;Caruaru (PE);4199;879;5078
2604155;Casinhas (PE);8197;X;8197
2604205;Catende (PE);4188;2793;6981
2604304;Cedro (PE);1696;X;1696
2604403;Chã de Alegria (PE);6422;1121;7543
2604502;Chã Grande (PE);4981;X;4981
2604601;Condado (PE);4832;328;5160
2604700;Correntes (PE);1508;X;1508
2604809;Cortês (PE);7047;2370;9417
2604908;Cumaru (PE);10272;X;10272
2605004;Cupira (PE);2603;170;2773
2605103;Custódia (PE);12390;169;12559
2605152;Dormentes (PE);3711;X;3711
2605202;Escada (PE);86304;1966;88270
2605301;Exu (PE);6895;164;7059
2605400;Feira Nova (PE);3884;X;3884
2605459;Fernando de Noronha (PE);0;X;NA
2605509;Ferreiros (PE);20070;157;20227
2605608;Flores (PE);14610;346;14956
2605707;Floresta (PE);4902;143;5045
2605806;Frei Miguelinho (PE);5910;85;5995
2605905;Gameleira (PE);35799;2054;37853
2606002;Garanhuns (PE);19435;1303;20738
2606101;Glória do Goitá (PE);7946;2430;10376
2606200;Goiana (PE);18878;388;19266
2606309;Granito (PE);452;X;452
2606408;Gravatá (PE);8067;1905;9972
2606507;Iati (PE);7730;301;8031
2606606;Ibimirim (PE);10589;2011;12600
2606705;Ibirajuba (PE);1258;X;1258
2606804;Igarassu (PE);73500;598;74098
2606903;Iguaracy (PE);3930;57;3987
2607000;Inajá (PE);22427;X;22427
2607109;Ingazeira (PE);1352;-;1352
2607208;Ipojuca (PE);146127;5465;151592
2607307;Ipubi (PE);12379;554;12933
2607406;Itacuruba (PE);379;X;379
2607505;Itaíba (PE);9462;207;9669
2607604;Ilha de Itamaracá (PE);155;248;403
2607653;Itambé (PE);61750;244;61994
2607703;Itapetim (PE);5340;27;5367
2607752;Itapissuma (PE);616;X;616
2607802;Itaquitinga (PE);20689;670;21359
2607901;Jaboatão dos Guararapes (PE);6078;2690;8768
2607950;Jaqueira (PE);904;5853;6757
2608008;Jataúba (PE);1537;-;1537
2608057;Jatobá (PE);4572;1537;6109
2608107;João Alfredo (PE);14218;243;14461
2608206;Joaquim Nabuco (PE);3952;1471;5423
2608255;Jucati (PE);10417;-;10417
2608305;Jupi (PE);9559;X;9559
2608404;Jurema (PE);7705;2471;10176
2608453;Lagoa do Carro (PE);2124;X;2124
2608503;Lagoa de Itaenga (PE);6143;681;6824
2608602;Lagoa do Ouro (PE);4350;209;4559
2608701;Lagoa dos Gatos (PE);7407;15567;22974
2608750;Lagoa Grande (PE);1107;69881;70988
2608800;Lajedo (PE);10164;X;10164
2608909;Limoeiro (PE);8813;4944;13757
2609006;Macaparana (PE);6228;11176;17404
2609105;Machados (PE);420;21187;21607
2609154;Manari (PE);11487;21;11508
2609204;Maraial (PE);394;X;394
2609303;Mirandiba (PE);3520;2117;5637
2609402;Moreno (PE);20634;4402;25036
2609501;Nazaré da Mata (PE);8249;X;8249
2609600;Olinda (PE);320;915;1235
2609709;Orobó (PE);6718;3081;9799
2609808;Orocó (PE);9018;10133;19151
2609907;Ouricuri (PE);18844;521;19365
2610004;Palmares (PE);6680;4764;11444
2610103;Palmeirina (PE);1162;791;1953
2610202;Panelas (PE);15397;6130;21527
2610301;Paranatama (PE);9780;X;9780
2610400;Parnamirim (PE);970;X;970
2610509;Passira (PE);6952;216;7168
2610608;Paudalho (PE);4896;X;4896
2610707;Paulista (PE);170;146;316
2610806;Pedra (PE);2558;525;3083
2610905;Pesqueira (PE);11796;711;12507
2611002;Petrolândia (PE);12568;23870;36438
2611101;Petrolina (PE);17454;767037;784491
2611200;Poção (PE);2316;49;2365
2611309;Pombos (PE);16424;6704;23128
2611408;Primavera (PE);15518;6406;21924
2611507;Quipapá (PE);2243;X;2243
2611533;Quixaba (PE);5519;X;5519
2611606;Recife (PE);719;378;1097
2611705;Riacho das Almas (PE);3921;X;3921
2611804;Ribeirão (PE);44265;1270;45535
2611903;Rio Formoso (PE);43163;3325;46488
2612000;Sairé (PE);3291;2709;6000
2612109;Salgadinho (PE);3486;X;3486
2612208;Salgueiro (PE);3447;780;4227
2612307;Saloá (PE);6774;195;6969
2612406;Sanharó (PE);1852;X;1852
2612455;Santa Cruz (PE);1246;X;1246
2612471;Santa Cruz da Baixa Verde (PE);5820;292;6112
2612505;Santa Cruz do Capibaribe (PE);335;-;335
2612554;Santa Filomena (PE);4740;128;4868
2612604;Santa Maria da Boa Vista (PE);4949;62314;67263
2612703;Santa Maria do Cambucá (PE);12758;103;12861
2612802;Santa Terezinha (PE);4517;1109;5626
2612901;São Benedito do Sul (PE);994;X;994
2613008;São Bento do Una (PE);20585;80;20665
2613107;São Caitano (PE);7641;382;8023
2613206;São João (PE);21887;280;22167
2613305;São Joaquim do Monte (PE);3896;305;4201
2613404;São José da Coroa Grande (PE);2666;2447;5113
2613503;São José do Belmonte (PE);20020;1869;21889
2613602;São José do Egito (PE);10128;807;10935
2613701;São Lourenço da Mata (PE);6034;1877;7911
2613800;São Vicente Férrer (PE);1295;23268;24563
2613909;Serra Talhada (PE);17656;648;18304
2614006;Serrita (PE);4682;116;4798
2614105;Sertânia (PE);10663;495;11158
2614204;Sirinhaém (PE);104957;3157;108114
2614303;Moreilândia (PE);2261;X;2261
2614402;Solidão (PE);3919;X;3919
2614501;Surubim (PE);9299;X;9299
2614600;Tabira (PE);5866;X;5866
2614709;Tacaimbó (PE);3045;X;3045
2614808;Tacaratu (PE);18138;3482;21620
2614857;Tamandaré (PE);12050;2458;14508
2615003;Taquaritinga do Norte (PE);4606;897;5503
2615102;Terezinha (PE);2861;X;2861
2615201;Terra Nova (PE);483;X;483
2615300;Timbaúba (PE);6961;950;7911
2615409;Toritama (PE);33;-;33
2615508;Tracunhaém (PE);6082;X;6082
2615607;Trindade (PE);6052;214;6266
2615706;Triunfo (PE);9802;4706;14508
2615805;Tupanatinga (PE);8015;438;8453
2615904;Tuparetama (PE);1360;X;1360
2616001;Venturosa (PE);X;X;NA
2616100;Verdejante (PE);5600;318;5918
2616183;Vertente do Lério (PE);2308;X;2308
2616209;Vertentes (PE);4268;X;4268
2616308;Vicência (PE);6148;10165;16313
2616407;Vitória de Santo Antão (PE);45967;9290;55257
2616506;Xexéu (PE);7517;426;7943
2700102;Água Branca (AL);12056;353;12409
2700201;Anadia (AL);4961;208;5169
2700300;Arapiraca (AL);26997;2331;29328
2700409;Atalaia (AL);48622;292;48914
2700508;Barra de Santo Antônio (AL);54391;504;54895
2700607;Barra de São Miguel (AL);X;X;NA
2700706;Batalha (AL);1990;X;1990
2700805;Belém (AL);619;X;619
2700904;Belo Monte (AL);X;X;NA
2701001;Boca da Mata (AL);21784;X;21784
2701100;Branquinha (AL);1528;3671;5199
2701209;Cacimbinhas (AL);4000;-;4000
2701308;Cajueiro (AL);2000;657;2657
2701357;Campestre (AL);4020;X;4020
2701407;Campo Alegre (AL);55395;640;56035
2701506;Campo Grande (AL);3942;X;3942
2701605;Canapi (AL);6824;-;6824
2701704;Capela (AL);10138;248;10386
2701803;Carneiros (AL);3321;-;3321
2701902;Chã Preta (AL);X;1325;1325
2702009;Coité do Nóia (AL);13506;X;13506
2702108;Colônia Leopoldina (AL);11731;1903;13634
2702207;Coqueiro Seco (AL);949;709;1658
2702306;Coruripe (AL);196458;9566;206024
2702355;Craíbas (AL);19579;-;19579
2702405;Delmiro Gouveia (AL);4290;279;4569
2702504;Dois Riachos (AL);3982;-;3982
2702553;Estrela de Alagoas (AL);17497;1645;19142
2702603;Feira Grande (AL);28452;224;28676
2702702;Feliz Deserto (AL);6272;7106;13378
2702801;Flexeiras (AL);21080;1811;22891
2702900;Girau do Ponciano (AL);28060;70;28130
2703007;Ibateguara (AL);1815;1767;3582
2703106;Igaci (AL);17567;387;17954
2703205;Igreja Nova (AL);13212;688;13900
2703304;Inhapi (AL);7817;59;7876
2703403;Jacaré dos Homens (AL);994;X;994
2703502;Jacuípe (AL);8641;2461;11102
2703601;Japaratinga (AL);2508;2021;4529
2703700;Jaramataia (AL);3015;X;3015
2703759;Jequiá da Praia (AL);22218;949;23167
2703809;Joaquim Gomes (AL);4898;2977;7875
2703908;Jundiá (AL);5694;10015;15709
2704005;Junqueiro (AL);44160;788;44948
2704104;Lagoa da Canoa (AL);18016;X;18016
2704203;Limoeiro de Anadia (AL);22059;938;22997
2704302;Maceió (AL);38908;589;39497
2704401;Major Isidoro (AL);3354;X;3354
2704500;Maragogi (AL);16274;10586;26860
2704609;Maravilha (AL);4977;-;4977
2704708;Marechal Deodoro (AL);8573;2988;11561
2704807;Maribondo (AL);421;909;1330
2704906;Mar Vermelho (AL);920;X;920
2705002;Mata Grande (AL);14254;2234;16488
2705101;Matriz de Camaragibe (AL);7081;576;7657
2705200;Messias (AL);16728;1053;17781
2705309;Minador do Negrão (AL);2141;-;2141
2705408;Monteirópolis (AL);X;X;NA
2705507;Murici (AL);17403;4248;21651
2705606;Novo Lino (AL);10529;697;11226
2705705;Olho d'Água das Flores (AL);3191;16;3207
2705804;Olho d'Água do Casado (AL);3581;X;3581
2705903;Olho d'Água Grande (AL);X;0;NA
2706000;Olivença (AL);5243;X;5243
2706109;Ouro Branco (AL);3296;-;3296
2706208;Palestina (AL);X;X;NA
2706307;Palmeira dos Índios (AL);21037;2570;23607
2706406;Pão de Açúcar (AL);4371;173;4544
2706422;Pariconha (AL);3716;X;3716
2706448;Paripueira (AL);3315;756;4071
2706505;Passo de Camaragibe (AL);30420;822;31242
2706604;Paulo Jacinto (AL);716;X;716
2706703;Penedo (AL);66712;3473;70185
2706802;Piaçabuçu (AL);342;5681;6023
2706901;Pilar (AL);24556;X;24556
2707008;Pindoba (AL);1608;290;1898
2707107;Piranhas (AL);3422;X;3422
2707206;Poço das Trincheiras (AL);4626;X;4626
2707305;Porto Calvo (AL);25022;6102;31124
2707404;Porto de Pedras (AL);14431;5877;20308
2707503;Porto Real do Colégio (AL);7421;X;7421
2707602;Quebrangulo (AL);1484;318;1802
2707701;Rio Largo (AL);45481;111;45592
2707800;Roteiro (AL);10453;125;10578
2707909;Santa Luzia do Norte (AL);10011;89;10100
2708006;Santana do Ipanema (AL);8473;89;8562
2708105;Santana do Mundaú (AL);1464;14419;15883
2708204;São Brás (AL);1230;X;1230
2708303;São José da Laje (AL);52435;355;52790
2708402;São José da Tapera (AL);7228;X;7228
2708501;São Luís do Quitunde (AL);53596;1782;55378
2708600;São Miguel dos Campos (AL);28706;X;28706
2708709;São Miguel dos Milagres (AL);7713;1140;8853
2708808;São Sebastião (AL);33297;1791;35088
2708907;Satuba (AL);5100;X;5100
2708956;Senador Rui Palmeira (AL);6610;-;6610
2709004;Tanque d'Arca (AL);1862;252;2114
2709103;Taquarana (AL);12371;652;13023
2709152;Teotônio Vilela (AL);48851;X;48851
2709202;Traipu (AL);12884;159;13043
2709301;União dos Palmares (AL);18020;8977;26997
2709400;Viçosa (AL);2277;2203;4480
2800100;Amparo do São Francisco (SE);991;X;991
2800209;Aquidabã (SE);7299;947;8246
2800308;Aracaju (SE);X;1038;1038
2800407;Arauá (SE);4888;12491;17379
2800506;Areia Branca (SE);11353;1153;12506
2800605;Barra dos Coqueiros (SE);148;2510;2658
2800670;Boquim (SE);8354;11424;19778
2800704;Brejo Grande (SE);X;6678;6678
2801009;Campo do Brito (SE);10245;X;10245
2801108;Canhoba (SE);X;0;NA
2801207;Canindé de São Francisco (SE);5559;X;5559
2801306;Capela (SE);21711;1271;22982
2801405;Carira (SE);21598;X;21598
2801504;Carmópolis (SE);1899;X;1899
2801603;Cedro de São João (SE);1117;X;1117
2801702;Cristinápolis (SE);3505;9742;13247
2801900;Cumbe (SE);2045;X;2045
2802007;Divina Pastora (SE);2900;95;2995
2802106;Estância (SE);11738;9436;21174
2802205;Feira Nova (SE);6672;43;6715
2802304;Frei Paulo (SE);22674;X;22674
2802403;Gararu (SE);8647;76;8723
2802502;General Maynard (SE);904;543;1447
2802601;Gracho Cardoso (SE);2753;X;2753
2802700;Ilha das Flores (SE);10670;906;11576
2802809;Indiaroba (SE);4813;17747;22560
2802908;Itabaiana (SE);7410;834;8244
2803005;Itabaianinha (SE);11140;19975;31115
2803104;Itabi (SE);X;X;NA
2803203;Itaporanga d'Ajuda (SE);13404;16345;29749
2803302;Japaratuba (SE);16900;3256;20156
2803401;Japoatã (SE);15693;41533;57226
2803500;Lagarto (SE);58187;29893;88080
2803609;Laranjeiras (SE);32818;971;33789
2803708;Macambira (SE);5853;X;5853
2803807;Malhada dos Bois (SE);605;33;638
2803906;Malhador (SE);6394;3320;9714
2804003;Maruim (SE);13904;334;14238
2804102;Moita Bonita (SE);4554;666;5220
2804201;Monte Alegre de Sergipe (SE);2316;-;2316
2804300;Muribeca (SE);1095;X;1095
2804409;Neópolis (SE);17308;12962;30270
2804458;Nossa Senhora Aparecida (SE);15960;X;15960
2804508;Nossa Senhora da Glória (SE);12438;X;12438
2804607;Nossa Senhora das Dores (SE);9635;430;10065
2804706;Nossa Senhora de Lourdes (SE);925;-;925
2804805;Nossa Senhora do Socorro (SE);4397;528;4925
2804904;Pacatuba (SE);1544;10210;11754
2805000;Pedra Mole (SE);3311;-;3311
2805109;Pedrinhas (SE);1764;2275;4039
2805208;Pinhão (SE);X;X;NA
2805307;Pirambu (SE);979;6523;7502
2805406;Poço Redondo (SE);13981;3686;17667
2805505;Poço Verde (SE);19503;85;19588
2805604;Porto da Folha (SE);7518;329;7847
2805703;Propriá (SE);6944;3059;10003
2805802;Riachão do Dantas (SE);14851;8100;22951
2805901;Riachuelo (SE);10202;340;10542
2806008;Ribeirópolis (SE);11524;209;11733
2806107;Rosário do Catete (SE);6182;-;6182
2806206;Salgado (SE);15698;13482;29180
2806305;Santa Luzia do Itanhy (SE);7526;11397;18923
2806404;Santana do São Francisco (SE);1884;8319;10203
2806503;Santa Rosa de Lima (SE);3270;762;4032
2806602;Santo Amaro das Brotas (SE);4489;4873;9362
2806701;São Cristóvão (SE);13161;1753;14914
2806800;São Domingos (SE);13858;798;14656
2806909;São Francisco (SE);892;-;892
2807006;São Miguel do Aleixo (SE);X;0;NA
2807105;Simão Dias (SE);33322;X;33322
2807204;Siriri (SE);13051;1963;15014
2807303;Telha (SE);596;1223;1819
2807402;Tobias Barreto (SE);6365;609;6974
2807501;Tomar do Geru (SE);5085;9200;14285
2807600;Umbaúba (SE);4954;16858;21812
2900108;Abaíra (BA);3545;1387;4932
2900207;Abaré (BA);5651;21769;27420
2900306;Acajutiba (BA);3819;9643;13462
2900355;Adustina (BA);52113;X;52113
2900405;Água Fria (BA);11026;336;11362
2900504;Érico Cardoso (BA);8071;2934;11005
2900603;Aiquara (BA);501;3777;4278
2900702;Alagoinhas (BA);16930;5626;22556
2900801;Alcobaça (BA);20860;18667;39527
2900900;Almadina (BA);79;3922;4001
2901007;Amargosa (BA);8833;14959;23792
2901106;Amélia Rodrigues (BA);1296;X;1296
2901155;América Dourada (BA);16146;474;16620
2901205;Anagé (BA);4947;4657;9604
2901304;Andaraí (BA);5966;505;6471
2901353;Andorinha (BA);1830;54;1884
2901403;Angical (BA);2787;177;2964
2901502;Anguera (BA);2456;-;2456
2901601;Antas (BA);9333;1843;11176
2901700;Antônio Cardoso (BA);11754;45;11799
2901809;Antônio Gonçalves (BA);2188;870;3058
2901908;Aporá (BA);11742;2907;14649
2901957;Apuarema (BA);495;7918;8413
2902005;Aracatu (BA);11465;420;11885
2902054;Araçás (BA);4374;1240;5614
2902104;Araci (BA);11329;13542;24871
2902203;Aramari (BA);3680;253;3933
2902252;Arataca (BA);35;20024;20059
2902302;Aratuípe (BA);13142;2432;15574
2902401;Aurelino Leal (BA);253;5562;5815
2902500;Baianópolis (BA);79316;1329;80645
2902609;Baixa Grande (BA);8314;448;8762
2902658;Banzaê (BA);4398;3892;8290
2902708;Barra (BA);14304;890;15194
2902807;Barra da Estiva (BA);3572;50684;54256
2902906;Barra do Choça (BA);3163;43701;46864
2903003;Barra do Mendes (BA);13847;800;14647
2903102;Barra do Rocha (BA);383;11617;12000
2903201;Barreiras (BA);835064;105196;940260
2903235;Barro Alto (BA);18334;X;18334
2903276;Barrocas (BA);3646;3590;7236
2903300;Barro Preto (BA);51;25558;25609
2903409;Belmonte (BA);2008;20238;22246
2903508;Belo Campo (BA);8146;4451;12597
2903607;Biritinga (BA);13404;1333;14737
2903706;Boa Nova (BA);5854;3071;8925
2903805;Boa Vista do Tupim (BA);6778;484;7262
2903904;Bom Jesus da Lapa (BA);6596;124388;130984
2903953;Bom Jesus da Serra (BA);3840;50;3890
2904001;Boninal (BA);2849;402;3251
2904050;Bonito (BA);4643;22151;26794
2904100;Boquira (BA);8897;202;9099
2904209;Botuporã (BA);6472;253;6725
2904308;Brejões (BA);1874;15501;17375
2904407;Brejolândia (BA);1098;X;1098
2904506;Brotas de Macaúbas (BA);5352;80;5432
2904605;Brumado (BA);18509;10931;29440
2904704;Buerarema (BA);75;15319;15394
2904753;Buritirama (BA);7697;-;7697
2904803;Caatiba (BA);835;1626;2461
2904852;Cabaceiras do Paraguaçu (BA);23000;2668;25668
2904902;Cachoeira (BA);13358;2318;15676
2905008;Caculé (BA);8733;2373;11106
2905107;Caém (BA);3099;296;3395
2905156;Caetanos (BA);5107;1770;6877
2905206;Caetité (BA);17464;1966;19430
2905305;Cafarnaum (BA);33825;1086;34911
2905404;Cairu (BA);X;727;727
2905503;Caldeirão Grande (BA);4298;X;4298
2905602;Camacan (BA);137;13061;13198
2905701;Camaçari (BA);7239;5793;13032
2905800;Camamu (BA);3436;42295;45731
2905909;Campo Alegre de Lourdes (BA);16794;28;16822
2906006;Campo Formoso (BA);39125;17656;56781
2906105;Canápolis (BA);6625;-;6625
2906204;Canarana (BA);32846;916;33762
2906303;Canavieiras (BA);2725;23156;25881
2906402;Candeal (BA);X;0;NA
2906501;Candeias (BA);1494;322;1816
2906600;Candiba (BA);5720;642;6362
2906709;Cândido Sales (BA);10106;X;10106
2906808;Cansanção (BA);10523;2230;12753
2906824;Canudos (BA);1423;19942;21365
2906857;Capela do Alto Alegre (BA);2752;X;2752
2906873;Capim Grosso (BA);3909;X;3909
2906899;Caraíbas (BA);4636;7943;12579
2906907;Caravelas (BA);11663;13129;24792
2907004;Cardeal da Silva (BA);1247;203;1450
2907103;Carinhanha (BA);5387;21248;26635
2907202;Casa Nova (BA);22611;122839;145450
2907301;Castro Alves (BA);11009;2272;13281
2907400;Catolândia (BA);1956;X;1956
2907509;Catu (BA);7121;1058;8179
2907558;Caturama (BA);4955;95;5050
2907608;Central (BA);11846;1192;13038
2907707;Chorrochó (BA);998;640;1638
2907806;Cícero Dantas (BA);19728;15308;35036
2907905;Cipó (BA);3163;1596;4759
2908002;Coaraci (BA);X;7194;7194
2908101;Cocos (BA);77046;40152;117198
2908200;Conceição da Feira (BA);3945;339;4284
2908309;Conceição do Almeida (BA);5054;3885;8939
2908408;Conceição do Coité (BA);10106;27770;37876
2908507;Conceição do Jacuípe (BA);2667;X;2667
2908606;Conde (BA);6936;35728;42664
2908705;Condeúba (BA);13207;237;13444
2908804;Contendas do Sincorá (BA);995;4535;5530
2908903;Coração de Maria (BA);14811;420;15231
2909000;Cordeiros (BA);4230;98;4328
2909109;Coribe (BA);2488;X;2488
2909208;Coronel João Sá (BA);14378;X;14378
2909307;Correntina (BA);1014810;664;1015474
2909406;Cotegipe (BA);5221;X;5221
2909505;Cravolândia (BA);569;1076;1645
2909604;Crisópolis (BA);23928;1494;25422
2909703;Cristópolis (BA);8496;X;8496
2909802;Cruz das Almas (BA);7109;8673;15782
2909901;Curaçá (BA);15610;45907;61517
2910008;Dário Meira (BA);2379;10412;12791
2910057;Dias d'Ávila (BA);1458;280;1738
2910107;Dom Basílio (BA);1435;17031;18466
2910206;Dom Macedo Costa (BA);2553;966;3519
2910305;Elísio Medrado (BA);5610;5179;10789
2910404;Encruzilhada (BA);8303;27391;35694
2910503;Entre Rios (BA);4944;2735;7679
2910602;Esplanada (BA);17161;18698;35859
2910701;Euclides da Cunha (BA);28391;1311;29702
2910727;Eunápolis (BA);9263;71599;80862
2910750;Fátima (BA);22445;X;22445
2910776;Feira da Mata (BA);1375;X;1375
2910800;Feira de Santana (BA);35813;1869;37682
2910859;Filadélfia (BA);3683;114;3797
2910909;Firmino Alves (BA);164;499;663
2911006;Floresta Azul (BA);509;7140;7649
2911105;Formosa do Rio Preto (BA);1746471;-;1746471
2911204;Gandu (BA);140;28582;28722
2911253;Gavião (BA);358;357;715
2911303;Gentio do Ouro (BA);4074;425;4499
2911402;Glória (BA);7723;15407;23130
2911501;Gongogi (BA);441;1548;1989
2911600;Governador Mangabeira (BA);13958;7222;21180
2911659;Guajeru (BA);5586;X;5586
2911709;Guanambi (BA);12658;2811;15469
2911808;Guaratinga (BA);3355;28337;31692
2911857;Heliópolis (BA);7428;863;8291
2911907;Iaçu (BA);4995;6708;11703
2912004;Ibiassucê (BA);7440;224;7664
2912103;Ibicaraí (BA);X;8396;8396
2912202;Ibicoara (BA);63147;32058;95205
2912301;Ibicuí (BA);1989;3529;5518
2912400;Ibipeba (BA);12231;25679;37910
2912509;Ibipitanga (BA);5139;105;5244
2912608;Ibiquera (BA);1817;83;1900
2912707;Ibirapitanga (BA);616;43430;44046
2912806;Ibirapuã (BA);26055;17953;44008
2912905;Ibirataia (BA);480;22589;23069
2913002;Ibitiara (BA);6391;165;6556
2913101;Ibititá (BA);34723;2572;37295
2913200;Ibotirama (BA);5475;1070;6545
2913309;Ichu (BA);932;X;932
2913408;Igaporã (BA);4025;295;4320
2913457;Igrapiúna (BA);1133;41718;42851
2913507;Iguaí (BA);4295;7758;12053
2913606;Ilhéus (BA);12461;92734;105195
2913705;Inhambupe (BA);24381;45899;70280
2913804;Ipecaetá (BA);13575;234;13809
2913903;Ipiaú (BA);2236;14972;17208
2914000;Ipirá (BA);14079;330;14409
2914109;Ipupiara (BA);4968;104;5072
2914208;Irajuba (BA);2749;1246;3995
2914307;Iramaia (BA);2298;2676;4974
2914406;Iraquara (BA);22457;7675;30132
2914505;Irará (BA);21941;244;22185
2914604;Irecê (BA);8007;1239;9246
2914653;Itabela (BA);2104;56113;58217
2914703;Itaberaba (BA);27801;8126;35927
2914802;Itabuna (BA);1229;10783;12012
2914901;Itacaré (BA);3209;39767;42976
2915007;Itaeté (BA);6799;422;7221
2915106;Itagi (BA);595;7589;8184
2915205;Itagibá (BA);1375;8457;9832
2915304;Itagimirim (BA);418;296;714
2915353;Itaguaçu da Bahia (BA);8829;2308;11137
2915403;Itaju do Colônia (BA);X;X;NA
2915502;Itajuípe (BA);1233;17362;18595
2915601;Itamaraju (BA);1998;110112;112110
2915700;Itamari (BA);30;13198;13228
2915809;Itambé (BA);3830;2090;5920
2915908;Itanagra (BA);1242;114;1356
2916005;Itanhém (BA);1788;3002;4790
2916104;Itaparica (BA);328;205;533
2916203;Itapé (BA);X;1191;1191
2916302;Itapebi (BA);558;1221;1779
2916401;Itapetinga (BA);1080;1001;2081
2916500;Itapicuru (BA);33939;19512;53451
2916609;Itapitanga (BA);119;3425;3544
2916708;Itaquara (BA);2054;1663;3717
2916807;Itarantim (BA);1210;-;1210
2916856;Itatim (BA);1995;104;2099
2916906;Itiruçu (BA);1604;6165;7769
2917003;Itiúba (BA);4700;575;5275
2917102;Itororó (BA);258;2692;2950
2917201;Ituaçu (BA);7036;28200;35236
2917300;Ituberá (BA);396;28176;28572
2917334;Iuiu (BA);5063;X;5063
2917359;Jaborandi (BA);392174;X;392174
