;area_estabelecimentos;area_lavouras;area_producao;despesas_terra;qtde_estabelecimentos;pessoal_ocupado;salarios;pessoal_homens;pessoal_mulheres;qtde_tratores;qtde_maquinas;despesas_maquinas;uso_adubos;uso_corretivos;uso_assistencia_tecnica;uso_agrotoxicos;uso_conservacao;uso_irrigacao;uso_energia;despesa_insumos;intensidade_agrotoxico;despesas_estabelecimentos;despesas_outras;despesas_lavouras;receitas_lavouras;receitas_estabelecimentos;CR_sicor;producao;pib_agro_municipios
1100015;288706,8;8146,8;17894;28521;2884;8550;13460;6145;2405;517;665;19460;1052;178;511;511;1163;559;2598;53914;2,30313683;155230;9380;15353;39555;2596;60873761,25;191374;169623,26
1100023;243741,3;10575,8;21181;19195;2927;7082;15402;4738;2344;501;635;10972;351;320;329;329;420;85;2772;46887;5,34235977;188213;4325;11918;20499;2480;88515333,67;153569;165216,94
1100031;93780,2;35088,6;37050;58117;1075;3085;7515;2220;865;247;417;NA;200;176;307;307;258;33;880;53396;20,31724138;151613;8733;117023;95530;991;28374693,57;146924;63021,99
1100049;185338,2;8681,3;20265;15831;3805;9410;8194;6322;3088;465;539;12099;1204;363;378;378;1172;900;3579;36969;0,65890600;101349;6771;15588;33499;3595;63506972,37;165834;255059,85
1100056;98701,3;40378,3;43402;93796;718;2182;4135;1579;603;303;605;22957;199;185;167;167;340;46;662;88470;184,35714286;142529;1152;111502;132284;706;54799084,08;202533;61939,89
1100064;111085,8;2512,1;3566;14972;1673;4891;5402;3457;1434;248;367;12011;203;146;548;548;580;58;1473;23835;24,44366197;81310;3953;7888;7063;1545;56741752,15;129799;78345,65
1100072;228521,4;50163,7;62170;97935;1489;5921;22521;4219;1702;306;554;NA;173;100;299;299;636;16;1290;113242;130,55392157;289281;5690;99183;173133;1434;106279248,25;571195;227123,26
1100080;158332,2;2282,2;5636;10799;1495;4425;6418;2842;1583;269;297;8412;120;90;550;550;513;38;1216;21361;7,52834008;76339;7181;2154;5745;1398;31853326,53;91310;62851,88
1100098;171616,9;5031,2;7691;12342;1999;6715;17359;4189;2526;334;405;8307;206;120;241;241;301;99;1914;29166;9,61871750;87018;3503;7710;10774;1850;44971872,58;140380;124625,44
1100106;49583,5;1840,3;5468;1516;545;2780;1633;1767;1013;91;97;3334;68;58;262;262;547;40;409;5817;2,56800000;15910;1068;718;4723;576;6076417,09;28970;47073,51
1100114;226607,5;4718;7526;10182;3547;8390;10284;5852;2538;262;321;11799;200;225;575;575;1120;64;3333;32083;1,71290010;105090;8066;2527;5609;3392;73263530,75;177910;172324,51
1100122;181594,1;2299,8;5301;9996;2544;7803;13389;5324;2479;312;431;11216;343;340;740;740;1052;159;2471;27024;7,79310345;90967;3212;2452;4487;2413;77580328,41;135145;142860,71
1100130;227207,2;10600,9;25600;20015;4228;11820;10850;7309;4511;257;341;12982;498;448;408;408;1887;137;3967;34667;2,00530410;105912;9841;13894;27794;3791;62157069,89;112310;183427,12
1100148;120021,8;8142,3;20462;11554;3007;7851;6644;5802;2049;229;282;7242;1501;667;319;319;1173;1111;2875;18667;0,78026285;52463;2787;15883;42339;2732;28906957,66;99557;115926,12
1100155;132077,4;1757,1;2346;10546;2152;6038;9192;4269;1769;183;235;8661;225;181;598;598;2392;74;2071;24493;2,98821990;87236;6081;1450;5091;2112;52794570,09;137037;135777,05
1100189;168136,1;404,9;2865;7691;1197;2898;6279;1914;984;332;376;6505;88;91;150;150;143;22;1176;19939;31,77319588;49322;1408;883;1488;825;68545929,24;97683;107191,82
1100205;432380,8;14454,3;176867;26319;5121;16985;27851;11279;5706;772;1153;30701;852;647;1231;1231;2096;470;4148;64361;3,48520971;194223;11719;14760;41913;4780;142785650,74;362789;589994,74
1100254;104278,2;1802,1;3738;9046;2105;6621;5599;4047;2574;190;233;8497;320;102;603;603;649;165;2003;20531;5,19597990;82346;7858;3121;7346;2046;48208938,37;126928;103300,38
1100262;81089;6899,9;7803;12941;492;1685;5301;1287;398;163;241;7629;88;81;71;71;66;12;452;19966;12,41194969;65169;7652;16863;25693;464;23875423,97;104753;59951,2
1100288;101437,6;4650,7;8852;19070;2038;5634;8007;4251;1383;314;427;8691;498;298;449;449;638;325;1912;34631;3,81777778;83174;3791;12674;20627;1930;45016014,02;113004;105487,34
1100296;68500,4;7510,8;13588;8132;1023;3214;4577;2192;1022;230;304;5308;269;80;271;271;420;181;935;14211;3,45414847;1341268;1026;6915;18523;986;23969536,87;81999;56677,57
1100304;139187,6;36520,8;59929;94354;1579;4970;22882;3404;1566;561;869;24162;489;484;423;423;442;216;1521;99730;237,77083333;186333;5408;106154;159727;1330;93623857,14;263125;162728,26
1100320;147148,6;22650,1;38472;35098;2487;6938;6831;4740;2198;333;499;14103;959;562;280;280;1224;735;2384;44517;2,97792572;99655;7688;41770;70978;2346;47943753,02;166658;223963,77
1100338;191451,7;2398,7;4069;8168;2115;6366;6972;4248;2118;219;262;NA;91;106;225;225;1372;62;1962;29240;6,79710145;109938;2175;1329;3206;1977;95463240,08;118887;183650,56
1100346;119831;2726,6;7013;13073;1824;6026;5301;4416;1610;224;307;9445;416;244;402;402;451;239;1733;21672;3,71829522;64980;2708;5656;14479;1741;43828203,39;82346;82744,32
1100379;108909,3;8918,4;24048;15010;1974;7445;5365;6011;1434;242;270;8653;1214;162;363;363;976;635;1808;20949;1,62413793;59819;5885;19066;46009;1877;30262980,48;98983;174973,97
1100403;146422;13861,4;25046;16968;2617;6989;8221;4627;2362;257;351;13495;315;236;215;215;366;83;2452;26740;1,97909556;75532;2359;22108;32834;2258;66714560,08;90113;87557,38
1100452;189709,1;3231,7;5748;12743;2830;9261;7412;6075;3186;243;255;14023;208;174;237;237;862;106;2720;26502;2,75441289;99628;2615;3239;8374;2685;76514993,36;131275;189479,54
1100502;56592,3;4432,3;7240;8649;1347;4172;3383;2920;1252;129;163;3269;409;199;378;378;620;319;1286;11864;2,02543235;33403;2073;7545;16646;1237;20401261,77;51228;63004,29
1100601;121266,6;1538,4;2614;12160;894;2707;8320;1843;864;148;171;8212;59;57;309;309;347;10;815;25652;8,04414587;116975;5506;688;2919;882;49551687,53;124898;74768,7
1100700;156426;2364;5688;6914;1918;5857;7100;3851;2006;120;138;10904;85;77;117;117;946;34;1869;21054;2,77277840;63443;1841;1406;3332;1827;55388594;105822;124132,17
1100809;104867,7;15292;22667;21933;1239;3793;7981;2570;1223;315;405;12618;182;220;262;262;224;125;1080;32262;42,44444444;81791;2542;19998;22964;1087;54561509,76;71868;85427,84
1100908;40510,2;1999;2890;6177;577;1345;2351;995;350;108;141;NA;124;96;183;183;74;83;518;10047;12,18589744;25038;2521;5657;8698;548;11386236,56;32484;75536,64
1100924;248793,6;33443,9;53143;68010;1044;3331;17927;2359;972;362;508;NA;82;80;363;363;201;15;949;105204;1511,40000000;222773;8375;56920;72179;989;126762410,63;511029;105949,71
1100940;135021,8;16856,1;16713;30473;1897;5678;5196;3884;1794;297;392;15216;207;182;327;327;633;49;1465;36094;9,51398964;89354;3297;26325;31641;1782;37835288,74;110175;84130,05
1101005;110580,3;1477,7;3461;3587;1673;4644;3772;2916;1728;93;110;9279;56;45;316;316;261;19;1652;15331;1,45235362;54586;1365;754;3257;1652;42324915,18;100341;95410,22
1101104;59787,2;2109,6;4918;7104;759;3079;7174;2074;1005;168;196;4359;100;169;325;325;101;41;731;12487;11,60130719;40116;137;1614;13338;742;15837450,51;55495;40429,83
1101203;49314,3;2569,1;5592;4125;1182;3616;2798;2572;1044;72;78;2858;416;162;190;190;245;279;968;10480;1,01531213;33145;1688;3614;11846;1178;16905543,88;55468;84837,06
1101302;45892,2;1567,9;2841;4072;1241;3516;3851;2182;1334;79;108;4584;153;86;269;269;1144;50;1182;10651;1,17538897;33875;1859;1682;5387;1193;23034869,92;48127;63372,63
1101401;110565,7;1665,1;3453;5369;1554;3978;4850;2658;1320;159;178;NA;89;120;317;317;742;33;1439;18574;4,66383701;56239;2966;804;2207;1437;34519679,32;71526;88241,52
1101435;55187;1085,2;2290;3861;1382;4569;2787;3275;1294;56;67;4488;76;120;409;409;1376;50;1335;9457;1,50753769;38843;2988;1114;3099;1346;27669893,72;59151;55705,4
1101450;100523;1551;258;7458;642;2491;5473;1619;872;153;199;NA;68;61;174;174;339;42;596;16351;56,81081081;38535;1925;79;310;594;29602093,32;79009;46896,69
1101468;144245;21952,6;54501;49700;304;1281;13753;1032;249;257;460;16552;96;78;173;173;214;14;238;47756;385,08108108;102325;2098;65817;110071;300;64211745,03;134656;61867,85
1101476;43650,2;917,7;1324;3456;401;979;3382;747;232;121;164;3710;85;99;156;156;173;66;223;8554;10,36054422;22497;1320;1124;1535;383;5065560,75;34203;25151,35
1101484;33633,6;2195,3;2880;4078;797;2260;3391;1550;710;98;141;1934;190;89;262;262;73;160;748;5897;2,94460641;19017;954;3569;10397;775;9142946,12;34723;32278,82
1101492;205307,3;4765,2;12201;17165;1950;6136;7572;4225;1911;318;427;11315;209;126;213;213;911;74;1828;32675;5,98843931;92322;4836;7605;11154;1834;33350603,27;124104;132787,26
1101500;90143,2;7135,5;6481;12124;1677;5166;5101;3548;1618;159;220;7506;347;188;148;148;440;174;1585;19328;2,00111421;50685;2698;2833;8845;1572;31287102,45;112441;88836,41
1101559;36688,3;435,3;539;2713;738;2273;1083;1404;869;45;55;2878;84;49;202;202;115;40;725;6633;6,16504854;23728;1829;237;996;733;13810838,87;42319;34815,39
1101609;166665,9;2179,8;4289;6405;2160;5219;10841;3559;1660;159;222;5937;92;80;191;191;845;26;1996;17242;3,22684310;65536;2397;1717;4849;2087;35638731,01;97560;89676,02
1101708;49448;570;1430;2216;1622;4229;1952;2596;1633;38;41;NA;86;70;207;207;200;20;1566;9326;1,96062992;28611;1761;699;2711;1571;27280447,83;55861;72653,63
1101757;98036,7;2916;8196;6442;1702;5544;4666;3560;1984;135;174;6833;176;177;324;324;153;65;1554;13390;2,02988048;41129;2474;1768;4574;1632;20441817,71;54453;48686,9
1101807;62477,1;878,3;904;4413;942;2974;3246;2087;887;90;114;NA;55;51;133;133;529;24;910;8772;2,09828010;33586;446;264;740;930;16178295,78;55633;69289,89
1200013;95781,6;4514,2;31694;8206;1450;4198;3920;2854;1344;199;247;7006;199;73;121;121;612;40;1384;10502;2,48188406;37466;3482;4794;12139;1388;18361065,36;47638;71991,99
1200054;17029,8;840,1;22834;207;517;1682;255;994;688;4;4;206;3;NA;84;84;516;2;360;NA;NA;4347;237;487;1843;483;8464667,41;9410;22123,79
1200104;129083;4180,6;138024;5573;2090;8000;3987;5584;2416;168;207;7972;243;99;270;270;1269;45;1631;12592;5,77254902;42959;2426;3928;12595;2047;22652192,66;79841;72910,69
1200138;138864,8;2194,2;21019;4010;1402;4679;9621;3060;1619;148;176;6440;107;46;171;171;1046;97;1141;14038;8,49162011;56531;4244;3157;6300;1282;17438080,48;73939;70747,86
1200179;98046,5;4662,7;32467;7821;1289;3980;5853;2564;1416;111;162;NA;94;39;67;67;711;46;1167;9116;6,78461538;42522;4696;10090;14111;1157;5847384,96;58169;70954,32
1200203;58928,4;6868;67292;1634;3205;9421;3080;6097;3324;43;61;4236;360;83;192;192;2041;155;2453;6400;0,15845070;23471;1210;8559;41979;3190;3482037,07;68176;67009,61
1200252;82917,8;2311;71517;3294;1452;4525;2721;3016;1509;76;95;NA;154;50;34;34;578;44;1243;5603;5,62500000;25738;1339;2912;7665;1356;6046906,25;50669;45564,97
1200302;134911;6121,9;188788;1136;2950;12276;3421;9272;3004;7;7;5889;11;7;510;510;1827;14;1087;3215;0,10426540;20760;2880;9097;23737;2854;5727275,23;55846;67065,68
1200328;9395,7;1237,9;15079;25;483;1841;78;1591;250;NA;NA;1269;1;NA;28;28;82;NA;53;NA;0,04000000;1810;30;998;2659;431;67500;8397;11981,05
1200336;16630,7;2048,3;18141;1020;1087;3660;1215;2659;1001;10;12;1078;80;37;181;181;1002;24;597;2268;0,73076923;8194;150;2463;13475;1074;2876336,23;24119;39397,01
1200344;27783,3;1768,2;33115;392;645;2944;1318;1915;1029;17;19;1775;5;5;25;25;268;6;324;1372;1,19428571;6590;210;2184;4932;573;1167946,05;8266;21252,72
1200351;12073,8;3185,8;14584;48;1641;4740;261;3060;1680;NA;6;1130;40;4;382;382;1357;NA;777;513;0,11940299;3539;433;2618;14360;1648;NA;22939;42074,81
1200385;117440,3;4554,8;11438;9704;1344;4728;7525;3231;1497;241;332;8177;153;69;115;115;207;61;1319;16098;5,94545455;54466;2060;3239;7754;1285;19343142,65;63720;64311,78
1200393;7999,6;1726,2;30723;66;1044;2511;140;1655;856;NA;NA;891;64;2;200;200;506;NA;359;357;NA;2426;336;1741;9447;1084;57255,41;18226;17904,65
1200401;262979,1;8389;158732;12028;4105;14004;21241;9865;4139;299;393;16984;733;193;443;443;2082;216;3743;26634;6,91283293;119066;6419;9605;27374;3851;42469983,26;188905;165637,12
1200427;18204,3;3327,7;27818;234;1292;4865;1299;3173;1692;19;20;1132;33;20;145;145;1504;18;1128;2154;0,80000000;8108;284;3396;17586;1282;1219916,08;28099;41639,37
1200435;6400,4;1047,2;11029;36;632;2954;404;1805;1149;NA;NA;NA;0;1;102;102;334;NA;149;NA;0,18181818;1568;29;450;4683;557;NA;4562;13669,29
1200450;134897,7;4101,1;9999;12306;1444;4790;10941;3441;1349;276;366;NA;334;110;218;218;482;177;1406;20995;6,45481928;69738;4216;5240;11711;1402;21217139,78;100872;95354,36
1200500;260254,7;3498,8;84068;5820;2672;10404;6333;7097;3307;134;177;8285;44;33;105;105;2157;32;1533;11828;24,69318182;44616;4213;4052;11209;2566;15900584,84;78981;109486,13
1200609;114878,5;8015,1;143005;1223;2876;10120;5023;7771;2349;26;28;7003;29;8;189;189;1989;57;1594;NA;1,04054054;28969;6695;10897;23366;2724;11567726;62246;84916,65
1200708;282063,6;3320,4;228695;4094;1886;5520;4986;3728;1792;152;193;7433;134;34;251;251;1704;15;1065;7901;11,65048544;32485;2651;2252;6410;1838;10799221,8;64024;67178,15
1200807;129267,9;3114,3;25427;6436;1579;4672;8313;3374;1298;196;256;7639;125;48;437;437;770;81;1510;11058;3,98976982;49130;1634;3357;12137;1556;11587891,42;99687;79015,25
1300029;6176,4;5105,3;8225;34;989;5153;464;3588;1565;NA;NA;NA;59;35;151;151;1568;97;557;193;0,05833333;3232;622;2920;13754;1000;11909,6;23475;56928,94
1300060;6276,5;527,8;4771;39;538;2515;95;1444;1071;NA;NA;NA;41;3;73;73;548;2;127;168;0,02564103;983;195;507;4961;535;NA;7649;13060,14
1300086;13078,9;1920,9;13213;136;622;1645;641;1276;369;NA;NA;777;103;66;78;78;540;51;352;255;0,05676856;2328;322;1865;9599;619;163326,42;9448;33517,5
1300102;21046;2053,4;18971;193;748;2931;598;2217;714;7;8;1573;79;33;98;98;278;6;340;345;0,03992016;4553;1728;3800;11681;747;NA;14758;83189,12
1300144;175006,2;2256,9;40657;6246;1083;3695;5196;2945;750;140;159;10453;101;60;283;283;484;13;764;11387;4,75609756;45103;4287;2488;4189;1052;4108349,4;46310;55955,18
1300201;12185,9;10391,2;12513;11;1248;5080;28;2857;2223;NA;NA;NA;9;3;28;28;699;1;83;NA;NA;994;161;610;7984;1204;NA;8668;24584,73
1300300;97150,5;3820,1;54398;1381;2554;10047;5402;6565;3482;53;64;5066;326;217;210;210;382;114;1623;3858;0,06100796;22448;3353;7078;22713;2560;1024602,96;61544;82954,86
1300409;3704,2;1603,6;7361;202;850;2747;370;1600;1147;4;4;1547;91;31;87;87;505;16;269;NA;NA;3556;978;2883;10474;773;57347,68;18453;13512,32
1300508;36395,1;3212,3;20333;800;1578;7314;571;4376;2938;8;10;NA;139;8;60;60;305;11;420;3163;0,34117647;18503;2868;9723;9970;1483;1047768,56;33753;50105,92
1300607;4537,8;2446,7;4390;70;1209;4007;222;2342;1665;NA;NA;1392;117;12;160;160;1278;19;1023;861;0,01388889;3328;143;2058;16186;1198;NA;20412;27254,35
1300631;23547,2;2484;20932;347;996;3756;715;2626;1130;NA;NA;1995;111;90;117;117;1156;26;498;610;0,16352201;4561;651;3392;15224;1010;NA;18203;14751,89
1300680;27241,9;2341,4;18828;369;1087;6098;1563;4116;1982;NA;NA;NA;157;9;63;63;871;23;646;782;0,03763441;4239;314;1572;6334;1079;543393,12;16986;18685,49
1300706;231296,9;9742,7;129363;4435;2923;9425;6278;6489;2936;147;166;7058;90;28;210;210;955;36;1384;10240;4,94019934;37326;4741;7562;20422;2958;7488729,47;89524;84143,45
1300805;23281,2;5406;30936;1045;1730;8701;866;5562;3139;9;21;1928;175;48;231;231;1733;22;1217;832;0,10036496;6065;723;4195;17460;1705;9910,07;32958;45988,73
1300839;3310,6;541,6;3295;24;177;620;99;459;161;NA;NA;NA;9;2;17;17;149;6;34;60;0,03030303;487;46;388;3307;207;NA;4667;56210,02
1300904;58899,3;1682,7;45910;2179;817;4168;2302;2753;1415;143;167;3795;139;102;80;80;770;28;486;4499;0,44800000;17784;1777;4251;13400;1004;5507344,31;23605;15963,64
1301001;182968,5;3701,7;9659;97;1202;4026;1420;2570;1456;4;6;1395;40;35;56;56;94;9;521;1010;0,01972387;5274;364;3512;16426;1468;NA;22190;86138,71
1301100;29706,2;5533,4;52770;1748;2290;8397;2565;5979;2418;50;64;3384;586;268;213;213;1110;112;2077;4507;0,15167785;16414;806;5980;19647;2134;614372,19;30772;47797,42
1301159;48755,6;2904,8;15025;2118;1832;5976;3642;4225;1751;55;56;3923;901;153;184;184;905;553;1706;3046;2,62195122;18626;1054;2112;8458;1830;41895,1;48349;164719,18
1301209;56014,3;6263,9;70461;477;2171;8782;1330;5562;3220;3;4;4479;164;46;125;125;1305;144;863;664;0,03422053;8848;670;6478;31865;2160;646624,77;40542;142083,95
1301308;62687,8;4265,3;61707;235;1099;3878;642;2758;1120;NA;NA;NA;84;52;326;326;947;30;324;460;0,03188406;4762;706;3448;17515;1120;327301,2;21079;302524,95
1301407;9884,2;3079,6;6272;157;1046;4641;900;3247;1394;4;10;2298;22;8;341;341;423;43;372;640;0,23655914;5795;874;3443;10116;1003;NA;17556;207781,27
1301506;38663,6;2724,7;39011;219;1011;5885;1254;4044;1841;4;4;1278;13;5;305;305;1046;8;235;906;0,00454545;5999;1607;2991;9258;995;NA;23451;37633,72
1301605;838,2;506,4;489;50;862;4683;757;2926;1757;NA;NA;2216;42;12;168;168;784;6;226;215;0,22916667;5170;1530;3037;6096;821;NA;12024;23046,28
1301654;34021,1;1366,8;20428;1146;948;4124;1731;2757;1367;24;31;2169;8;12;86;86;819;2;451;2295;3,79591837;11570;725;2556;7710;903;3050821,01;26160;18609,62
1301704;34153,1;2197,2;25151;1939;725;2571;2052;1783;788;77;109;3775;123;55;99;99;328;37;448;4664;0,26848249;14699;852;4956;14067;745;1569827,18;23294;122535,66
1301803;26266,8;9160,9;11871;641;1011;4233;718;3123;1110;NA;NA;NA;219;3;156;156;896;2;483;1011;0,00813008;5082;738;2201;11240;1080;116017,53;19534;11557,87
1301852;12734,3;3032;15504;5716;1399;5700;6281;3946;1754;299;317;5616;1091;675;415;415;1736;770;1322;14898;1,04059540;32884;1707;8904;24439;1388;1853043,17;84032;176758,61
1301902;55765,3;12382;59380;4770;2404;10505;7737;7507;2998;150;165;7418;1411;569;376;376;2401;241;2167;11016;0,17521177;35214;2711;15055;53097;2375;6347502,62;92674;468832,28
1301951;3520,3;2229,6;5337;6;577;2060;184;1526;534;NA;NA;NA;3;1;235;235;84;NA;149;NA;0,00938967;1163;401;881;9949;912;NA;6781;28781,4
1302009;3927,5;360,5;5569;96;225;746;74;494;252;NA;NA;389;41;20;52;52;24;13;140;854;0,20833333;1640;52;600;2182;224;NA;3743;40929,6
1302108;602,5;390,8;1309;12;302;1256;204;853;403;NA;NA;NA;9;6;44;44;333;14;145;283;0,00000000;984;8;398;2872;300;36283,55;3203;16775,96
1302207;1743,6;1412,8;1741;16;731;3176;129;2006;1170;NA;NA;655;21;3;7;7;196;1;138;NA;0,01550388;1266;21;911;2804;520;NA;12606;18547,88
1302306;4415,1;2239,6;2757;192;1100;4245;442;2605;1640;NA;NA;NA;400;11;28;28;1083;2;295;303;0,00273973;4618;633;3033;10269;1084;NA;15018;82709,19
1302405;228442,6;3046,3;36237;3040;2122;9397;6910;5905;3492;220;254;8250;80;29;181;181;840;98;769;10217;2,82191781;39590;3825;5563;17980;2347;8829706,97;92578;214242,01
1302504;50017,3;6547,8;42765;4127;2327;8384;4975;6115;2269;67;86;4961;761;309;236;236;1351;388;1787;8817;1,42302158;28346;5121;14346;40124;2339;822955,66;52180;735631,26
1302553;12307;3246,4;30193;233;1279;4784;724;3123;1661;4;6;NA;112;40;208;208;425;8;1158;780;0,10139860;3461;337;2126;10494;1224;NA;16451;81172,54
1302603;16677,2;3974,7;27342;6840;1931;7949;13361;5447;2502;191;215;8338;1392;1029;499;499;1518;725;1718;40095;0,31703341;77328;3625;10802;23921;1904;56786111,56;153033;218516,51
1302702;147768,5;5539;36329;6962;2643;10836;4303;7863;2973;168;181;7495;256;166;251;251;2734;118;1690;14830;1,75234522;43928;5863;9552;31278;2634;11537722,42;96279;146693,03
1302801;3400,1;1262,7;3601;33;669;2626;526;1807;819;NA;NA;NA;14;13;33;33;501;3;244;186;0,01000000;3364;707;2752;11672;713;NA;16599;40683,31
1302900;59861,5;6521;72100;941;1769;8447;3243;5885;2562;22;22;4159;444;116;231;231;1500;106;618;3042;0,14682540;13921;1823;7575;24748;1762;1670372,55;34476;53141,81
1303007;46650,5;4079,8;21560;356;1314;7388;1379;5349;2039;NA;NA;2575;118;17;55;55;805;41;861;1255;0,51428571;6686;427;2170;8549;1306;463201,54;24629;20888,58
1303106;25429,8;4573,3;31118;275;1392;6396;1143;4013;2383;NA;3;1796;406;72;289;289;1272;49;775;837;0,04772727;5003;273;3147;20576;1378;55152,43;20818;29418,68
1303205;6902,3;560,8;6314;26;234;1740;87;996;744;NA;3;1156;21;15;40;40;226;3;129;NA;NA;3341;1378;2057;3244;239;176566,87;3791;14716,83
1303304;77970,2;3648,1;40895;1368;1004;3557;2637;2414;1143;52;56;3090;162;76;150;150;1034;4;488;1842;0,22979798;13712;1400;2953;11567;983;718193,68;29673;46618,7
1303403;84384,4;6593;49547;786;2740;11422;5055;7620;3802;21;27;NA;515;72;268;268;672;507;1912;2758;0,47645429;17569;3511;5386;25475;2686;1634588,79;59192;270295,14
1303502;16174,7;6960,4;9143;11;1331;5281;103;3163;2118;NA;NA;312;2;NA;255;255;526;NA;236;NA;NA;1906;297;701;7191;1376;NA;18165;36155,92
1303536;29031,7;10308,9;133172;15386;1769;7692;23138;5362;2330;227;265;18443;1241;1117;391;391;1342;659;1489;21754;0,81534170;74801;3638;44859;61662;1745;797468,32;93567;68532,4
1303569;25562,4;4734;42588;7035;1004;3285;8645;2326;959;200;240;7990;784;699;439;439;625;228;918;17253;0,23507660;41306;1576;23500;46168;989;1760096,35;69985;139658,85
1303601;484,9;365,9;607;34;1077;3962;125;2039;1923;NA;NA;1264;12;9;21;21;252;2;43;NA;NA;2156;539;1575;6035;998;NA;8701;12304,31
1303700;1310,6;696,5;2512;15;754;3329;213;1887;1442;NA;NA;NA;14;5;33;33;203;10;316;173;0,04615385;1552;435;1011;7460;711;NA;5896;30261,55
1303809;9721,1;9460,3;9801;192;3914;14476;144;7263;7213;NA;NA;NA;213;22;12;12;289;7;794;368;1,22727273;6922;2616;4441;15703;3313;17575,4;19585;18024,88
1303908;1215,1;1109,5;1856;43;857;6026;190;3406;2620;NA;NA;NA;66;13;57;57;1249;13;196;263;0,11111111;2127;408;1272;7987;1034;NA;9491;27052,26
1303957;8211,7;807,4;17008;514;408;2443;525;1789;654;7;7;NA;80;37;97;97;184;27;68;477;0,12658228;2741;21;869;5006;404;50017,69;11572;23911,07
1304005;10027,9;1048,6;12437;103;502;2035;562;1280;755;8;13;NA;94;45;59;59;209;15;447;853;0,07547170;2607;52;865;5025;495;NA;8467;33549,21
1304062;2234,4;1517,9;2595;92;1844;8779;939;4837;3942;9;9;1730;133;57;208;208;2050;20;1311;1108;0,02912621;6412;1070;3559;14416;1766;NA;14425;17747,53
1304104;22434;1238,6;23646;85;876;4047;161;2398;1649;12;12;837;27;8;84;84;538;15;70;215;0,04597701;2008;615;1127;7972;1021;NA;23601;206634,03
1304203;8740,3;4073,6;18191;219;1732;11749;2199;8396;3353;5;5;3715;320;83;100;100;2436;122;1432;1102;0,13496933;9808;1511;7340;28179;1813;663853,76;55569;149899,7
1304237;2364;590,1;1149;24;321;1361;223;851;510;NA;NA;NA;3;2;21;21;239;1;41;246;0,04761905;1008;93;329;2002;308;NA;4470;12096,77
1304260;21316,1;7334,4;21759;32;803;4510;729;3334;1176;NA;3;NA;8;9;26;26;506;2;357;185;0,03960396;2721;884;2486;15527;799;NA;29893;85658,81
1304302;33278,5;1642,2;17852;568;609;2736;2153;1928;808;8;9;1577;155;67;231;231;324;83;385;1654;0,00701754;6651;304;2023;7428;590;NA;15607;175008,33
1304401;33530,7;1220,2;9891;161;531;3296;854;2158;1138;5;5;795;57;16;55;55;607;33;400;489;0,10091743;3183;399;892;3506;529;NA;9969;20951,28
1400027;319792;6279;38492;1200;1408;6745;5523;3979;2766;93;120;4335;84;34;312;312;908;54;537;6787;3,16666667;25582;3495;2069;4326;971;13013427,94;79987;32652,56
1400050;172680,7;20767,5;61322;19086;1163;6818;5404;4029;2789;212;327;9765;362;107;107;107;988;118;684;28534;0,76027671;52573;933;25436;55208;888;22166769,29;108516;71531,53
1400100;112166,7;14268,6;55115;16621;1294;4350;9282;2991;1359;212;314;9050;829;589;282;282;1025;682;1203;30721;9,08625337;60461;3497;23408;28149;1226;14153102,45;68894;137439,4
1400159;248859,1;22523,6;94315;24700;989;4657;16857;3050;1607;192;327;13215;217;143;111;111;829;134;623;27447;39,24479167;69536;2843;52788;69593;933;14511603,9;111815;97177,53
1400175;88905,9;6116,9;90862;5259;2309;8115;8902;5378;2737;274;362;6367;567;227;210;210;1922;420;1873;13147;2,30653266;40453;1834;7420;23615;2176;5924901,69;105562;26422,76
1400209;88753,8;4998,2;42010;1889;1198;4081;2264;2664;1417;88;113;3430;149;66;78;78;518;54;901;5570;0,36616702;17933;1016;3365;8077;991;4872615,82;26495;33687,5
1400233;53192,2;5191,9;67914;3034;941;3296;2935;2589;707;107;120;6357;147;47;126;126;204;18;709;5459;0,07260726;25386;2786;7337;19070;890;7978876,02;38470;36952,1
1400282;50677,3;7465,3;28607;4670;700;2898;3447;2056;842;90;119;NA;161;61;83;83;794;71;517;7911;1,84732824;29063;1861;14179;15098;625;10198394,6;45650;20261,13
1400308;86045,5;3021,5;24075;6858;1040;3136;7015;2204;932;175;221;7674;210;93;175;175;699;175;914;14834;3,14730878;52435;1147;4536;8548;958;21100626,34;67781;38456,07
1400407;22307,6;2587,8;8358;3120;982;4245;752;2499;1746;18;39;2540;323;38;160;160;898;119;330;4218;19,27500000;8613;265;6493;15075;952;NA;17700;19910
1400456;19084,5;2138,2;3712;149;350;1461;526;932;529;6;6;NA;40;26;172;172;67;26;98;645;0,03370787;2476;390;640;3227;331;NA;9562;7429,05
1400472;57347,1;4253,8;68368;6451;1919;6454;3688;4024;2430;139;161;6996;457;275;224;224;1218;102;1659;11423;0,32642089;35121;3979;12049;15276;1816;5351055,33;34116;45506,35
1400506;35973,7;4613,1;29564;1654;514;2021;1572;1617;404;99;112;3260;68;40;88;88;144;10;454;2802;0,22739726;14568;1391;3910;7018;485;1595532,68;15579;14710,45
1400605;26572,2;907,5;14996;809;481;1325;976;1020;305;41;44;2726;43;31;34;34;273;7;458;3486;0,29037037;12966;1948;1650;3616;457;1530832,71;16038;15868,45
