;area_estabelecimentos;area_lavouras;area_producao;despesas_terra;qtde_estabelecimentos;pessoal_ocupado;salarios;pessoal_homens;pessoal_mulheres;qtde_tratores;qtde_maquinas;despesas_maquinas;uso_adubos;uso_corretivos;uso_assistencia_tecnica;uso_agrotoxicos;uso_conservacao;uso_irrigacao;uso_energia;despesa_insumos;intensidade_agrotoxico;despesas_estabelecimentos;despesas_outras;despesas_lavouras;receitas_lavouras;receitas_estabelecimentos;CR_sicor;producao;pib_agro_municipios
3532702;14262,9;10743,9;7420;3268;136;451;2416;328;123;82;116;NA;25;34;20;20;140;3;123;3786;1,99336283;11459;NA;1544;25918;116;3635813,23;37094;20922,78
3532801;15658,2;11499,9;12663;2999;197;518;2233;397;121;160;246;2920;114;73;89;89;153;19;191;4087;1,46559297;13561;397;5406;55081;173;6821617,78;65653;46189,56
3532827;16565,2;862,5;25520;7060;153;668;8611;564;104;102;143;14846;79;45;25;25;147;29;115;5194;186,25000000;43528;6226;2454;2876;143;1700929,09;44283;15096,25
3532843;9898,7;2235,5;2560;2066;342;1021;3690;846;175;126;157;1580;124;52;122;122;297;38;276;3057;0,84516129;12522;549;3366;6518;321;2864228,51;19873;12216,16
3532868;9379;4658;5098;3058;106;276;1846;230;46;95;168;1304;60;52;22;22;84;1;89;4610;2,72832370;11887;195;3972;14598;100;9875322,41;25828;17954,97
3532900;14406,3;14111,6;13286;107370;75;1858;62019;1727;131;331;474;61600;61;39;61;61;182;16;71;37760;11,52810548;238294;5133;226708;64136;69;8630966,11;122238;22856,98
3533007;36884,5;21864,6;22419;9868;430;1488;13490;1194;294;357;544;NA;219;145;185;185;371;52;411;30803;1,39329968;73314;3459;19123;39856;395;25057865,44;313389;123631,91
3533106;2680,6;1456,7;228;813;89;655;353;525;130;34;71;NA;42;23;33;33;50;7;75;727;0,86086957;3053;135;1435;4174;77;758908,69;5811;3918,1
3533205;20920,3;15557,3;15835;110370;127;2209;71264;1406;803;82;163;NA;63;50;83;83;76;11;116;46180;513,00000000;304510;32291;300904;21508;123;2803401,55;64159;20716,55
3533254;7169,9;6830,5;7319;9128;90;427;3729;381;46;138;196;NA;74;55;56;56;119;9;59;4855;6,70952381;20254;94;19905;36361;84;4906083,79;34318;14978,62
3533304;6852,5;NA;NA;997;98;201;451;155;46;39;42;NA;32;19;47;47;62;NA;93;1063;NA;3340;9;NA;NA;89;1167163;14792;6419,49
3533403;630,3;238,7;314;625;36;137;1906;100;37;34;55;NA;24;16;9;9;36;11;34;1124;NA;3710;54;846;1049;29;13446728,17;3717;14111,99
3533502;62805;50981,6;63288;509094;665;5854;186954;5118;736;960;1518;137332;485;311;313;313;649;125;576;141392;11,42793988;966302;65507;932608;302283;631;60328628,81;360668;160969,91
3533601;23792,4;22363,8;22015;28269;197;808;8377;722;86;358;592;6505;158;113;104;104;378;29;165;19961;12,71698113;48608;1034;43408;93106;190;42983209,48;133059;84261,94
3533700;25778,1;10592,5;15990;10738;340;1169;4958;929;240;241;374;4808;196;158;173;173;924;12;241;11341;1,57646117;27793;1562;18367;56782;267;11924738,6;62409;63196,01
3533809;19200,3;5464,4;11833;31137;326;875;3248;683;192;180;286;5767;209;139;120;120;393;74;235;30133;20,19607843;44792;1390;31497;24780;319;6247423,33;37151;52497,19
3533908;61365,6;52749,1;60828;179067;602;4938;224140;4292;646;964;1470;70273;415;273;278;278;627;99;541;109386;7,58371472;658092;22516;645139;277321;566;72575725,5;276013;141583,14
