Municipio;Qtde;Principal
2109270;2580;Feijao
2109403;21000;Trigo
2109502;2100000;Cana-de-acucar
2109551;176900;Milho
2110005;600000;Cana-de-acucar
2110104;180000;Milho
2110203;136629;Milho
2110237;13600;Mandioca
2110401;93534;Soja
2110500;2400;Feijao
2110609;401400;Soja
2111029;920147;Cana-de-acucar
2111052;15500;Batata
2111078;6468;Café
2111201;25500;Mandioca
2111508;795000;Cana-de-acucar
2111573;14400;Mandioca
2111672;2380;Fumo
2111722;37721;Café
2111805;1741332;Cana-de-acucar
2111953;30667;Laranja
2112001;51053;Algodao
2112209;692080;Cana-de-acucar
2112233;9000;Trigo
2112308;11000;Fumo
2112506;1826;Feijao
2112803;2800000;Cana-de-acucar
2112852;212850;Soja
2113009;1017985;Cana-de-acucar
2114007;675000;Cana-de-acucar
2200053;1296000;Milho
2200103;11069;Feijao
2200277;12500;Mandioca
2200301;73824;Soja
2200707;25400;Mandioca
2200806;221639;Soja
2200954;450800;Milho
2201051;68400;Soja
2201101;66500;Mandioca
2201176;2284500;Cana-de-acucar
2201309;1825;Feijao
2201572;14250;Mandioca
2201770;39160;Milho
2201919;113819;Soja
2201929;11600;Mandioca
2201988;51200;Mandioca
2202000;657000;Cana-de-acucar
2202026;2948;Feijao
2202059;12800;Mandioca
2202083;37720;Milho
2202091;48000;Mandioca
2202109;97440;Milho
2202117;13900;Mandioca
2202133;17300;Mandioca
2202174;609244;Cana-de-acucar
2202208;207900;Soja
2202251;2218;Feijao
2202307;28500;Mandioca
2202455;2157;Feijao
2202554;82200;Milho
2202653;96694;Soja
2202752;64710;Soja
2202802;51600;Mandioca
2202851;8704;Trigo
2203008;80255;Milho
2203107;10642;Mandioca
2203206;80974;Milho
2203404;109500;Milho
2203453;14463;Café
2203750;10000;Café
2203800;18000;Mandioca
2204105;1170000;Cana-de-acucar
2204154;224855;Milho
2204204;105600;Milho
2204402;6080;Mandioca
2204501;5510;Mandioca
2204550;2400;Fumo
2204659;1125000;Cana-de-acucar
2204808;56000;Mandioca
2204907;6705;Feijao
2205003;1429;Feijao
2205201;80000;Mandioca
2205359;18750;Mandioca
2205458;1178;Feijao
2205508;1080;Feijao
2205516;117150;Soja
2205524;25400;Mandioca
2205532;51260;Mandioca
2205540;16490;Feijao
2205581;3825000;Cana-de-acucar
2205607;1520000;Cana-de-acucar
2205904;40715;Milho
2206001;60018;Milho
2206100;1187701;Cana-de-acucar
2206308;126576;Laranja
2206357;68000;Milho
